문화재명,분류,소재지,상세주소,위도,경도,상세설명
심지백 개국원종공신녹권,국보,부산 서구,"
			
	             
	                 
	                 
	                     부산광역시 서구 구덕로 (부민동2가, 동아대학교부민캠퍼스) 동아대학교박물관
	                 
	             
	         
	         
		",129.0193361,35.1046988,"조선 태조 6년(1397) 10월에 공신도감(功臣都監)에서 왕의 명령을 받아 심지백(沈之伯)에게 내린 문서로, 공신임을 입증하는 내용을 담고 있다. 크기는 가로 140㎝, 세로 30.5㎝이며, 원래는 함경남도 단천군 파도면 심씨 집안에서 물려 내려오던 것이다.
 개국원종공신(開國原從功臣) 제도는 조선시대에 개국공신을 늘리려는 의도에서 만들어진 일종의 새로운 포상제도로, 1392년부터 1397년까지 여러 차례에 걸쳐 1,400여 명에게 봉해졌다. 심지백이 녹권을 받을 때에도 74명이 함께 받았는데, 이때 그들에게 내린 포상으로는 각기 밭 15결(結)을 내렸고, 각 공신의 부모와 처에게는 땅을 주고 벼슬을 내렸으며, 자손에게는 벼슬을 주었다. 이러한 사실은 실록에도 빠져있어 알려지지 않았으나 이 문서에 의하여 비로소 알려지게 되었다.
 이 문서는 조선 전기의 문서로 이두문(吏讀文)이 많이 사용되어 그 문체와 내용이 귀중한 역사적 자료가 되며, 목활자를 이용하여 찍어냈다는 점에서 더욱 중요성이 엿보인다. 또한 조선 전기의 목활자 인쇄물로서 상태가 완전하고 남한에 전해지고 있는 것으로는 이 문서가 으뜸으로 손꼽혀지는데, 두루마리로 되어있는 점에서도 조선 전기의 특징을 엿볼 수 있다. 글자 크기가 일정하지 않고 글자배열이 고르지 않는 등 인쇄가 정교하지는 않으나, 현존하는 목활자 인쇄물이라는 점에서 한국 활자 역사상 매우 귀중한 인쇄자료가 된다."
조선왕조실록 태백산사고본,국보,부산 연제구,"
			
	             
	                 
	                 
	                     부산광역시 연제구 경기장로 28 (거제동, 국가기록원 역사기록관)
	                 
	             
	         
	         
		",129.0529875,35.1906,"『조선왕조실록』은 조선 태조에서부터 조선 철종 때까지 25대 472년간(1392∼1863)의 역사를 편년체(編年體:역사적 사실을 일어난 순서대로 기술하는 역사서술의 한 방식)로 기록한 책이다.
 이것은 조선시대 사회, 경제, 문화, 정치 등 다방면에 걸쳐 기록되어 있으며, 역사적 진실성과 신빙성이 매우 높다. 또한 사료의 편찬에 있어서 사관이라는 관직의 독립성과 기술에 대한 비밀성도 보장되었다. 실록을 편찬하는 작업은 다음 왕이 즉위한 후 실록청을 열고 관계된 관리를 배치하여 펴냈으며, 사초는 임금이라 해도 함부로 열어볼 수 없도록 비밀을 보장하였다. 사료가 완성된 후에는 특별히 설치한 사고(史庫:실록을 보관하던 창고)에 각 1부씩 보관하였는데 임진왜란과 병자호란을 거치면서 소실되었지만 20세기 초까지 태백산, 정족산, 적상산, 오대산의 사고에 남아서 전해내려 왔다.
 이 태백산본은 848책으로, 태조부터 명종까지 실록은 선조 36년(1603) 7월부터 39년(1606) 3월 사이에 전주사고본을 토대로 만든 4부 중 하나이다. 그 이후 고종 2년(1865)에 만든『철종실록』에 이르기까지 실록이 편찬되는 대로 첨가되어 온 것으로, 선조 39년(1606)부터 1910년 일제강점기까지 계속 태백산 사고에 보관되어 왔다.
 그러나 1930년 일제가 경성제국대학으로 이관하였다가, 광복 후 서울대학교 규장각에 그대로 소장되었다가 이관되어 현재 국가기록원에서 소장하고 있다."
금동보살입상(1979),국보,부산 남구,"
			
	             
	                 
	                 
	                     부산 남구 유엔평화로 63, 부산시립박물관 (대연동,부산광역시시립박물관)
	                 
	             
	         
	         
		",129.09414818121,35.1295217022496,"부산시립박물관에 소장되어 있는 이 불상은 정면을 향해 가슴을 펴고 당당하게 서 있는 금동보살상으로, 대좌(臺座)와 광배(光背)는 없어졌지만 비교적 잘 보존된 작품이다.
 머리 위에는 상투 모양의 머리묶음(육계)이 높이 솟아 있으며, 이마에는 작은 구멍이 있어 예전에 관(冠)을 쓰고 있었던 것 같다. 이마의 머리카락은 사실적으로 표현하였으나 뒤에는 머리카락 표현이 없다. 풍만한 얼굴에는 반쯤 뜬 눈, 반달모양 눈썹, 오똑한 코가 새겨져 있으며, 잔잔한 미소가 번져 아름답고 자비로운 인상을 준다. 귀는 어깨까지 길게 내려오고 있으며, 목에는 굵은 3줄의 삼도(三道)가 있다.
 신체는 탄력성있게 묘사되었으며, 풍만한 가슴에서 가는 허리로 이어지는 곡선이 아름답다. 상체는 옷자락이 양 어깨에 걸쳐 발 아래까지 늘어져 있는데 왼쪽 일부가 끊어져 없고, 하체의 옷은 U자형 주름을 좌우대칭으로 표현하였다. 양 팔 아래위로 팔찌를 하고 있을 뿐 신체에는 아무런 장식을 하지 않았다. 오른손은 옆으로 올려 손바닥을 위로 하고, 왼손은 아래로 내려 가운데 손가락을 구부리고 있는데, 손모양으로 보아 정병(淨甁)을 들고 있었던 듯하다.
 당당한 신체표현에 품위와 자비를 갖추고 있는 이 불상은 통일신라 초기의 아름다운 작품이다."
부산 범어사 삼층석탑,보물,부산 금정구,"
			
	             
	                 
	                 
	                     부산 금정구 범어사로 250, 범어사 (청룡동)
	                 
	             
	         
	         
		",129.068414124906,35.2840296177467,"범어사 대웅전 앞에 있는 석탑으로, 2단의 기단(基壇) 위에 3층의 탑신(塔身)을 세운 모습이다.
 이 탑의 특징은 탑의 받침대 역할을 하는 기단에서 찾을 수 있는데, 위·아래층 기단의 옆면을 기둥 모양으로 장식하지 않고 대신 안상(眼象)을 큼직하게 조각한 것이다. 탑신부는 1층 몸돌에 비해 2층 이상은 급격히 줄어들고 있다. 평평하고 얇은 지붕돌은 처마가 수평을 이루며, 밑면의 받침이 4단으로 되어 있어 통일신라 후기의 양식을 보여준다. 꼭대기에는 머리장식을 받치던 네모난 받침돌 위에 보주(寶珠:연꽃봉오리 모양의 장식)만 남아 있을 뿐 다른 것은 없어졌다. 
 통일신라 흥덕왕(재위 826∼836) 때에 세운 탑으로, 일제시대에 크게 수리를 할 때 기단 아래부분에 돌 하나를 첨가하는 바람에 기단부가 너무 크고 높은 느낌을 준다. 밑에 둘러진 난간도 이때 만들어졌다고 한다."
감지은니 묘법연화경 권3,보물,부산 서구,"
			
	             
	                 
	                 
	                     부산광역시 서구 구덕로 (부민동2가, 동아대학교부민캠퍼스) 동아대학교박물관
	                 
	             
	         
	         
		",129.0201433,35.1216423,"감지은니묘법연화경 권3(紺紙銀泥妙法蓮華經 卷三)은 구마라집(鳩摩羅什)이 한역한 묘법연화경을 저본으로 1422년(세종 4)에 비구 덕명(比丘 德名)이 어머니의 극락왕생을 위해 발원하여 감지에 은니로 쓴 7첩 중 ‘권3’과 ‘권7’의 2첩에 해당된다.
표지에는 보상화문(寶相華紋) 네 송이가 장식되어 있으며, 화문(花紋)은 금니로, 화경(花莖)은 주로 은니로 그려져 있다. 권수(卷首)에는 금니로 변상도를 그리고 변상도 다음에 권두 서명과 구마라집의 역자(譯者) 표시가 보인다. 서체는 사경체(寫經體)의 특징인 조맹부체(趙孟頫體)로 썼다.
사경의 후면에는 묵서(墨書)와 주서(朱書)의 ‘광덕사(廣德寺)’ 사찰명이 쓰여져 있다. 이로 보아 이 사경은 천안의 광덕사에서 사성되었거나 혹은 복장되었을 것으로 추정된다. 
후면에 ‘광덕사’라는 사찰명이 주서되어 있고 이 사경과 크기·체제·경문의 글씨가 동일한 사경으로 보물 “감지은니 묘법연화경 권1”과 보물  “광덕사 고려사경” 중 ‘감지은니 묘법연화경 권2·4·5·6’이 있다. 기존에 지정되어 있는 것에 동아대학교 소장본인 권3과 국립중앙박물관 소장본인 권7을 합하면 완벽한 “1질”을 이루게 되며, 이는 전래된 사경 가운데 전질이 밝혀진 것이 드문 예로써 더욱 큰 의미를 지닌다."
삼국유사 권4~5,보물,부산 금정구,"
			
	         
	             부산광역시  금정구
	         
		",129.0686611,35.2842321,"삼국유사 권4~5(三國遺事 卷四~五)는 14세기말(조선초) 경주(慶州)에서 간행된 것으로 삼국유사(三國遺事)의 현존본 중 가장 빠른 간본(刊本)인 동시에 보존상태가 양호하여 초기본들의 훼손된 부분과 결락(缺落)된 부분을 보완함은 물론 동시에 정덕본(正德本)의 오류를 바로 잡을 수 있는 귀중한 책이다.
 삼국유사 권제4-5까지 2권을 1책으로 묶은 것으로, 권4가 31장, 권5는 전체 30장에서 2장(제26-27)이 결락된 28장의 도합 59장인데 첫장 상단의 묵서(墨書) 기록으로 보아 광무(光武) 11년(1907) 오성월(吳腥月)이 입수하여 범어사(梵魚寺)에 기증한 책임을 알 수 있다.
 형태적인 면에서 광곽(匡郭)의 길이가 정덕본에 비하여 대체로 크고, 변란(邊欄)도 모두가 쌍변(雙邊)이다. 내용적인 면에서는 정덕본과 문자상(文字上) 많은 차이가 보이고 특히, 고려왕(高麗王)들의 어휘(御諱) 대부분에 피휘(避諱)가 적용되지 않고 있는 점으로 보아 조선초기의 간행본임을 알 수 있다.
 이 책에는 조선초 판본(板本) 중 유일하게 권4의 이혜동진(二惠同塵)·자장정률(慈藏定律)·원효불기(元曉不羈)·의상전교(義湘傳敎) 등의 편에 구결(口訣)로 현토(懸吐)가 되어 있으며, 권제5의 제27-30장이 있는 것은 범어사본이 유일하다."
부산 범어사 대웅전,보물,부산 금정구,"
			
	             
	                 
	                 
	                     부산 금정구 범어사로 250, 범어사 (청룡동)
	                 
	             
	         
	         
		",129.068144199838,35.2839341358245,"경상남도 3대 절 중 하나로 유명한 범어사는 『삼국유사』의 기록에 따르면 의상대사가 통일신라 문무왕 18년(678)에 처음으로 지었다고 한다. 또한 옛날 일본인이 침입했을 때에는 이곳의 승려들이 전쟁에 직접 참여하여 함께 싸우기도 했던 중요한 곳 중 하나로도 알려져 있다.
 1993년 국립문화유산연구원 정밀실측 중 대웅전 종도리 묵서명에서 효종 9년(1658) 상량식을 거행한 내용이 발견되었는데, 이를 통해 대웅전이 1592년 임진왜란으로 소실된 후 1602년 당시 현감이 임시 복구하였으며 1658년 효종 9년에 중수하였음을 알 수 있다. 이밖에 암막새 명문과 기단 각자, 목부재 기록 등으로 볼 때 현재 대웅전은 17세기에 중건된 것으로 확인할 수 있다.
 석가모니불상만을 모시는 일반 대웅전과는 달리 이곳 범어사 대웅전에는 미륵보살과 가라보살을 각각 석가모니의 왼쪽과 오른쪽에 함께 모시고 있다.
 앞면·옆면 3칸 크기를 가진 건물로 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕이다. 지붕 처마를 받치기 위해 장식하여 짠 구조가 기둥 위뿐만 아니라 기둥 사이에도 있는 다포 양식이다. 또한 건물 안쪽에 불상을 올려놓는 자리인 불단과 불상을 장식하는 지붕 모형의 닫집에서 보이는 조각의 정교함과 섬세함은, 조선 중기 불교건축의 아름다움과 조선시대 목조공예의 뛰어남을 보여주고 있다."
안중근의사 유묵 - 견리사의견위수명,보물,부산 서구,"
			
	             
	                 
	                 
	                     부산광역시 서구 구덕로 (부민동2가, 동아대학교부민캠퍼스) 동아대학교박물관
	                 
	             
	         
	         
		",129.0193361,35.1046988,"「안중근의사유묵-견리사의견위수명(安重根義士遺墨-見利思義見危授命)」은 안중근(安重根:1879∼1910) 의사가 1909년 10월 26일 만주 하얼빈 역에서 조선 침략의 원흉 이토 히로부미(伊藤博文)를 사살한 뒤 여순감옥(旅順監獄)에서 1910년 3월 26일 사망하기 전까지 옥중에서 휘호한 유묵을 일괄ㆍ지정한 것 중의 하나이다. 일괄 지정된 이 작품들은 1910년 2월과 3월에 쓴 것으로 글씨 좌측에 “경술이(삼)월, 어여순옥중, 대한국인안중근서(庚戌二(三)月, 於旅順獄中, 大韓國人安重根書)”라고 쓴 뒤 손바닥으로 장인(掌印)을 찍었다.
    글씨 내용은 「논어(論語)」ㆍ「사기(史記)」 구절 등 교훈적인 것이 많으며, 자신의 심중을 나타낸 것, 세상의 변함을 지적한 것, 일본에 경계하는 것, 이밖에 어떤 사람의 당호(堂號)를 써준 것 등이다.
    
 유묵 대부분은 당시 검찰관, 간수 등 일본인에게 써준 것들이다. 그중 ""안중근의사유묵-욕보동양선개정략시과실기추회하급""은 러일전쟁 때 종군했다가 전쟁이 끝난 뒤 여순감옥에서 근무했던 사람[오리타타다스(折田督)]이 받은 것으로, 8ㆍ15 광복으로 그의 가족들이 일본으로 귀국할 때 조카[오리타간지(折田幹二)]에게 넘겨주었고, 그것이 1989년 2월 20일 단국대학교에 기증되었다. 또 ""안중근의사유묵-언충신행독경만방가행""는 안의사 수감 당시 여순감옥에서 경관을 지냈던 이의 손자[야기마사즈미(八木正澄)]가 2002년 10월에 안중근의사숭모회에 기증한 것이다. 또 ""안중근의사유묵-국가안위노심초사"", ""안중근의사유묵-위국헌신군인본분""는 앞쪽에 “야스오까 검찰관에게 증여한다(贈安岡檢察官)”라고 적었듯이 당시 관련했던 검찰관에게 써준 것이다.

ㅇ 견리사의 견위수명(見利思義 見危授命) : (일신상의) 이익을 당하면 의로움을 생각하고, (나라가) 위태함에 처하면 목숨을 바친다"
자수 초충도 병풍,보물,부산 서구,"
			
	             
	                 
	                 
	                     부산광역시 서구 구덕로 (부민동2가, 동아대학교부민캠퍼스) 동아대학교박물관
	                 
	             
	         
	         
		",129.0193361,35.1046988,"자수 초충도 병풍(刺繡 草蟲圖 屛風)은 검은색 비단에 풀과 나비, 잠자리같은 곤충을 수 놓아 만든 병풍이다. 한 폭당 가로 40㎝, 세로 64㎝로 여덞폭으로 구성되었다.
 여성의 정숙한 분위기를 자아내는 이 자수병풍에는 민들레·패랭이꽃·맨드라미·벌·나비 등 무려 20여종의 풀과 벌레가 확인될 뿐만 아니라, 구도나 기법이 독특하다. 초충수병의 또 하나의 특징은 자연의 아름다움을 사실적으로 세밀하게 묘사했다는 점이다. 한국의 전통적인 자수기법을 응용한 초충도수병 중에서도 수작이라 할 수 있다.
 18세기 이후에 만들어진 병풍으로 추측되며, 고상하고 우아하면서도 사실적이어서 궁중이나 양반댁에서 쓰였을 것으로 추측된다."
궁궐도,보물,부산 서구,"
			
	             
	                 
	                 
	                     부산 서구 동대신동3가 1번지 동아대학교박물관
	                 
	             
	         
	         
		",129.0201433,35.1216423,
