문화재명,분류,소재지,상세주소,위도,경도,상세설명
보은 법주사 쌍사자 석등,국보,충북 보은군,"
			
	             
	                 
	                 
	                     충북 보은군 속리산면 법주사로 379, 법주사 (사내리)
	                 
	             
	         
	         
		",127.833219375596,36.5421679403972,"법주사 대웅전과 팔상전 사이에 있는 통일신라시대의 석등으로, 사자를 조각한 석조물 가운데 가장 오래되었으며 매우 독특한 형태를 하고 있다. 
 넓다란 8각의 바닥돌 위에 올려진 사자 조각은 두 마리가 서로 가슴을 맞대고 뒷발로 아래돌을 디디고 서서 앞발과 주둥이로는 윗돌을 받치고 있는 모습이다. 아랫돌과 윗돌에는 각각 연꽃을 새겨 두었는데, 윗돌에 두 줄로 돌려진 연꽃무늬는 옛스러운 멋을 풍기며, 현재 남아있는 사자조각들 가운데 가장 뛰어나 머리의 갈기, 다리와 몸의 근육까지도 사실적으로 표현하였다. 
불을 밝혀두는 화사석(火舍石)은 8각으로 높직하며, 네 곳에 창을 내어 불빛이 새어나오도록 하였다. 지붕돌은 처마밑이 수평을 이루다가 여덟 귀퉁이에서 위로 살짝 들려 있는데, 꾸밈을 두지 않아서인지 소박하고 안정되어 보인다.
 석등을 세운 시기는 통일신라 성덕왕 19년(720)으로 추측되며, 조금 큰 듯한 지붕돌이 넓적한 바닥돌과 알맞은 비례를 이루어 장중한 품격이 넘친다. 통일신라의 석등이 8각 기둥을 주로 사용하던 것에 비해 두 마리의 사자가 이를 대신하고 있어 당시로서는 상당히 획기적인 시도였을 것으로 보이며, 통일신라는 물론 후대에 가서도 이를 모방하는 작품이 나타났다. 같은 절 안에 있는 보은 법주사 사천왕 석등(보물)과 함께 통일신라 석등을 대표하는 작품이라 할 수 있다."
충주 탑평리 칠층석탑,국보,충북 충주시,"
			
	             
	                 
	                 
	                     충청북도 충주시 중앙탑면 탑평리 11
	                 
	             
	         
	         
		",127.866630082822,37.0158885404695,"남한강의 아름다운 경관과 잘 어우러져 있는 통일신라시대의 석탑으로, 당시에 세워진 석탑 중 가장 규모가 크며, 우리나라의 중앙부에 위치한다고 해서 중앙탑(中央塔)이라고도 부르는 이 탑은 2단의 기단(基壇) 위에 7층의 탑신(塔身)을 올린 모습이다.
 높은 탑신을 받치기 위해 넓게 시작되는 기단은 각 면마다 여러 개의 기둥 모양을 새겨 놓았고, 탑신부의 각 층 몸돌 역시 모서리마다 기둥 모양의 조각을 두었다. 몸돌을 덮고 있는 지붕돌은 네 귀퉁이 끝이 경쾌하게 치켜올려 있어 자칫 무겁게 보일 수 있는 탑에 활기를 주고 있으며, 밑면에는 5단씩의 받침을 새겨 놓았다. 탑 정상의 머리장식은 보통 하나의 받침돌 위에 머리장식이 얹어지는 신라 석탑의 전형적인 양식에서 벗어나, 이중으로 포개어진 똑같은 모양의 받침돌이 머리장식을 받쳐주고 있다.
 기단에서의 기둥조각 배치, 탑신의 몸돌과 지붕돌의 짜임수법으로 보아 통일신라 후기인 8세기 후반에 세웠을 것으로 추측된다.  1917년 탑을 보수할 때 6층 몸돌과 기단 밑에서 사리장치와 유물이 발견되었는데, 특히 6층 몸돌에서 발견된 거울이 고려시대의 것으로 밝혀져 탑 조성 이후 고려시대에 와서 2차 봉안이 있었던 것으로 보인다.
 전체적으로 규모가 커서 웅장하기는 하나 너비에 비해 지나치게 높은 듯 하여 안정감은 덜하며, 세부수법이 약화되고 있어, 일제당시 보수하면서 일부 변형되었다는 논란이 있다."
청주 용두사지 철당간,국보,충북 청주시,"
			
	             
	                 
	                 
	                     충청북도 청주시 상당구 남문로2가 48-19
	                 
	             
	         
	         
		",127.48975464869,36.6330873652615,"절에 행사가 있을 때, 그 입구에는 당이라는 깃발을 달아두는데, 이 깃발을 달아두는 장대를 당간이라 하며, 이를 양쪽에서 지탱해 주는 두 기둥을 당간지주라 한다.
 당간이 서 있는 청주시 상당구 남문로는 예전에 용두사라는 절이 자리잡고 있던 곳이다. 용두사는 고려 광종 13년(962)에 창건되었으나 고려말의 잦은 전쟁과 난으로 인해 폐허가 되었고, 절이 있던 터는 현재 청주시내의 가장 번화한 거리로 변하였다.
 이 당간은 밑받침돌과 이를 버티고 있는 두 기둥이 온전히 남아 예전의 모습을 잘 간직하고 있다. 두 기둥은 바깥면 중앙에 세로로 도드라지게 선을 새겨 단조로운 표면에 변화를 주었다. 그 사이로 원통 모양의 철통 20개를 아래위가 서로 맞물리도록 쌓아 당간을 이루게 하였고, 돌기둥의 맨 위쪽에는 빗장과 같은 고정장치를 두어 당간을 단단히 잡아매고 있다. 특히 세 번째 철통 표면에는 철당간을 세우게 된 동기와 과정 등이 기록되어 있는데, 원래는 30개의 철통으로 구성되어 있었다고 한다.
 당간을 세운 시기는 절의 창건과 때를 같이 하는 고려 광종 13년(962)으로, 연대를 확실하게 알 수 있어 소중한 가치를 지닌다. 또한 당간이 남아 있는 경우가 드문 우리 문화유산 현실에 비추어 볼 때, 이곳과 함께 공주 갑사, 안성 칠장사의 세 곳에서만 철당간을 접할 수 있어 보기 드문 작품이다.
 예로부터 청주에는 홍수에 의한 재난으로 백성들의 피해가 많았는데, 어느 점술가가 이르기를 큰 돛대를 세워 놓으면 이 지역이 배의 형상이 되어 재난을 면할 수 있을 것이라 하였다. 결국 이곳에 돛대 구실을 하는 당간을 세워 놓으니 재난을 피하게 되었다. 이때부터 청주를 주성(舟城)이라 이름하였다고 하는 일화가 전해지고 있다."
보은 법주사 팔상전,국보,충북 보은군,"
			
	             
	                 
	                 
	                     충북 보은군 속리산면 법주사로 379, 법주사 (사내리)
	                 
	             
	         
	         
		",127.833098082724,36.5419417095503,"법주사는 신라 진흥왕 14년(553)에 인도에서 공부를 하고 돌아온 승려 의신이 처음 지은 절이다. 법주사 팔상전은 우리나라에 남아 있는 유일한 5층 목조탑으로 지금의 건물은 임진왜란 이후에 다시 짓고 1968년에 해체·수리한 것이다. 벽 면에 부처의 일생을 8장면으로 구분하여 그린 팔상도(八相圖)가 그려져 있어 팔상전이라 이름 붙였다.
 1층과 2층은 앞·옆면 5칸, 3·4층은 앞·옆면 3칸, 5층은 앞·옆면 2칸씩으로 되어 있고, 4면에는 돌계단이 있는데 낮은 기단 위에 서 있어 크기에 비해 안정감을 준다. 지붕은 꼭대기 꼭지점을 중심으로 4개의 지붕면을 가진 사모지붕으로 만들었으며, 지붕 위쪽으로 탑 형식의 머리장식이 달려 있다.
 건물의 양식 구조가 층에 따라 약간 다른데, 1층부터 4층까지는 지붕 처마를 받치기 위해 장식하여 짠 공포구조가 기둥 위에만 있는 주심포 양식이고, 5층은 기둥과 기둥 사이에도 공포를 설치한 다포 양식으로 꾸몄다. 건물 안쪽은 사리를 모시고 있는 공간과 불상과 팔상도를 모시고 있는 공간, 그리고 예배를 위한 공간으로 이루어져 있다.
 법주사 팔상전은 지금까지 남아 있는 우리 나라의 탑 중에서 가장 높은 건축물이며 하나뿐인 목조탑이라는 점에서 중요한 의미를 갖는다."
보은 법주사 석련지,국보,충북 보은군,"
			
	             
	                 
	                 
	                     충북 보은군 속리산면 법주사로 405-9, 법주사 (사내리)
	                 
	             
	         
	         
		",127.832483864655,36.541486086488,"법주사 천왕문을 들어서면 동쪽에 위치한 돌로 만든 작은 연못으로, 연꽃을 띄워 두었다고 한다. 불교에서의 연꽃은 극락세계를 뜻하여 사찰 곳곳에서 이를 본뜬 여러 형상들을 만날 수 있다.
 석련지는 8각의 받침돌 위에 버섯 모양의 구름무늬를 새긴 사잇돌을 끼워서 큼지막한 몸돌을 떠받치고 있는 모습이다. 몸돌은 커다란 돌의 내부를 깎아 만들었는데, 반쯤 피어난 연꽃 모양을 하고 있어 그 쓰임과 잘 어울리며, 외부의 곡선과도 아름다운 조화를 이룬다. 표면에는 밑으로 작은 연꽃잎을 돌려 소박하게 장식하였고, 윗부분에는 큼지막한 연꽃잎을 두 겹으로 돌린 후 그 안으로 화사한 꽃무늬를 새겨두었는데, 현재는 균열되어 철제 꺾쇠로 연결해 놓았다. 입구 가장자리에는 낮은 기둥을 세워 둥글게 난간을 이루었는데, 그 위로도 짧은 기둥을 새긴 후 난간 모양이 되도록 조각해 놓아 마치 난간이 두 줄로 된 듯하다. 윗난간에 세워진 기둥은 아주 기발한 착상이라 할 수 있는데, 불국사 다보탑에 새겨진 돌난간의 기둥과도 비슷하여 예스러움을 간직하고 있다. 밑의 난간벽에는 여러가지 무늬를 새겨 놓아 화려함을 한층 더 살려준다.
 8세기경에 제작된 통일신라시대의 작품으로, 절제된 화려함 속에 우아함이 피어나는 아름다운 자태는 석련지의 대표작이라 불리울 만하다."
계유명전씨아미타불비상,국보,충북 청주시,"
			
	             
	                 
	                 
	                     충청북도 청주시 상당구 명암로 143 (명암동)
	                 
	             
	         
	         
		",127.512007838177,36.6496642287998,"충청남도 연기군 비암사에서 발견된 이 삼존석상은 4각의 긴 돌 각 면에 불상과 글씨를 조각한 비상(碑像) 형태이다.
 정면은 가장자리를 따라 테두리를 새기고, 그 안쪽을 한 단 낮게하여 아미타삼존상을 조각하였다. 커다란 연꽃 위의 사각형 대좌에 앉아 있는 본존불은 얼굴 부분이 갸름한 모습이며, 신체는 건장하면서 안정된 자세를 이루고 있다. 부처가 설법할 때의 손모양을 하고 있는 손은 비교적 크게 표현되어 삼국시대 이래의 전통을 따르고 있음을 알 수 있다. 양 어깨를 감싼 옷은 사각형의 대좌(臺座)를 거의 덮고 있으며, 대좌 밑의 좌우에는 사자상을 배치하였다. 둥근 머리광배는 3줄의 동심원 안에 연꽃을 장식하고 있다.
 사자 등위의 연꽃무늬 대좌 위에 서 있는 협시보살상은 본존불 쪽으로 몸을 약간 튼 자세로, 얼굴은 훼손이 심하여 알아볼 수 없으나 연꽃이 새겨진 둥근 머리광배가 남아 있다. 본존불과 협시보살의 어깨 사이에는 나한상이 얼굴만 내밀고 있으며, 협시보살상의 양 옆에는 인왕상이 서 있다. 불상 위로는 불꽃무늬가 새겨진 광배가 이중으로 있으며, 안쪽의 광배에는 5구의 작은 부처가 새겨져 있다. 광배 밖의 좌우 공간은 한층 더 낮추어 비천상을 새겼다.
 양 측면의 하단에는 정면을 향하고 있는 용머리를 조각하고, 그 위로는 연꽃 위에서 악기를 연주하는 사람을 표현하였다. 뒷면은 4단으로 나누어 각 단마다 5구씩의 작은 부처가 앉아 있는 모습을 조각하였으며, 불상 사이사이에 사람의 이름과 관직을 새겨 넣었다.
 조각이 정교하면서도 장엄하고, 세부 양식에 있어서도 옛 형식을 남기고 있는 점이 계유명삼존천불비상(국보)과 비슷하며, 만든 연대는 삼국통일 직후인 문무왕 13년(673)으로 추정된다."
충주 청룡사지 보각국사탑,국보,충북 충주시,"
			
	             
	                 
	                 
	                     충북 충주시 소태면 오량리 산32-2번지
	                 
	             
	         
	         
		",127.838116122621,37.130875590851,"청계산 중턱의 청룡사에 자리한 탑으로, 보각국사의 사리를 모셔놓았다. 보각국사(1320∼1392)는 고려 후기의 승려로, 12세에 어머니의 권유로 출가하여 승려가 되었으며, 이후 불교의 경전을 두루 연구하여 높은 명성을 떨쳤다. 특히 계율을 굳게 지키고 도를 지킴에 조심하였으며, 문장과 글씨에도 능하였다. 조선 태조 원년(1392)에 73세의 나이로 목숨을 다하자, 왕은 ＇보각＇이라는 시호를 내리고 탑이름을 ‘정혜원륭’이라 내리어 탑을 세우도록 하였다. 
 탑은 전체가 8각으로 조성되었는데, 바닥돌 위에 아래·가운데·윗받침돌을 얹어 기단(基壇)을 마련하고 그 위로 탑몸돌과 지붕돌을 올려 탑신(塔身)을 완성하였다. 기단은 모서리를 둥글게 처리한 8각으로, 아래받침돌에는 엎어놓은 연꽃무늬를, 윗받침돌에는 솟은 연꽃무늬를 새겼다. 가운데돌에는 사자상과 구름에 휩싸인 용의 모습을 교대로 새겼다. 탑신의 몸돌은 각 면마다 무기를 들고 서 있는 신장상(神將像)을 정교하게 새겨 놓았으며, 그 사이마다 새겨진 기둥에는 위로 날아오르는 이무기의 모습을 역동적으로 표현하였다. 지붕돌은 여덟 귀퉁이에서 높이 들려있는데 마치 목조건축의 아름다운 지붕 곡선이 살아난 듯하다.
 태조 3년(1394)에 완성을 보게 된 이 탑은 양식상 종모양이 주류를 이루던 시기에 8각의 평면을 이루는 형식으로 건립된 몇 안되는 탑 가운데 하나로, 조선시대 전기 조형미술의 표본이 되는 귀중한 유물이다. 또한 탑 가득히 새겨진 조각과 둥글게 부풀린 외형이 어우러져 화려함을 더해주고 있다. 탑신의 기둥과 지붕의 곡선, 그리고 지붕 귀퉁이의 용머리조각 등에서 목조건축의 양식을 엿볼 수 있어 당시의 건축과 비교하여 감상할 만하다."
단양 신라 적성비,국보,충북 단양군,"
			
	             
	                 
	                 
	                     충북 단양군 단성면 하방리 산3-1번지
	                 
	             
	         
	         
		",128.321025920588,36.944434451512,"성재산 적성산성 내에 위치한 신라시대의 비로, 신라가 고구려의 영토인 이 곳 적성을 점령한 후에 민심을 안정시키기 위해 세워놓은 것이다. 
비석은 1978년에 발견 당시 비스듬히 누운 상태로 땅속에 묻힌 채로  발견되어 비문이 잘 보존되어 있었다. 
 비(碑)는 위가 넓고 두꺼우며, 아래가 좁고 얇다. 윗부분은 잘려나가고 없지만 양 측면이 거의 원형으로 남아있고, 자연석을 이용한 듯 모양이 자유롭다. 전체의 글자수는 440자 정도로 추정되는데, 지금 남아있는 글자는 288자로 거의 판독할 수 있다. 글씨는 각 행마다 가로줄과 세로줄을 잘 맞추고 있으며, 예서(隸書)에서 해서(楷書)로 옮겨가는 과정의 율동적인 필법을 보여주고 있어 서예 연구에도 좋은 자료가 되고 있다. 
 비문에는 신라의 영토 확장을 돕고 충성을 바친 적성인의 공훈을 표창함과 동시에 장차 신라에 충성을 다하는 사람에게도 똑같은 포상을 내리겠다는 내용이 담겨 있다. 이를 통해 신라의 형벌 및 행정에 대한 법규인 율령제도 발달에 대한 새로운 사실을 알게 되었는데, 노역체제, 재산 분배에 관한 국법이 진흥왕 초반에 마련된 것과 적성 지방에 국한된 관습을 법으로 일반화하고 있는 사실 등이 그러하다.
 비문 첫머리에 언급된 고관 10인의 관등과『삼국사기』의 내용을 견주어 살펴볼 때, 비의 건립은 진흥왕 6∼11년(545∼550) 사이였을 것으로 보인다. 북방공략의 전략적 요충지인 적성지역에 이 비를 세웠다는 것은 새 영토에 대한 확인과 함께 새로 복속된 고구려인들을 흡수하려는 국가의 의지를 표현한 것이다. 비록 순수비(巡狩碑:왕이 직접 순행하며 민정을 살핀 기념으로 세우는 비)는 아니지만, 순수비의 정신을 담고 있는 척경비(拓境碑:영토 편입을 기념하여 세운 비)라는 점에서 큰 가치를 지닌다."
충주 고구려비,국보,충북 충주시,"
			
	             
	                 
	                 
	                     충청북도 충주시 감노로 2319 (중앙탑면, 충주고구려비전시관)
	                 
	             
	         
	         
		",127.848500056674,37.0280868354749,"국내에 유일하게 남아 있는 고구려 석비로, 장수왕이 남한강 유역의 여러 성을 공략하여 개척한 후 세운 기념비로 추정된다. 1979년 입석마을 입구에서 발견되었는데, 오랜 세월이 흐른 탓에 발견 당시 비면이 심하게 마모되어 있었다.
 석비는 돌기둥 모양의 자연석을 이용하여 4면에 모두 글을 새겼는데, 그 형태가 만주에 있는 광개토대왕비와 비슷하다. 비문은 심하게 닳아 앞면과 왼쪽 측면 일부만 읽을 수 있는 상태로, 내용 중 처음에 ‘고려대왕(高麗大王)’이라는 글자가 보이는데 여기에서 고려는 고구려를 뜻한다. ‘전부대사자(前部大使者)’·‘제위(諸位)’·‘사자(使者)’ 등 고구려 관직 이름과 광개토대왕 비문에서와 같이 ‘고모루성(古牟婁城)’등의 글자가 보이고, ‘모인삼백(募人三百)’·‘신라토내(新羅土內)’ 등 고구려가 신라를 불렀던 말들이 쓰여 있어 고구려비임을 확인하게 되었다. 
 고구려 영토의 경계를 표시하는 비로, 백제의 수도인 한성을 함락하고 한반도의 중부지역까지 장악하여 그 영토가 충주지역에까지 확장되었음을 말해준다. 또한 역사적으로 고구려와 신라, 백제 3국의 관계를 밝혀주는 귀중한 자료로서, 우리나라에 남아있는 유일한 고구려비라는 점에서 커다란 역사적 가치를 지닌다."
태종11년이형원종공신록권부함,국보,충북 영동군,"
			
	             
	                 
	                 
	                     서울 종로구 사직로 34 국립고궁박물관
	                 
	             
	         
	         
		",127.7834302,36.1750231,"공신록권은 나라에 공이 있는 인물에게 공신으로 임명하는 증서를 말한다. 이 녹권은 태종이 잠저(潛邸,동궁)에 있을 때 밤낮으로 보좌한 신하들의 공로를 가상히 여겨 포상하고 수여한 원종공신록권으로, 태종 11년(1411) 11월에 당시 통훈대부판사재감사였던 이형에게 발급한 3등공신록권이다. 크기는 가로 243㎝, 세로 34.7㎝이며, 종이질은 닥나무종이이다. 
  태조 이성계가 봉한 원종공신 이후 두 번째로 발급된 녹권으로, 조선 전기 공신에 대한 대우와 공신록 양식을 연구하는 귀중한 역사적 자료로 평가된다."
