문화재명,분류,소재지,상세주소,위도,경도,상세설명
천안 봉선홍경사 갈기비,국보,충남 천안시,"
			
	             
	                 
	                 
	                     충청남도 천안시 서북구 성환읍 대홍리 319-8
	                 
	             
	         
	         
		",127.134710477185,36.943151950305,"봉선홍경사는 고려 현종 12년(1021)에 창건된 절이다. 절이름 앞의 ‘봉선(奉先)’은 고려 현종(顯宗)이 불교의 교리를 전하기 위하여 절을 짓고자 하였으나 실천하지 못하고 돌아가신 아버지 안종(安宗)의 뜻을 받든다는 의미로 붙인 이름이다. 현재 절터에는 절의 창건에 관한 기록을 담은 비석만이 남아 있다.
 갈비(碣碑)는 일반적인 석비보다 규모가 작은 것을 말하는데, 대개는 머릿돌이나 지붕돌을 따로 얹지 않고 비몸의 끝부분을 둥글게 처리하는 것이 보통이다. 하지만 이 비는 거북받침돌과 머릿돌을 모두 갖추고 있어 석비의 형식과 다르지 않다. 
 거북모습의 받침돌은 양식상의 변화로 머리가 용의 머리로 바뀌었고, 물고기의 지느러미같은 날개를 머리 양쪽에 새겨 생동감을 더하고 있다. 비몸돌 앞면 윗쪽에는 ‘봉선홍경사갈기(奉先弘慶寺碣記)’라는 비의 제목이 가로로 새겨져 있다. 머릿돌에는 구름에 휩싸인 용이 새겨져 있다.
 이 비는 비문의 내용으로 보아 절을 세운 지 5년이 지난 고려 현종 17년(1026)에 세운 것으로 알려져 있다. 비문은 ‘해동공자’로 불리던 고려시대 최고의 유학자 최충이 짓고, 백현례가 글씨를 썼다."
보령 성주사지 대낭혜화상탑비,국보,충남 보령시,"
			
	             
	                 
	                 
	                     충청남도 보령시 성주면 성주리 78
	                 
	             
	         
	         
		",126.655469090758,36.3446996913308,"성주사터에 남아 있는 통일신라시대의 승려 낭혜화상 무염(無染)의 탑비이다. 
낭혜화상은 무열왕의 8세손으로 애장왕 2년(801)에 태어나 열세 살 되던 해에 출가, 헌덕왕 13년(821)에 당나라로 유학하여 수도를 통해 깨달음을 얻게 되었고 문성왕 7년(845)에 귀국하여 당시 웅천(지금의 보령)에 있던 오합사(烏合寺)의 주지가 되었다.
 이 절에서 선(禪)을 널리 알리고 점점 크게 번성하게 되자, 왕은 ‘성주사’라는 절 이름을 내려주었으며, 진성여왕 2년(888) 89세로 이 절에서 입적하니 왕은 시호를 ‘낭혜’라 하고, 탑 이름을 ‘백월보광’이라 내리었다.
 절터 서북쪽에 세워진 이 비는 거북 모습의 받침돌 위에 비몸을 세우고 그 위로 머릿돌을 얹은 모습으로 받침돌이 심하게 부서진 채 흙에 묻혀 있던 것을 1974년에 해체·보수하였다. 
 얼굴의 일부분이 깨져 있는 거북은 머리 위쪽에 둥근 뿔이 나 있고, 뒤로 째진 눈에는 눈썹이 휘말려 있으며, 입은 마치 불을 내뿜으려는 기세이다. 등에는 선명한 이중의 육각무늬를 새기고, 중앙에는 제법 굵직한 구름무늬가 사실적으로 표현되어 있다. 구름무늬 위로는 비몸을 꽂아두는 네모난 홈을 높게 마련하여 각 면을 장식하였다. 길다란 비몸은 앞면에만 비문을 새기고, 위쪽 양 모서리를 둥글게 깎아 놓았다. 맨 위에 올려진 머릿돌은 밑면에 연꽃을 두르고, 그 위로 구름과 용이 서로 뒤엉킨 장면을 입체적으로 조각하였는데, 힘찬 용틀임과 웅장한 기상이 잘 나타나 있다. 앞면에는 받침돌의 거북머리와 같은 방향으로 용머리가 툭 불거져 나와 있어 흥미를 자아낸다.
 비문에는 낭혜화상의 업적이 자세히 적혀 있는데, 진골이던 낭혜화상의 가문이 아버지 대에 이르러 6두품의 신분으로 낮아지는 대목도 나타나 있어 당시 신라골품제도의 연구자료로서도 중요한 가치를 지닌다. 최치원이 글을 짓고 그의 사촌인 최인곤이 글씨를 썼으며, 비를 세운 시기는 적혀 있지 않으나, 낭혜화상이 입적한 지 2년 후인 진성여왕 4년(890)에 그의 사리탑을 세웠다는 기록이 있어 이 때 비도 함께 세웠을 것으로 보고 있다.
 통일신라시대에 만들어진 탑비 중에서 가장 거대한 풍채를 자랑하며, 화려하고 아름다운 조각솜씨가 작품속에서 유감없이 발휘되어 통일신라시대 최고의 수준을 보여주고 있다."
부여 정림사지 오층석탑,국보,충남 부여군,"
			
	             
	                 
	                 
	                     충청남도 부여군 정림로 83 (부여읍, 정림사지) 정림사지박물관
	                 
	             
	         
	         
		",126.913363436976,36.2792973520136,"부여 정림사터에 세워져 있는 석탑으로, 좁고 낮은 1단의 기단(基壇)위에 5층의 탑신(塔身)을 세운 모습이다. 신라와의 연합군으로 백제를 멸망시킨 당나라 장수 소정방이 ‘백제를 정벌한 기념탑’이라는 뜻의 글귀를 이 탑에 남겨놓아, 한때는 ‘평제탑’이라고 잘못 불리어지는 수모를 겪기도 하였다.
 기단은 각 면의 가운데와 모서리에 기둥돌을 끼워 놓았고, 탑신부의 각 층 몸돌에는 모서리마다 기둥을 세워놓았는데, 하부로부터 상부로 가면서 점차 폭을 줄이는 민흘림기법을 사용하였다. 얇고 넓은 지붕돌은 처마의 네 귀퉁이에서 부드럽게 들려져 단아한 자태를 보여준다.
 좁고 얕은 1단의 기단과 민흘림기법의 기둥표현, 얇고 넓은 지붕돌의 형태 등은 목조건물의 형식을 충실히 이행하면서도 단순한 모방이 아닌 세련되고 창의적인 조형을 보여주며, 전체의 형태가 매우 장중하고 아름답다. 
익산 미륵사지 석탑(국보)과 함께 2기만 남아있는 백제시대의 석탑이라는 점에서도 귀중한 자료로 평가되며, 세련되고 정제된 조형미를 통해 격조높은 기품을 풍기고 있는 아름다운 작품이다."
예산 수덕사 대웅전,국보,충남 예산군,"
			
	             
	                 
	                 
	                     충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)
	                 
	             
	         
	         
		",126.622672726278,36.6632845477709,"수덕사는 덕숭산에 자리잡고 있는 절로, 절에 남겨진 기록에는 백제 후기 숭제법사가 처음 짓고 고려 공민왕 때 나옹이 다시 고친 것으로 기록되어 있고, 또 다른 기록에는 백제 법왕 1년(599)에 지명법사가 짓고 원효가 다시 고쳤다고도 전한다.
 석가모니불상을 모셔 놓은 대웅전은 고려 충렬왕 34년(1308)에 지은 건물로, 지은 시기를 정확하게 알 수 있는 우리 나라에서 가장 오래된 목조건물 중의 하나이다. 앞면 3칸·옆면 4칸 크기이며, 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕으로 꾸몄다. 지붕 처마를 받치기 위한 구조가 기둥 위에만 있는 주심포 양식이다. 앞면 3칸에는 모두 3짝 빗살문을 달았고 뒷면에는 양쪽에 창을, 가운데에는 널문을 두었다.
 대웅전은 백제 계통의 목조건축 양식을 이은 고려시대 건물로 특히 건물 옆면의 장식적인 요소가 매우 아름답다. 또한 건립연대가 분명하고 형태미가 뛰어나 한국 목조건축사에서 매우 중요한 문화유산으로 평가 받고 있다."
청양 장곡사 철조약사여래좌상 및 석조대좌,국보,충남 청양군,"
			
	             
	                 
	                 
	                     충남 청양군 대치면 장곡리 14번지 장곡사
	                 
	             
	         
	         
		",126.8595648,36.4173064,"충청남도 청양군 칠갑산에 자리잡은 장곡사 상대웅전(보물) 안에 모셔져 있는 철불좌상으로, 나무로 된 광배(光背)를 배경으로 거대한 사각형의 돌로 만든 대좌(臺座) 위에 높직하게 앉아 있다.
 머리 위에는 상투 모양의 머리(육계)가 아담하게 표현되어 있고, 얼굴은 둥글고 단아한 모습이다. 신체는 건장하고 당당한 편이지만 양감이 풍부하지 않고 탄력적인 부피감도 줄어 들어 9세기 후반에 만들어진 불상임을 알 수 있다. 오른손은 손끝이 땅을 향하도록 하고 있으며, 무릎 위에 놓인 왼손에는 약항아리가 얹혀 있었다고 하지만 지금은 없다. 오른쪽 어깨를 드러내고 왼쪽 어깨만을 감싼 옷은 느슨하게 처리되었고, 옷주름 또한 드문드문 표현되었다.
 4각형의 대좌는 불상보다 훨씬 장엄한 모습을 보여주고 있다. 상·중·하 3단 형태의 이 대좌는 하대가 넓고 높은 반면에 중대와 상대는 상대적으로 낮고 작은 편이다. 바닥돌은 매우 넓은 편인데, 사방 모서리에 기둥을 세운 흔적이 있어 불상을 모시던 공간이 있었음을 알 수 있다. 하대에는 엎어 놓은 연꽃무늬를 새기고 각 모서리에는 귀꽃을 큼직하게 조각하였다. 중대의 각면에는 큼직한 눈모양의 안상(眼象)을 새기고, 상대에는 활짝 핀 연꽃무늬를 조각하였다.
 광배는 원래 돌로 되었을 것이나 파손되어 조선시대에 나무광배로 대체한 것 같다. 광배 중심부에는 꽃무늬, 주변에는 불꽃무늬를 새기고 있어 신라말과 고려초에 유행하던 광배를 모방하여 만든 것으로 여겨진다.
 이 불상은 특이한 탑 모양의 대좌와 감실형의 구조, 그리고 단아한 철불양식을 보여주는 9세기 말 양식을 계승한 10세기 초의 뛰어난 불상으로 평가된다."
이순신 난중일기 및 서간첩 임진장초,국보,충남 아산시,"
			
	             
	                 
	                 
	                     충청남도 아산시 현충사길 48 (염치읍, 현충사)
	                 
	             
	         
	         
		",127.0320687,36.806545,"이 책은 임진왜란(1592∼1598) 때에 이순신(1545∼1598)이 친필로 작성한 일기로 연도별로 7권이다.
 이순신은 28살되던 해에 무인 선발시험인 훈련원별과에 응시했으나, 불행하게도 달리던 말이 거꾸러지는 바람에 실격하였고, 4년 뒤 무과에 급제하여 권지훈련원봉사로 처음 벼슬을 시작했다. 사대부가의 전통인 충효와 문학에 있어서 뛰어났을 뿐 아니라 시(詩)를 짓는데도 특출하였다. 전라좌도 수군절도사를 지내던 때 곧 왜적의 침입이 있을 것에 대비하여 여수를 중심으로 배를 만들고 군비를 늘리는 등 일본의 침략에 대처하였다.
 1592년 임진왜란이 터지자 옥포대첩, 거북선이 최초로 모습을 드러낸 사천해전, 당항포해전, 한산대첩 등 곳곳에서 전승을 거두었고, 정유재란 때에는 명량대첩 등에서 승리를 거두었다. 그가 죽은 후 1604년 선무공신 1등에 올랐고, 영의정에 추증되었으며, 충무(忠武)라는 시호가 내려졌다. 지극한 충성심과 숭고한 인격, 위대한 통솔력으로 위기에 처한 나라를 구하였을 뿐만 아니라 민족사에 독보적으로 길이 남을 인물이다.
 일기의 구성을 보면 제1권은『임진일기』로 선조 25년(1592) 5월 1일부터 선조 26년(1593) 3월까지 27매, 제2권은『계사일기』로 선조 26년(1593) 5월 1일부터 9월 15일까지 30매, 제3권은『갑오일기』로 선조 27년(1594) 1월 1일부터 7월 28일까지 52매, 제4권은『병신일기』로 선조 29년(1596) 1월 1일부터 10월 11일까지 41매, 제5권은『정유일기』로 선조 30년(1597) 4월 1일부터 10월 8일까지 27매, 제6권은『정유일기속』으로 선조 30년(1597) 8월 4일부터 선조 31년(1598) 1월 4일까지 20매이나 약간의 중복된 부분이 있다. 제7권은『무술일기』로 선조 31년(1592) 9월 15일부터 10월 7일까지 8매로 구성되어 있다.
 7년의 난 동안 왜적과 싸우면서 틈틈이 계속하여 쓴 것으로, 후손들이 대대로 보존하여 390여년을 간직해 온 것이다. 이것은『충무공전서』에 수록된 난중일기의 초본으로, 내용중에는 수군통제에 관한 군사비책과 전황을 보고한 장계의 초안 등이 상세히 수록되어 있어 당시 군사제도에 대해 연구가치가 매우 높은 자료로 평가된다."
서산 용현리 마애여래삼존상,국보,충남 서산시,"
			
	             
	                 
	                 
	                     충남 서산시 운산면 용현리 2-10번지 / (도로명)운산면 마애삼존불로 65-13
	                 
	             
	         
	         
		",126.605229576013,36.7738058344123,"충청남도 서산시 운산면 가야산 계곡을 따라 들어가면 층암절벽에 거대한 여래입상을 중심으로 오른쪽에는 보살입상, 왼쪽에는 반가사유상이 조각되어 있다. 흔히 ‘백제의 미소’로 널리 알려진 이 마애불은 암벽을 조금 파고 들어가 불상을 조각하여 형성되었다.
 연꽃잎을 새긴 대좌(臺座) 위에 서 있는 여래입상은 살이 많이 오른 얼굴에 반원형의 눈썹, 살구씨 모양의 눈, 얕고 넓은 코, 미소를 띤 입 등을 표현하였는데, 전체 얼굴 윤곽이 둥글고 풍만하여 백제 불상 특유의 자비로운 인상을 보여준다. 옷은 두꺼워 몸의 윤곽이 드러나지 않으며, 앞면에 U자형 주름이 반복되어 있다. 둥근 머리광배 중심에는 연꽃을 새기고, 그 둘레에는 불꽃무늬를 새겼다. 
 머리에 관(冠)을 쓰고 있는 오른쪽의 보살입상은 얼굴에 본존과 같이 살이 올라 있는데, 눈과 입을 통하여 만면에 미소를 띠고 있다. 천의를 걸치지 않은 상체는 목걸이만 장식하고 있고, 하체의 치마는 발등까지 길게 늘어져 있다. 
 왼쪽의 반가상 역시 만면에 미소를 띤 둥글고 살찐 얼굴이다. 두 팔은 크게 손상을 입었으나 왼쪽 다리 위에 오른쪽 다리를 올리고, 왼손으로 발목을 잡고 있는 모습, 오른쪽 손가락으로 턱을 받치고 있는 모습에서 세련된 조각 솜씨를 볼 수 있다. 
 반가상이 조각된 이례적인 이 삼존상은『법화경』에 나오는 석가와 미륵, 제화갈라보살을 표현한 것으로 추정된다. 본존불의 묵직하면서 당당한 체구와 둥근 맛이 감도는 윤곽선, 보살상의 세련된 조형 감각, 그리고 공통적으로 나타나 있는 쾌활한 인상 등에서 6세기 말이나 7세기 초에 만든 것으로 보인다. 
 특히 이 곳은 백제 때 중국으로 통하는 교통로의 중심지인 태안반도에서 부여로 가는 길목에 해당하므로, 이 마애여래삼존상은 당시의 활발했던 중국과의 문화교류 분위기를 엿볼 수 있게 하는 작품이라 하겠다."
무령왕 금제 관식,국보,충남 공주시,"
			
	             
	                 
	                 
	                     충남 공주시 관광단지길 34, 국립공주박물관 (웅진동)
	                 
	             
	         
	         
		",127.112372995153,36.4655996983205,"공주시 무령왕릉에서 출토된 백제의 금으로 만든 왕관(王冠) 꾸미개(장식) 한쌍이다.
 높이는 각각 30.7㎝, 29.2㎝이고, 너비는 각각 14㎝, 13.6㎝이다. 1971년 무령왕릉이 발견·조사되었을 때, 왕의 널(관) 안쪽 머리 부근에서 포개진 상태로 발견되었다.
 금판을 뚫어서 덩굴 무늬를 장식했으며, 밑으로는 줄기가 있는데 아래위로 2~3개의 작은 구멍이 있어 무엇인가에 부착할 수 있도록 해 놓았다. 좌우로 벌어진 줄기 중간에는 꽃 무늬를 배치하였으며, 줄기가 길게 연장되면서 마치 불꽃이 타오르는 듯한 모양새를 보여준다. 두 가닥은 아래로 향하게 하여 변화를 주고 있다. 앞면에는 전체에 걸쳐 구슬모양 꾸미개를 금실로 꼬아서 달았다.
 무령왕릉은 백제 25대 무령왕(재위 501∼522)과 왕비의 무덤으로, 벽돌을 이용해서 만든 벽돌무덤(전축분)이다. 출토된 유물들은 6세기 전반 백제 문화의 수준과 묘제,사장 등의 일면을 알려주는 중요한 자료로 평가되고 있으며, 그 중 지석(誌石)은 삼국시대 고분 가운데 최초로 무덤에 묻힌 주인과 만든 시기를 확실히 밝혀주는 자료가 되고있다."
무령왕 금귀걸이,국보,충남 공주시,"
			
	             
	                 
	                 
	                     충남 공주시 관광단지길 34, 국립공주박물관 (웅진동)
	                 
	             
	         
	         
		",127.112372995153,36.4655996983205,"공주시 무령왕릉에서 출토된 백제시대의 금 귀고리 한 쌍으로 길이는 8.3㎝이다. 왕의 널(관)안 머리 부근에서 발견되었으며, 호화로운 장식이 달려있다.
 굵은 고리를 중심으로 2가닥의 장식을 길게 늘어뜨렸다. 하나는 속이 빈 원통형의 중간 장식 끝에 금판으로 된 커다란 나뭇잎 모양의 장식을 달았다. 이 장식은 무늬가 없어 간소하지만 앞·뒷면에 타원형의 작은 잎을 하나씩 붙여 변화를 주었다. 옆으로 보면 안이 굽은 모습을 하고 있다. 원통형의 중간 장식에는 금선과 금구슬을 이용해 장식한 마개가 있고, 서로 마주보게 나뭇잎 모양의 장식을 둘렀다. 다른 한 가닥은 여러 개의 작은 고리로 이루어진 구슬 모양의 장식에 나뭇잎 모양의 장식을 연결하고, 끝에는 금모자를 씌운 푸른 곱은 옥을 매달아 금색과 조화를 이루게 하였다. 이런 2줄의 귀고리는 경주 금령총에서도 발견된 적이 있다."
무령왕비 금귀걸이,국보,충남 공주시,"
			
	             
	                 
	                 
	                     충남 공주시 관광단지길 34, 국립공주박물관
	                 
	             
	         
	         
		",126.980350241652,37.5240413763397,"공주시 무령왕릉에서 출토된 백제 때 귀고리 2쌍으로 길이는 11.8㎝, 8.8㎝이다. 왕비의 귀고리로, 굵은 고리를 중심으로 작은 장식들을 연결하여 만들었다.
 한 쌍은 복잡한 형식으로 길고 짧은 2줄의 장식이 달려 있고, 다른 한 쌍은 1줄로만 되어있다. 앞의 귀고리 중 긴 가닥은 금 철사를 꼬아서 만든 사슬에 둥근 장식을 많이 연결하였으며, 맨 밑에는 작은 고리를 연결하여 8개의 둥근 장식을 달고 그 아래 탄환 모양의 장식을 달았다.
 짧은 줄의 수식은 다른 한 쌍의 것과 거의 같은 수법이나 탄환 장식은 달지 않고, 잎사귀 모양의 장식과 담록색의 둥근 옥을 달았다.
 국립중앙박물관과 국립공주박물관에 각1쌍씩 보관되어 있다."
