문화재명,분류,소재지,상세주소,위도,경도,상세설명
대전 회덕 동춘당,보물,대전 대덕구,"
			
	             
	                 
	                 
	                     대전 대덕구 동춘당로 80 (송촌동)
	                 
	             
	         
	         
		",127.441416,36.364856,"조선 효종 때 대사헌, 이조판서, 병조판서를 지낸 동춘당(同春堂) 송준길(1606∼1672)선생의 별당(別堂)이다. ‘동춘’은 ‘늘 봄과 같다.’는 뜻으로 이곳에 걸린 현판은 송준길 선생이 돌아가신 6년 후 숙종 4년(1678)에 우암 송시열이 쓴 것이다.
 조선시대 별당 건축의 한 유형으로, 구조는 비교적 간소하고 규모도 크지 않다. 앞면 3칸·옆면 2칸 규모이며, 평면으로는 총 6칸 중 오른쪽 4칸은 대청마루이고 왼쪽 2칸은 온돌방이다. 대청의 앞면·옆면·뒷면에는 쪽마루를 내었고 들어열개문을 달아 문을 모두 들어 열면 내부공간과 외부공간의 차별없이 자연과의 조화를 이룬다. 또한 대청과 온돌방 사이의 문도 들어 열 수 있게 하여 필요시에는 대청과 온돌방의 구분없이 별당채 전체를 하나의 큰 공간으로 사용할 수 있도록 하였다. 건물의 받침은 4각형의 키가 높은 돌을 사용했는데, 조선 후기의 주택건물에서 많이 볼 수 있는 양식이다.
 동춘당은 굴뚝을 따로 세워 달지 않은 것이 특징인데, 왼쪽 온돌방 아래 초석과 같은 높이로 연기 구멍을 뚫어 놓아 유학자의 은둔적 사고를 잘 표현하고 있다. 즉, 따뜻한 온돌방에서 편히 쉬는 것도 부덕하게 여겼기 때문에 굴뚝을 보이지 않게 함으로써 유학적 덕목을 유지하려 했던 것이다. 
 2012~2013년 지붕 보수과정에서 종도리 하부면에서 1617년 상량과 1649년 이축내용이, 또한 종도리 장여 상부면에서 1709년 중수상량과 경과 등의 기록이 발견되었다."
이시방 초상,보물,대전 유성구,"
			
	             
	                 
	                 
	                     대전광역시 유성구 도안대로 398 (상대동, 대전시립박물관)
	                 
	             
	         
	         
		",127.323927393046,36.3718371833675,"李時昉(1594-1660)은 仁祖反正의 주역들인 延平府院君 李貴(1557-1633)의 次子이자 延陽府院君 李時白(1581-1660)의 동생이다. 이시방은 아버지와 형을 따라 1623년의 30세 때 仁祖反正에 참여하여 靖社功臣 2等으로 延城君에 봉해지고, 이후 여러 차례 判書를 지낸 뒤 顯宗 즉위년(1659) 가을에 判義禁府事를 지냈다. 
  현재 대전의 후손가에 전하는 이시방의 초상은 모두 6점인데, 본래는 이시방의 후손들이 世居하던 洪城의 祠堂에서 주로 봉안해오던 것들이라고 한다. 먼저 1623년의 仁祖反正에 참여하여 靖社功臣에 녹훈되던 30세 때의 젊은 모습을 그린 것이 3점인데, 이 중에서 官服本 全身像 1점은 17세기 초반의 전형적인 功臣圖像의 형식과 화법을 보여주고 있기 때문에 이것이 바로 이시방의 靖社功臣像 원작으로 생각된다. 
  그리고 이와 圖像이 같은 半身小像 1점은 훗날 延平府院君 李貴의 祠宇가 있는 公州 木洞面의 盛峰書社(盛峰書院)에 李時昉 像을 모시기 위해서 이 功臣像의 일부를 다소 거칠고 조악하게 摹寫한 것이라고 생각된다. 또 1점의 油紙 草本은 이 胸像을 그릴 때 全身像에서 떠냈던 草本이 아닌가 생각된다. 
  또 다른 한 종류의 초상 3점은 얼굴 모습이 거의 동일한 老年像인데, 2점은 종이에 그린 胸像 草本이고, 나머지 1본은 이 草本을 토대로 하여 비단에 그린 正本의 半身像이다. 
  이 중 17세기 공신 도상의 양식을 잘 보여주고 있는 <관복본 전신상>에 대해서만 보물로 지정한다. 
  ㅇ 규격(세로x가로) : 169.0x93cm(화면), 224.0x106.3cm(전체)"
성수침 필적,보물,대전 유성구,"
			
	             
	                 
	                 
	                     대전광역시 유성구 도안대로 398 (상대동, 대전시립박물관)
	                 
	             
	         
	         
		",127.323927393046,36.3718371833675,"표지에 ‘청송서(聽松書)’라고 쓰여진 이 『성수침 필적(成守琛 筆蹟)』은 16세기 학자 청송(聽松) 성수침(成守琛, 1493~1564)이 당나라 가도(賈島), 두목(杜牧), 이상은(李商隱)과 송나라 구양수(歐陽脩)의 칠언시를 쓴 것이다. 종이 바탕을 줄[行]에 따라 잘라 첩장하였다. 송명흠(宋明欽, 1705~1768)후손의 기증품으로 송명흠의 아버지 송요좌(宋堯佐, 1678~1723)의 [청은당(淸隱堂)]이란 인영(印影)이 있다. 성수침은 이황과 함께 16세기를 대표하는 도학자 명필로 필적은 드문 편이다. 현재 그의 소자(小字)는 몇몇 전하고 있는 상황이고 대자(大字)는 목판밖에 전하지 않는다. 이처럼 큰 글자로 쓴 작품이 현존하는 것은 매우 드문 예이며 담묵(淡墨)을 즐겼던 그의 특징이 또한 잘 나타나 있다. 서예사적으로 매우 가치가 높은 것으로 평가된다."
통영 측우대,보물,대전 유성구,"
			
	             
	                 
	                 
	                     대전 유성구 대덕대로 481, 국립중앙과학관 (가정동)
	                 
	             
	         
	         
		",127.375083429742,36.3754127889834,"국립중앙과학관의 통영(統營) 측우대는 수군통제영이 통영에 있을 때 설치했던 것으로 측우대 앞면 중앙에 ‘측우대(測雨臺)’라는 글자와 ‘신미 2월(辛未 二月)’이라고 명문(銘文)이 새겨져 있어서 1811년(조선 순조 11년) 또는 1871년(조선 고종 8년)에 만든 것으로 해석되고 있다. 명칭뿐만 아니라 제작 년대가 확실하게 명기되어 있는 역사적 가지가 높은 귀한 과학유물 중에 하나로 평가되었다. 
둥근 받침돌 위에 사각 기둥형 측우대가 설치되어 있으며 받침돌에는 금이 가있으나 원형을 유지하고 있다. 현재 측우대 혹은 측우기가 실물로 남아 있는 것은 5개(측우대 4, 측우기 1)뿐이며, 이 측우대는 그 가운데 하나이다. 또한 받침돌까지 남아있는 것은 이 측우대가 유일하다."
송준길 행초 서증손병하,보물,대전 유성구,"
			
	             
	                 
	                 
	                     대전광역시 유성구 도안대로 398 (상대동, 대전시립박물관)
	                 
	             
	         
	         
		",127.323927393046,36.3718371833675,"「송준길 행초 서증손병하(宋浚吉 行草 書贈孫炳夏)」는 조선중기의 학자ㆍ문신ㆍ명필인 동춘당 송준길이 송(宋)나라 양시(楊時)의 칠언절구 「저궁관매기강후(渚宮觀梅寄康侯)」를 장지(壯紙) 네 장을 이어 붙여 대자 행초로 쓴 것이다. 말미에 “숭정기유청화춘옹서증손병하(崇禎己酉淸和春翁書贈孫炳夏)”라 하여 1669년 사월에 64세의 할아버지가 손자 송병하(字 子華)를 위해 써주었음을 알 수 있다.
이 서축(書軸)은 동춘당 송준길(1606~1672)이 남긴 여러 필적 가운데 규모가 제일 큰 대폭으로 손자 송병하라는 수증자와 1669년이란 필사연대를 완벽하게 갖춘 예이다. 또 종택에 전해오던 필적으로 보존상태도 매우 양호하다."
대전 계족산성,사적,대전 대덕구,"
			
	             
	                 
	                 
	                     대전 대덕구 장동 산85번지 외
	                 
	             
	         
	         
		",127.455,36.3948,"대전시 장동 계족산(해발420m) 정상에서 능선을 따라 축조된 테뫼식 석축산성이다. 이 산성은 백제가 쌓은 것으로 알려져 왔으나, 1998∼99년 발굴을 통해 신라에서 쌓은 것으로 밝혀졌다.
 산성의 높이는 약 7∼10m 가량 되며, 동·서·남쪽에 문터를 만들었다. 성 안에서 삼국시대에 만든 큰 우물터가 발견되었고, 성내 건물터에서는 고려시대 기와편과 조선시대 자기편이 발견되어 조선시대까지 사용되었음을 알 수 있다.
 성쌓기 방법은 보은에 있는 신라 삼년산성(사적)과 같은 방식으로 쌓았다는 것이 발굴을 통해 밝혀졌고, 출토된 토기 중 가장 오래된 것이 6세기 중·후반의 신라토기임이 밝혀졌다. 이후에 나온 토기 형태도 백제계는 소수이며 다수의 신라계 토기가 보여, 한때 백제가 점령하긴 했지만 신라에 의해 만들어진 산성으로 조사되었다.
 계족산성은 새로운 발굴 성과에 의해 신라가 쌓은 것으로 나타났으나 아직도 논란이 있으며, 6세기 중·후반 신라나 백제에 의해 만들어진 산성으로, 당시 대전지방이 가진 전략적 중요성을 보여준다.

&lt;br/&gt;&lt;b&gt;※(대덕계족산성 → 대전 계족산성)으로 명칭변경 되었습니다. (2011.07.28 고시)&lt;/b&gt;"
대전 괴곡동 느티나무,천연기념물,대전 서구,"
			
	             
	                 
	                 
	                     대전광역시 서구 괴곡동 985-0
	                 
	             
	         
	         
		",127.354428838228,36.2860972053833,"대전 괴곡동 느티나무는 마을에서 오랫동안 마을의 수호목으로 여겨, 매년 칠월칠석이면 마을사람 모두가 나무 앞에 모여 칠석제를 올릴 만큼 주민들의 정신적 구심점 역할을 해 왔다는 점에서 그 문화적 가치가 크다."
대전 동춘당 종택,국가민속문화유산,대전 대덕구,"
			
	             
	                 
	                 
	                     대전광역시 대덕구 동춘당로 80 (송촌동, 대전 동춘당 종택)
	                 
	             
	         
	         
		",127.441543,36.36524,"대전 동춘당 종택은 조선 후기 기호학파의 대표적인 학자인 동춘당 송준길(宋浚吉, 1606~1672)의 5대조 송요년(宋遙年, 1429~1499)이 15세기 후반 건립하였다고 전해지며, 이후 몇차례 이전을 하여 현재는 1835년 보수할 때의 모습으로 남아 있다.
 이 고택은 임진왜란 이전 충청지역 살림집의 흔적을 유추해볼 수 있는 희소성이 있고, 상량문 등의 기록과 유적 등을 통해 변천과정을 명확히 알 수 있는 훌륭한 국가유산이다. 안채는 충청지역에서는 드문 ‘ㄷ’자형 평면을 이루며, 6칸규모의 대청마루와 세로로 긴 안마당 구성은 이 지역 상류주택의 특성을 나타내며,  사랑채는 일자형으로 규모가 크고 큰사랑방과 작은사랑방이 별도의 마루를 갖고, 내외담을 통해 안채와의 절묘한 배치를 볼 수 있다.
 또한 동춘당 송준길의 불천위와 기타 제례가 그대로 전승되고 있고, 문중에서 소장하고 있는 방대한 고문서 등은 조선 중기부터 근대에 이르기까지 집안의 생활사와 지역 향촌사회의 변화를 볼 수 있는 귀한 자료이다.
※ 위 국가유산은 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다."
대전 소대헌·호연재 고택,국가민속문화유산,대전 대덕구,"
			
	             
	                 
	                 
	                     대전광역시 대덕구 동춘당로 70 (송촌동, 대전 소대헌 호연재 고택)
	                 
	             
	         
	         
		",127.442585,36.365015,"대전 소대헌·호연재 고택은 조선 후기 기호학파의 대표적인 학자인 동춘당 송준길(宋浚吉, 1606~1672)의 둘째 손자인 송병하(宋炳夏, 1646~1697)가 1674년 분가하여 건립한 고택으로, 송병하의 아들 소대헌 송요화(宋堯和, 1682~1764)가 1714년 옮겨 지었다. 
 소대헌 송요화의 부인 안동 김씨(1681~1722)는 조선후기 여류문학을 대표하는 시인으로서 호가 호연재(浩然齋)로 경서와 사서에도 능통하였다 하며 한시 134수를 남겼다.
 고택은 조선 중기 대전지역의 살림집을 이해할 수 있는 건축적 가치를 가지고 있으며, 충청지역에서는 보기 드물게 큰사랑채와 작은사랑채를 동시에 갖추고 대청을 한 쪽에 두는 방식이나 안채의 마루방과 툇마루 등이 전면 뿐 아니라 사방에 다양한 크기로 배치하는 양식은 지역적 특색을 나타내고 있다.
 큰집 격인 동춘당 종택과 함께 한 집안의 가계 계승, 충청지역의 명문가 후손 집안으로서의 면모를 찾을 수 있으며, 비교적 조선 중기의 원형이 잘 남아 있고, 대전지역에서는 살림집이 거의 남아 있지 않은 상태에서 지역적 특색을 알 수 있는 희소성이 있는 등 민속적 자료로서 가치가 높다.
※ 위 국가유산은 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다."
송자대전판,시도유형문화유산,대전 동구,"
			
	             
	                 
	                 
	                     대전광역시 동구 충정로 53 (가양동, 남간정사)
	                 
	             
	         
	         
		",127.4473186,36.3489692,"이 목판은 조선 후기의 대유학자 우암 송시열(1607∼1689) 의 문집과 연보 등을 모아 만든 『송자대전』의 목판으로 총 11,023판이다.
송시열은 김장생의 문하생으로 힘있고 논리적인 문장과 서체에 뛰어났고 평생 주자학연구에 몰두하여 율곡 이이의 학통을 잇는 기호학파의 주류이었다. 여러 관직을 거쳐 좌의정까지 오르지만 낙향과 유배, 재기용과 은거를 거듭하며 결국은 남인들에 의해 사약을 받고 목숨을 잃었다.
『우암문집』의 초판은 1717년(숙종 43)에 민진후가 임금의 명을 받아 교서관에서 금속활자로 간행하였으며, 그 후 정조 즉위 초에 전서간행의 어명이 떨어져 글을 수집하였고, 옛 책과 합쳐 그 목판본이 1787년(정조 11)에 평안감영에서 책으로 만들어졌다. 하지만 그 첫권과 연보는 서울의 교정소에서 별도로 간행되었으며, 총 215권 102책의 전서(全書)를 완성하여 『송자대전』이라 이름하였다.
송자대전책판은 1819년(순조 19)에 장판각을 지어 보관하였으나 1907년에 정미7조약에 반대하여 의병이 궐기하자, 일본군은 장판각이 있던 환장사가 의병의 유숙처라는 이유로 방화, 이로 인해 소실되었다. 현재 우암사적공원 장판각 내에 소장된 목판은 1920년대에 송시열의 후손과 유림들이 다시 간행한 것이다. 이 때 『송서습유』4책과 『속습유』2책을 함께 간행함으로써 『송자대전』은 총 108책에 달하게 되었다."
