문화재명,분류,소재지,상세주소,위도,경도,상세설명
여주 고달사지 승탑,국보,경기 여주시,"
			
	             
	                 
	                 
	                     경기도 여주시 북내면 상교리 411-1
	                 
	             
	         
	         
		",127.652160778359,37.3939072455202,"고달사터에 남아 있는 높이 4.3m의 고려시대의 승탑이다. 고달사는 통일신라시대 경덕왕 23년(764)에 창건된 절로, 고려 광종 이후에는 왕들의 보호를 받아 큰 사찰로서의 면모를 유지하기도 하였으나, 조선시대에 폐사된 것으로 추정된다.

  이 탑은 바닥의 형태가 8각을 이루고 있으며, 꼭대기의 머리장식이 완전하지 않은 것을 제외하면 대부분 잘 남아있다. 전체의 무게를 지탱하고 있는 기단(基壇)은 상·중·하대 세 부분으로 구성되어 있다. 하대의 각 면에는 내부에 꽃 형태의 무늬가 있는 안상(眼象)이 2구씩 새겨져 있고 윗면에는 16엽의 연판이 돌려졌다. 중대는 이 승탑에서 가장 조각수법이 뛰어난 부재로써 거의 원형을 이루고 있으며, 정면을 바라보고 있는 용과 같은 얼굴의 거북은 입체적으로 표현되어 사실감이 느껴진다. 가운데 거북을 중심으로 총 네 마리의 용이 보주를 쥐고 있으며, 나머지 공간은 구름무늬를 가득 채웠다. 상대석에는 큼지막한 8엽의 앙련이 조각되어 탑몸돌을 받치고 있다.  

  탑몸돌에는 문비와 자물쇠, 사천왕상(四天王像), 광창(光窓)이 표현되어 있다. 몸돌을 덮고 있는 지붕돌은 꽤 두꺼운 편으로 아랫면에 비천과 구름을 표현하였다. 지붕돌 윗면 각 모서리를 따라 아래로 미끄러지면 그 끝마다 큼직한 귀꽃이 달려 있는데, 일부는 파손된 상태이다. 상륜부에는 둥글넓적한 복발 위로 보개(寶蓋)와 보주(寶珠)가 올려져있다. 

  전체적으로 통일신라 승탑의 기본형인 팔각원당형 구조를 잘 따르면서도 조각의 세부수법에서는 고려 특유의 양식을 보이고 있어 고려시대 전기에 세워졌을 것으로 보인다."
용주사 동종,국보,경기 화성시,"
			
	             
	                 
	                 
	                     경기 화성시 용주로 136, 용주사 (송산동)
	                 
	             
	         
	         
		",126.8311887,37.1994932,"신라 종 양식을 보이는 고려시대 초기에 만들어진 대형의 범종으로, 높이1.44m, 입지름 0.87m, 무게 1.5톤이다.
 종 맨 위에는 소리의 울림을 도와 주는 용통이 있고, 고리 역할을 하는 용뉴는 용이 여의주를 물고 두 발로 힘차게 몸을 들어 올리는 형상을 하고 있다. 윗 문양띠(上帶)에는 구슬무늬로 테두리를 하고 있는데, 아래 위 서로 어긋나게 반원을 그리고 그 안에 꽃과 구슬무늬을 새긴 넓은 띠를 두르고 있다. 이 띠는 사각형 모양의 연곽과 한 면이 붙어 있다.
 4곳의 연곽 안에는 9개의 돌출된 연꽃 모양의 연뢰가 있는데, 남아 있는 것은 1곳 뿐이다. 종의 몸체 앞뒤에는 비천상을, 좌우에는 삼존상(三尊像)을 두었고, 아래쪽으로 치우쳐 4곳에는 종을 치는 부분인 원형의 당좌를 두었다. 비천상과 삼존상은 모두 구름을 타고 하늘을 나는 모습으로 옷자락이 가볍게 날리고 있다. 종 입구 부분의 아래 띠(下帶)는 구슬무늬로 테두리를 하고 윗띠(上帶)와는 다르게 덩굴무늬를 두고 있어 이 종의 특징이 되고 있다.
 종 몸체에 통일신라 문성왕 16년(854)에 조성된 것이라는 후대에 새긴 글이 있으나, 종의 형태와 문양이 그 시대와 일치되지 않아 학계에서는 고려 전기의 종으로 추정하고 있다. 용통에 약간 금이 가고 연뢰가 부서진 것 외에는 보존 상태가 좋으며, 조각한 수법이 뛰어나 고려 종의 걸작 중 하나로 손꼽히고 있다."
초조본 유가사지론 권17,국보,경기 용인시,"
			
	             
	                 
	                 
	                     경기 용인시 처인구 명지로 116, 박물관 (남동)
	                 
	             
	         
	         
		",127.1883065,37.2244074,"『유가사지론』은 인도의 미륵보살이 지은 글을 당나라의 현장(602∼664)이 번역하여 천자문의 순서대로 100권을 수록한 것으로, 11세기에 간행한 초조대장경 가운데 하나이다. 이 가운데 권17은 습(習)자의 함에 들어있는 것으로, 종이질은 닥나무종이이며, 가로 45㎝, 세로 28.5㎝이다. 
 처음 새긴 본으로 『현양성교론』 권11(국보)과 같이 11세기에 새겨 인출한 것으로 보인다. 후에 다시 새긴 본과는 판식과 간행기록이 서로 다르며, 처음에 새긴 이 본은 경(敬)자, 경(竟)자가 각각 횟수가 빠져있으나, 다시 새긴 본은 모두 완전하게 고쳐 새겨지고 있다. 
 판각기술은 처음 새긴 이 본이 다시 새긴 본보다 나은 편이며, 지금까지 전해지는 초조대장경 가운데 보존상태가 좋은 것에 속한다."
조선방역지도,국보,경기 과천시,"
			
	             
	                 
	                 
	                     경기 과천시 교육원로 86, 국사편찬위원회 (중앙동,국사편찬위원회)
	                 
	             
	         
	         
		",126.9796956,37.4241633,"조선 전기에 제작된 우리나라 지도이다. 크기는 가로 61㎝, 세로 132㎝이다. 3단 형식으로 되어 있는데, 맨 윗부분에는 ‘조선방역지도’라는 제목이 적혀있고 중간 부분에는 지도가 그려져 있으며 맨 아래부분에는 지도 제작에 관련된 사람들의 관직·성명 등이 기록되어 있다. 
 지도에는 조선 팔도의 주현(州縣)과 수영(水營) 및 병영(兵營)이 표시되었는데 특히 각 군과 현마다 색을 다르게 하여 알아보기 쉽게 하였을 뿐만 아니라 산과 강의 경계도 자세하고 정확하게 묘사하고 있다. 지도의 형태는 지금의 전국지도 모습과 매우 유사하다. 북쪽으로는 만주지역과 남쪽으로는 제주도, 대마도까지 표시하여, 조선 전기 영토의식을 엿볼 수 있다.
 이 지도는 명종 12년(1557)∼명종 13년(1558)경에 제작되었다고 추정되며, 임진왜란 때 일본에 유출되어 대마도에 보관되어 있던 것을 1930년대에 입수한 것이다. 이 시기 우리나라 지도의 제작 수준 및 형식을 알 수 있어 더욱 가치 있다. 또한, 만든 이와 연대가 확실한 작품으로 다른 지도의 제작 시기도 밝힐 수 있는 중요한 자료이다."
초조본 대방광불화엄경 주본 권1,국보,경기 용인시,"
			
	             
	                 
	                 
	                     경기 용인시 기흥구 상갈로 6, 경기도박물관 (상갈동)
	                 
	             
	         
	         
		",127.108755608431,37.2683295776315,"대방광불화엄경은 줄여서 ‘화엄경’이라고 부르기도 한다. '화엄경'은 부처와 중생이 둘이 아니라 하나라는 것을 기본사상으로 하고 있는 화엄종의 근본경전으로, 법화경과 함께 한국 불교사상 확립에 크게 영향을 끼친 불교경전 가운데 하나이다.
 이 책은 고려 현종 때(재위 1011∼1031) 부처님의 힘으로 거란의 침입을 극복하고자 만든 초조대장경 가운데 하나로, 당나라의 실차난타(實叉難陀)가 번역한『화엄경』주본 80권 중 권 제1이다. 닥종이에 찍은 목판본으로 두루마리처럼 말아서 보관할 수 있도록 되어 있으며, 전체 크기는 세로 28.5㎝, 가로 1223.5㎝이다.
 초조대장경은 이후에 만들어진 해인사대장경(재조대장경 또는 고려대장경)과 비교해 볼 때 몇 가지 차이점이 있다. 목판의 새김이 정교한 반면에 해인사대장경과 글자수가 다르고 간행연도를 적은 기록은 없으며, 군데군데 피휘(避諱:문장에 선왕의 이름자가 나타나는 경우 공경과 삼가의 뜻을 표시하기 위하여 글자의 한 획을 생략하거나 뜻이 통하는 다른 글자로 대치하는 것)와 약자(略字)가 나타난다. 또 초조대장경은 책의 장수를 표시하는데 있어서 대체로 ‘장(丈)’자나 ‘폭(幅)’자를 쓰는 데 비해 해인사대장경은 ‘장(張)’자로 통일되어 있다.
 이 책에서도 ‘경(敬)’자의 한 획이 빠져있는 점, 각 장의 글자수가 23행 14자로 해인사대장경의 24행 17자와 다른 점, 책의 장수 표시로 ‘장(丈)’자를 쓰고 있는 점, 간행기록이 없는 점 등을 통해서 초조대장경의 특징을 살필 수 있다.
 우리나라에 전해지는 초조본 대방광불화엄경 중 유일한 권 제1로, 11세기경에 찍어낸 초조대장경의 모습을 살펴볼 수 있는 귀중한 자료이다."
통감속편,국보,경기 성남시,"
			
	             
	                 
	                 
	                     경기 성남시 분당구 하오개로 323, 한국학중앙연구원 (운중동)
	                 
	             
	         
	         
		",127.052183461948,37.3930295720453,"원(元)편으로 중국 고대 반고씨부터 고신씨까지 그리고 당나라 천복 1년(901)에서 송(宋)나라 상흥 2년(1279)까지의 사적을 기록한 역사서이다. 이 책은 원나라 1361년에 중국에서 발간된 적이 있고, 그후 60년만에 우리나라에서 찍어냈다. 이 책의 크기는 가로 18.3㎝, 세로 29.2㎝이다. 
 판본은 권말에 있는 변계량의 주자발(鑄字跋)에 의하면, 세종 2년(1420) 11월에 공조참찬 이천에게 명하여 새로운 활자를 만들어서 인쇄한 경자자본으로서 세종 4년(1422)에 간행된 것이며, 서, 목록, 서례는 계미자이다. 권말에 있는 변계량의 주자발은 『통감속편』 외에도 『세종실록』 권18, 『춘정집』 권12, 『동문선』 권103에 실려있다. 
 이 책은 서지학 및 고인쇄기술사를 연구하는데 매우 귀중한 자료가 된다."
칠장사 오불회 괘불탱,국보,경기 안성시,"
			
	             
	                 
	                 
	                     경기 안성시 죽산면 칠장로 399-18, 칠장사 (칠장리)
	                 
	             
	         
	         
		",127.3976762,37.0264259,"괘불이란 절에서 큰 법회나 의식을 행하기 위해 법당 앞뜰에 걸어놓고 예배를 드리는 대형 불교그림이다. 칠장사 괘불은  길이 659.5cm, 폭 398.3cm의 크기로, 구름을 이용하여 상·중·하 3단으로 구분되었다.  
오불회 괘불탱은 상단에 비로자나불을 중심으로 노사나불, 석가모니불을 모셔 삼신불을 묘사하고, 그 아랫단에는 약사불과 아미타불, 그리고 상단의 석가모니불을 아울러 삼세불을 표현하였으며, 가장 하단에는 관음보살좌상과 지장보살좌상을 그려 수미산 정상의 도솔천궁을 표현하였다. 이러한 3단 배치는 예배자들에게 삼신불과 삼세불의 세계를 통해 진리를 깨우치게 하고, 관음보살과 지장보살의 구원으로 도솔천궁에 이를 수 있음을 보여주는 것으로 이 괘불의 가장 큰 특징이라 하겠다. 
 채색은 녹색을 주로 하고 황색과 황토색을 대비시켜 다소 어두워 보이나, 옷 처리를 붉은색으로 하여 경쾌함을 느낄 수 있다.
 이 괘불은 조선 인조 6년(1628)에 법형(法浻)이 그린것 이다. 괘불에서 보이는 단아하고 세련된 인물의 형태와 짜임새 있는 구도, 섬세한 필치 등은 당대를 대표하는 것으로, 이 작품은 17세기 전반의 불화 연구에 중요한 위치를 차지하고 있다."
동의보감(2015-2),국보,경기 성남시,"
			
	             
	                 
	                 
	                     경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)
	                 
	             
	         
	         
		",127.052183461948,37.3930295720453,"『동의보감(東醫寶鑑)』은 허준(許浚,1539∼1615)이 1610년(광해군 2)에 조선과 중국에 유통되던 의서와 임상의학적 체험을 통한 치료법을 엮어놓은 우리나라 최고의 한의서이다. 선조는 1596년에 허준과, 양예수(楊禮壽), 이명원(李命源) 등에게 명하여 의서를 편찬토록 하였으나 전쟁으로 중단되었다. 이후 허준은 14년 동안 정력을 쏟아 1610년에 드디어 완성하였으니 이것이『동의보감』이다.『동의보감』은 우리나라 사람이 찬술한 의서 중에서 최고라는 국내외의 평가를 받고 있다. 초간본은 편찬된 지 3년 후인 1613년(광해군 5) 11월에 내의원에서 목활자로 간행하였으며, 모두 25권 25책이다.
 내용은 목록 2권, 「내경편(內景篇)」4권 26조,「외형편(外形篇)」4권 26조,「잡병편(雜病篇)」11권 38조,「탕액편(湯液篇)」3권 17조, 「침구편(鍼灸篇)」1권 1조 등 모두 25권 108조목으로 구성되었다. 전개방식은 내경, 외형, 잡병, 탕액, 침구 등의 5대강(大綱)을 기준으로 각기 세부 분류한 다음 해당되는 병의 이론, 처방, 출전을 밝혀놓았다.   
 『동의보감』은 조선뿐 아니라 중국과 일본 등에도 광범위하게 유포되었다. 곧 명말청초(明末清初)에 중국으로 유출되어 중국에서는 1763년(乾隆 28）이후 수차례 간행되었다. 일본에서도 1724년(享保 9）에 교토서림(京都書林)에서 처음 간행된 이후 1799년(寛政 11）에는 오사카서림(大坂書林)에서 재판본이 간행되는 등 『동의보감』은 동양의학의 필독서가 되었다. 

한국학연구원 소장본 『東醫寶鑑』에는 內賜記가 없다. 그러나 서문의 앞부분에 ‘宣賜之寶’를 찍었고, 우측 변란 밖으로 후에 조선총독부에서 찍은 ‘茂朱赤裳山 史庫所藏 朝鮮總督府寄贈本’이라는 長方形朱印이 있어 적상산사고본임을 알 수 있다. 다른 사고본의 내지에 內賜記가 있었던 점을 고려한다면 책이 기증되는 특정 시기에 해당 면이 결실되었음을 알 수 있다. 
한국학연구원 소장본 『東醫寶鑑』은 국립중앙도서관 소장본과 동일본으로 완질을 갖추고 있으며, 보존 상태도 매우 양호하다."
안양 중초사지 당간지주,보물,경기 안양시,"
			
	             
	                 
	                 
	                     경기 안양시 만안구 예술공원로103번길 4 (석수동) / (지번)경기 안양시 만안구 석수동 212-1
	                 
	             
	         
	         
		",126.917722462831,37.4178993120815,"절에 행사가 있을 때 절 입구에 당(幢)이라는 깃발을 달아두는데 이 깃발을 달아두는 장대를 당간(幢竿)이라 하며, 장대를 양쪽에서 지탱해 주는 두 기둥을 당간지주라 한다. 이 당간지주는 양 지주가 원래 모습대로 85㎝ 간격을 두고 동서로 서 있다. 이곳을 중초사터라고 하는 것은 서쪽지주의 바깥쪽에 새겨진 기록에 따른 것이다. 
 현재 지주의 기단은 남아있지 않고, 다만 지주 사이와 양쪽 지주의 바깥에 하나씩 총 3장을 깔아서 바닥돌로 삼고 있는데, 이 역시도 원래의 모습이라고 보기는 어렵다. 기단 위에 당간을 세우는 받침은 지주 사이에 돌을 마련하고 그 중심에 지름 36㎝의 둥그런 구멍을 뚫어서 마련하였다. 
 양쪽 지주에 장식적인 꾸밈이 없으며, 윗부분을 둥글게 다듬은 흔적이 있어 시대가 오래된 것임을 알 수 있다. 당간을 고정시키기 위한 간구멍을 각각 지주의 상·중·하 세 곳에 뚫었다. 동쪽 지주의 윗부분이 깨어져 있는데, 8·15해방 후 인근의 석수(石手)들이 석재로 반출하기 위한 자취라고 전해진다.
 각 부분에 섬세하게 조각을 해두지는 않았어도, 단정한 아름다움을 보여주는 작품이다. 서쪽 지주의 바깥쪽에 새겨진 명문은 모두 6행 123자로 해서체로 쓰여졌다. 이 글에 의하면 신라 흥덕왕 1년(826) 8월 6일에 돌을 골라서 827년 2월 30일에 건립이 끝났음을 알 수 있다. 당간지주에 문자를 새기는 것은 희귀한 예로, 만든 해를 뚜렷하게 알 수 있는 국내에서 유일한 당간지주이다."
중초사지삼층석탑,보물,경기 안양시,"
			
	             
	                 
	                 
	                     경기 안양시 만안구 예술공원로103번길 4 (석수동)
	                 
	             
	         
	         
		",126.9182016,37.4182548,
