문화재명,분류,소재지,상세주소,위도,경도,상세설명
초조본 유가사지론 권53,국보,인천 연수구,"
			
	             
	                 
	                 
	                     인천 연수구 청량로102번길 40-9, 가천박물관 (옥련동)
	                 
	             
	         
	         
		",126.6567179,37.4198044,"『유가사지론』은 인도의 미륵보살이 지은 글을 당나라의 현장(602∼664)이 번역하여 천자문의 순서대로 100권을 수록한 것으로, 11세기에 간행한 초조대장경 가운데 하나이다.
 이 본은 100권 가운데 제53권으로, 처음 새긴 본이다. 종이질은 닥나무종이이며, 가로 48㎝, 세로 28.4㎝이다. 
 이 판본은 해인사에서 보관하고 있는 재조대장경 판본과 비교해보면 판수제와 권, 장, 함차표시의 위치에 차이가 있다."
강화 장정리 오층석탑,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천 강화군 하점면 장정리 산193번지
	                 
	             
	         
	         
		",126.420042864761,37.7800208605254,"이 탑은 무너져 있었으나 1960년 수리하여 다시 세운 것이다. 파손된 곳도 많고, 없어진 부재도 많아서 3층 이상의 몸돌과 5층의 지붕돌, 머리장식 부분 등이 모두 사라진 상태이다. 낮은 언덕의 중턱에 위치하고 있는 절터로 그 규모를 알 수가 없으며, 가람을 배치한 흔적도 찾아볼 수 없다.
 탑은 1층의 기단 위에 5층의 탑신을 올린 모습이다. 기단의 네 모서리에는 기둥모양을 새겼다. 탑신부은 1층 몸돌만 두 장의 돌로 짜여있고, 그 이상은 각각 하나의 돌이다. 1층 몸돌의 크기에 비해 2층 몸돌의 크기가 급격히 줄어들어 있다. 지붕돌은 밑면에 1층은 4단, 나머지층은 3단의 받침을 두었으며, 추녀밑은 반듯하다가 네 귀퉁이에서 약간 치켜올려져 있다. 탑이 무너졌을 때 추녀마루가 깨어져, 치켜오른 정도를 정확히 알 수 없는 점이 안타깝다. 
 전체적으로 무거운 느낌을 주며, 각 부분에 두는 장식이 많이 생략되었고, 형식적으로 표현된 부분이 많은 탑이다. 신라석탑의 양식을 이어받아 변형된 고려시대 석탑의 전형적인 특징을 보여주는 작품으로 고려 후기에 만들어진 것으로 짐작된다."
사인비구 제작 동종 - 강화 동종,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천 강화군 하점면 부근리 350-4번지 강화역사박물관
	                 
	             
	         
	         
		",126.4835663,37.7483209,"조선 숙종 때 경기도와 경상도 지역에서 활동한 승려인 사인비구에 의해서 1711년에 만들어진 조선시대 종이다.
사인비구는 18세기 뛰어난 승려이자 장인으로 전통적인 신라 종의 제조기법에 독창성을 합친 종을 만들었다. 현재 그의 작품 8구가 서로 다른 특징을 보이며 전해지고 있다.
이 종은 사인비구의 거의 말년에 해당되는 거의 말년에 해당되는 숙종 37년(1711)에 제작된 종으로, 높이 198㎝, 입지름 138㎝이다. 종 꼭대기에는 두마리 용이 좌우로 서로 얼굴을 맞대고 종을 매달기 위한 고리 역할을 하고 있다. 종 윗면은 반원 모양으로 둥글고, 어깨 부분에는 ㄱ자형의 턱을 만들었다. 이것은 고려시대 꽃잎을 세워 장식하여 어깨부분이 돌출되었던 입상화문대에서 새롭게 변화시킨 모습으로 보인다.
어깨에서 훨씬 떨어진 곳에 사각형 모양의 연곽이 4곳에 있는데, 그 안에는 9개씩의 연꽃으로 된 돌기 연뢰(蓮蕾)가 있다. 몸통 중앙에는 중국 종 양식을 따른 굵은 2줄의 횡선을 둘러 상·하로 2등분하였다. 횡선 아래로는 종 입구 바로 위에 꽃무늬를 새긴 넓은 띠가 있을 뿐, 다른 장식은 하지 않았으며, 제작 시기를 알 수 있는 명문을 새겼다.
이 종은 전통적인 범종 양식을 계승 하였던 사인비구가 그의 말년에는 이처럼 중국 종 계열을 따른 범종을 제작하였다는 점을 밝혀주는 자료이다."
강화 정수사 법당,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천광역시 강화군 해안남로 1258번길 142 (화도면) / (지번)인천 강화군 화도면 사기리 산86
	                 
	             
	         
	         
		",126.445345,37.607783,"정수사는 신라 선덕여왕 8년(639) 회정선사가 세웠고 조선시대 세종 8년(1426)에 함허대사가 다시 지었는데, 건물 서쪽에서 맑은 물이 솟아나는 것을 보고 이름을 정수사라 고쳤다고 한다.
 이 법당은 석가모니불상을 모신 대웅보전으로, 1957년 보수공사 때 숙종 15년(1689)에 수리하면서 적은 기록을 찾아냈다. 기록에 따르면 세종 5년(1423)에 새로 고쳐 지은 것이다.
 규모는 앞면 3칸·옆면 4칸이지만 원래는 툇마루가 없이 앞면과 옆면이 3칸 건물이었던 것으로 추정한다. 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕이고, 지붕 무게를 받치기 위해 장식하여 만든 공포가 기둥 위에만 있는 주심포 양식으로 앞뒷면이 서로 다르게 나타나고 있다. 이것은 앞면 퇴칸이 후대에 다시 설치되었다는 것을 뜻한다. 앞쪽 창호의 가운데 문은 꽃병에 꽃을 꽂은 듯 화려한 조각을 새겨 뛰어난 솜씨를 엿보게 한다."
강화 전등사 대웅전,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천 강화군 길상면 전등사로 37-41, 전등사 (온수리) / (지번)인천 강화군 길상면 온수리 635 전등사
	                 
	             
	         
	         
		",126.484766,37.632094,"전등사는 고구려 소수림왕 11년(381) 아도화상이 세웠다고 전하지만 고려 중기까지의 역사는 확실히 알 수 없다. 조선 선조 38년(1605)과 광해군 6년(1614)에 큰 불이 일어나 절이 모두 타버려, 그 이듬해 다시 짓기 시작하여 광해군 13년(1621)에 원래의 모습을 되찾았다고 한다.
 석가여래삼존불을 모시고 있는 대웅전은 광해군 13년(1621)에 지은 것으로 알려져 있다. 규모는 앞면 3칸·옆면 3칸이며 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다. 지붕 처마를 받치기 위한 장식구조가 기둥 위뿐만 아니라 기둥 사이에도 있는 다포 양식이다. 
 네 모서리기둥 윗부분에는 사람 모습을 조각해 놓았는데 이것은 공사를 맡았던 목수의 재물을 가로챈 주모의 모습이라는 전설이 전해져 오는데, 재물을 잃은 목수가 주모의 나쁜 짓을 경고하고 죄를 씻게 하기 위해 발가벗은 모습을 조각하여 추녀를 받치게 하였다는 것이다. 더욱 흥미로운 것은 3곳의 처마 밑에서는 두손으로 처마를 받치며 벌을 받고 있는 모양새인데 비해, 한 귀퉁이의 것은 한 손으로만 처마를 받치고 있다는 점이다. 마치 벌을 받으면서도 꾀를 부리고 있는 듯한 모습으로 우리 선조들의 재치와 익살을 느낄 수 있는 대목이다.
 당시의 능숙한 조각 솜씨를 엿볼 수 있고, 조선 중기 이후의 건축사 연구에 중요한 자료로 평가받고 있다."
강화 전등사 약사전,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천 강화군 길상면 전등사로 37-41, 전등사 (온수리) / (지번)인천 강화군 길상면 온수리 635 전등사
	                 
	             
	         
	         
		",126.484394,37.632143,"전등사는 고구려 소수림왕 11년(381) 아도화상이 세웠다고 전하지만 고려 중기까지의 역사는 확실히 알 수 없다. 조선 선조 38년(1605)과 광해군 6년(1614)에 큰 불이 일어나 절이 모두 타버려, 그 이듬해 다시 짓기 시작하여 광해군 13년(1621)에 원래의 모습을 되찾았다고 한다.
 대웅보전 서쪽에 있는 아담한 약사전은 중생의 병을 고쳐준다는 약사여래를 모시고 있는 법당이다.『대웅전약사전개와중수기(大雄殿藥師殿改瓦重修記)』에 조선 고종 13년(1876) 대웅보전과 함께 기와를 바꾸었다는 기록이 보일 뿐 언제 지었는지 확실하게 알 수는 없고 건축 수법이 대웅보전과 비슷하여 조선 중기 건물로 짐작하고 있다.
 규모는 앞면 3칸·옆면 2칸이며 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양과 비슷한 팔작지붕이다. 건물 안쪽 천장은 우물 정(井)자 모양이며 주위에는 화려한 연꽃무늬와 덩굴무늬를 그려 놓았다. 지붕 처마를 받치는 수법이 특이하여 당시의 건축수법을 연구하는데 귀중한 자료로 평가되고 있다."
전등사 철종,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천 강화군 길상면 전등사로 37-41, 전등사 (온수리)
	                 
	             
	         
	         
		",126.4849558,37.6328895,"일제시대 말기 금속류의 강제수탈 과정에서 중국에서 건너온 철종으로서 광복 후 부평군기창에서 발견하여 전등사로 옮겨 현재까지 보존하고 있다.
 형태와 조각수법에서 중국종의 전형적인 특징을 갖춘 높이 1.64m, 입지름 1m의 종으로 한국의 종과는 확연한 차이를 보이고 있다. 종꼭대기에는 두마리의 용이 서로 등지고 웅크려서 종의 고리를 이루고 있고, 소리의 울림을 돕는 음통은 없이 천판(天板) 중앙에 구멍을 뚫었다. 몸통 위 부분에는 8괘를 돌려가며 배치하고, 종의 몸체 중간을 가로지른 3줄의 띠로 종을 크게 두 부분으로 나누어 각각 8개의 정사각형 곽을 돌렸다. 이 정사각형 곽에는 명문을 새겼는데, 명문을 통해 이 종이 중국 하남성 백암산 숭명사의 종이라는 것과 북송 철종 4년, 곧 고려 숙종 2년(1097)에 주조되었음을 알 수 있다. 
 비록 철로 만든 종이지만 종소리가 청아하며 중국 북송 시대에 만들어진 명문을 지니고 있어 중국종 연구에도 귀중한 자료가 되고 있는 문화유산이다."
강화 장정리 석조여래입상,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천 강화군 하점면 장정리 584번지
	                 
	             
	         
	         
		",126.424437244233,37.7812646971007,"인천광역시 강화군 하점면 봉천산 아래에 자리잡은 고려시대의 석조불상이다. 두꺼운 화강암의 판석에 돋을새김으로 했는데, 현재는 전각을 만들어 그 안에 모시고 있다. 
 민머리의 정수리 부분에는 상투 모양의 작은 머리(육계)가 솟아 있다. 타원형의 얼굴에는 살이 올라 있는데 눈·코·입의 표현이 다소 둔중해 보인다. 귀는 비사실적으로 길며, 목이 짧아 3줄의 주름인 삼도(三道)가 가슴까지 내려와 있다. 
 양 어깨를 감싸고 있는 옷은 두껍게 표현되어 신체의 굴곡을 드러내지 못하고 있으며, 좁고 둥글게 처리된 어깨선으로 인해 불상은 어딘지 모르게 움츠러든 모습이다. U자형의 옷주름은 가슴에서부터 흘러내려 무릎 부분까지 표현되었는데 형식적이며 간략하게 처리되었다. 오른손은 허리 아래로 내려 손바닥을 밖으로 향하고 있고, 왼손은 가슴 앞으로 들어 손가락을 구부리고 있다. 불신의 주위에는 2줄의 도드라진 선으로 몸광배와 머리광배를 구분하고 있다. 2줄 사이에는 드문드문 둥근 구슬을 새겨 넣었으며, 머리광배와 몸광배의 가장자리에는 불꽃무늬를 새겼다.
 평판적이고 선으로 조각하는 경향이 두드러진 불상으로 모든 면에서 단순화, 생략화 되는 점은 시대가 내려가는 것을 말해준다. 양감이 있는 얼굴, 짧은 목, 움츠린 어깨, 형식적인 옷주름 등에서 고려시대 불상의 특징을 잘 나타내고 있는 작품이라고 할 수 있다."
강화 백련사 철조아미타여래좌상,보물,인천 강화군,"
			
	             
	                 
	                 
	                     인천 강화군 하점면 고려산로61번길 270, 백련사 (부근리)
	                 
	             
	         
	         
		",126.437003,37.7513366,"고구려 장수왕 4년(416)에 세운 이 절에는 다음과 같은 전설이 전해진다.
 삼국시대에 한 인도 승려가 절터를 물색하다 강화도 고려산에서 다섯 색깔의 연꽃이 만발한 못을 발견했다. 그는 그 꽃들을 꺾어 공중으로 날리고 떨어지는 곳마다 절을 세웠는데, 흰꽃이 떨어진 곳을 백련사라 하였다고 한다.
 이 불상은 여기에 모셔진 것으로 고려 후기에 유행한 단아한 양식을 따르고 있다. 갸름한 얼굴, 단정한 눈·코·입, 좁아진 어깨, 손발의 곡선 처리 등은 절제된 엄숙한 분위기를 자아낸다. 옷은 두껍고 주름은 단순한데 왼쪽 팔꿈치 윗부분에는 독특한 모양의 옷주름이 표현되었다. 왼발은 옷 속에 감싸여 있고 오른발이 보이도록 앉은 길상좌(吉祥坐)의 자세이며, 배를 덮고 있는 옷의 띠는 매듭고리와 끈이 좌우로 균형 잡혀있다. 이러한 표현은 청양의 장곡사 불상 등과 비슷한 형식이다. 그러나 큼직하고 대담하게 묘사된 옷 장식이나, 왼쪽 종아리로 내려진 옷자락은 약간 다른 것으로 민천사금동불좌상 등과 매우 비슷한 형식이다.
 길상좌 자세에 단아한 모습과 세련된 기법으로 보아 14세기 후반 내지 15세기 초의 작품으로 추정된다."
대방광불화엄경 정원본 권31,보물,인천 연수구,"
			
	             
	                 
	                 
	                     인천 연수구 청량로102번길 40-9, 가천박물관 (옥련동,가천박물관)
	                 
	             
	         
	         
		",126.6567179,37.4198044,"대방광불화엄경은 줄여서 ‘화엄경’이라고 부르기도 하며, 부처와 중생이 둘이 아니라 하나라는 것을 중심사상으로 하고 있다. 화엄종의 근본경전으로 법화경과 함께 한국 불교사상 확립에 중요한 영향을 끼친 경전이다. 
 이 책은 닥종이에 찍은 목판본으로 마치 병풍처럼 펼쳐서 볼 수 있는 절첩장 형태이며, 접었을 때의 크기는 세로 31.6㎝, 가로 12.3㎝이다. 검푸른 빛의 표지에는 금색으로 제목이 써 있고 끝에 ‘정(貞)’자가 있어 당나라 삼장반야(三臟般若)가 한문으로 번역한 정원본임을 알 수 있다.
 화엄경 정원본(貞元本) 40권 중 권 제31에 해당하는 이 책은 고려 숙종때에 간행한 해인사고려각판(국보)에서 찍어낸 것으로, 간행시기는 13세기에서 14세기로 추정된다."
