문화재명,분류,소재지,상세주소,위도,경도,상세설명
제주 관덕정,보물,제주 제주시,"
			
	             
	                 
	                 
	                     제주 제주시 관덕로 19 (삼도이동) / (지번)제주 제주시 삼도2동 983-1
	                 
	             
	         
	         
		",126.521489474308,33.5133609436166,"제주시내 중심부에 위치한 제주 관덕정은 제주에서 가장 오래된 건물 중의 하나다. 
‘관덕(觀德)’이란 문무의 올바른 정신을 본받기 위해 ‘사자소이관성덕야(射者所以觀盛德也)’에서 따온 말로, 평소에 마음을 바르게 하고 훌륭한 덕을 쌓는다는 뜻을 가지고 있다. 
이 누정 건물은 『탐라지』에 의하면 조선 세종 30년(1448) 안무사 신숙청이 병사들의 훈련장으로 사용하기 위해 세웠다고 하며, 성종 11년(1480) 목사 양찬이 고친 뒤 여러 차례 수리를 거쳤다. 지금 있는 건물은 1969년 보수한 것으로 원래의 건축 수법은 17세기 전후의 것으로 추정한다. 
규모는 앞면 5칸·옆면 4칸이며 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양을 한 팔작지붕이다. 건물은 사방이 탁 트이게 뚫려 있고 지붕 처마를 받치기 위해 장식하여 새부리 모양으로 뻗쳐 나온 재료를 기둥 위에 두 개씩 짜 놓았다. 
관덕정의 편액은 세종대왕의 셋째 아들 안평대군(安平大君)의 글씨였으나 화재로 손실되어 현재의 글씨는 선조때 영의정을 지낸 아계(鵝溪) 이산해(李山海)의 작품인 것으로 청음(淸陰) 김상헌(金尙憲)이 지은 『남사록』에 의해 밝혀졌으며, 지붕 처마가 긴 것이 특징이었는데 1924년 일본인들이 보수하면서 처마 부분을 많이 잘라냈다. 
제주 관덕정은 제주도의 대표적 누정 건축으로 건축사 연구의 소중한 자료이며 건물 안쪽 대들보와 그 아래에 그려진 작자를 알 수 없는 벽화도 상당히 훌륭한 작품으로 평가 받고 있다."
김정희 종가 유물 일괄,보물,제주 서귀포시,"
			
	             
	                 
	                 
	                     제주특별자치도 서귀포시 추사로 44 (대정읍, 추사유물전시관)
	                 
	             
	         
	         
		",126.560076,33.2541205,"추사 김정희 고택의 전래 유물로 추정되는 월성위 김한신 관련유물(10점)과 『신해년책력』(표제1점, 유묵15점)의 김정희 종가 유물 일괄(金正喜 宗家 遺物 一括)은 서예사 연구 자료로 가치가 있다. 
 ㅇ 월성위 김한신 관련 유물(月城尉 金漢藎 關聯 遺物)
  - 『매헌난고(梅軒亂稿)』
    김한신의 시집(詩集)으로 13~34세까지의 시작(詩作)을 모은 것이다(총 20면). 다음의 『교사시말』과 함께 김한신의 자필(自筆)로 추정된다. 아직까지 김한신의 문집이 간행되지 않았고 다른 필사본도 보기 어려우므로 아래의 『월성위행장』과 더불어 김한신 관련자료로 가치가 높다.
  - 『교사시말(郊舍始末)』
    김한신이 필사한 1747년 7월 12~22일의 일지(日誌)이다(총32면). 
  - 『월성위행장(月城尉行狀)』
    아들 김이주(金頤柱)가 기술한 김한신의 행장이다. 글씨는 김이주가 쓴 ‘월성위김한신묘표 음기’와 확연히 다르다는 점에서 타인의 필적으로 여겨진다.
  - 영조어필 월성위김한신묘표(英祖御筆 月城尉金漢藎墓表)
    김한신묘표의 제서(題書)로서 영조(英祖)의 어필로 추정된다. 현재 예산의 김한신묘표 앞면에는 “유명조선수록대부월성위…지묘 화순옹주부좌(有明朝鮮綏祿大夫月城尉…之墓 和順翁主祔左)”라 새겨 있고 말미에 작은 글자로 “망칠지년 문체이사(望七之年 抆涕以寫)”라 새겨 있는데, 이 필사물에는 “유명조선(有明朝鮮)”과 말미의 8자가 없다.     
  - 월성위김한신묘표 음기(月城尉金漢藎墓表 陰記)
    유척기(兪拓基, 1691~1767)가 기술한 김한신묘표의 음기로 서자(書者)는 김한신의 아들 김이주(金頤柱)로 여겨진다. 예산의 김한신묘표 음기에는 “불초남이주서 숭정기원후삼신사 월 일립(不肖男頤柱書 崇禎紀元後三辛巳 月 日立)”이라 새겨 있어 김이주가 쓰고 1761년(영조 37)에 세웠음을 밝혔다. 묘표 글씨와 이 필사물의 서풍은 같으나 자형이 다른 예가 있으며, “일행(一行)ㆍ이행(二行)ㆍ삼행(三行)…”이라 각행의 순서를 표시한 점으로 보아 김이주가 필사한 다른 부본(副本)일 것이다.
  - 영조어제 화순옹주유제문(英祖御製 和順翁主諭祭文)
    1758년(영조 34) 3월 15일에 영조가 호상중관 이세태(護喪中官 李世泰)로 하여금 둘째 따님 화순옹주의 영전에 바치게 한 제문이다. 서자(書者)는 미상이다.
  - 숙빈최씨시책문(淑嬪崔氏諡冊文)
    1756년(영조 32) 영조의 모친 숙빈최씨(1670~1718)에게 ‘휘덕(徽德)’이란 시호를 가상(加上)할 때 김한신이 필사한 책문(冊文)이다.(절첩장(折帖粧) 총8면)
  - 영조어필 춘축(英祖御筆 春祝) - 지본묵서
  - 영조어제어필 희우(英祖御製御筆 喜雨) - 칠언절구 1수, 지본묵서
  - 영조어제어필 칠절(英祖御製御筆 七絶) - 지본묵서
  ㅇ 『신해년책력(辛亥年冊曆)』의 김정희 필적
  김정희가 사용했던 『신해년책력』 앞표지에는 “신해칠정(辛亥桼正)”이란 제목과 “길상여의관(吉羊如意館)”이란 소장처가 예서로 쓰여 있다. 책력 제1면의 “대청함풍원년 세차신해 칠정경위 숙도오성 복견목록(大淸咸豊元年 歲次辛亥 七政經緯 宿度五星 伏見目錄)”으로 보아 “신해칠정(辛亥桼正)”은 “신해칠정(辛亥七政)”의 뜻임을 알 수 있다. 함풍원년은 1851년(철종 2)에 해당된다. 이 책력에는 시고(詩稿)ㆍ서간(書簡)ㆍ제서(題書)ㆍ임서(臨書) 등 김정희의 필적 17점이 붙어 있는데, 지정대상은 이 중 ‘해서대련’과 ‘전서’를 제외한 15점에 한한다."
제주 불탑사 오층석탑,보물,제주 제주시,"
			
	             
	                 
	                 
	                     제주 제주시 원당로16길 41 (삼양일동) / (지번)제주 제주시 삼양1동 696
	                 
	             
	         
	         
		",126.598544211899,33.5293780667049,"원당사의 옛 터에 세워져 있는 석탑이다. 원당사는 조선 중기에 폐지되었고, 1950년대 이후 절터에 새로이 지어진 불탑사가 대신 자리잡고 있다.
 탑은 1단의 기단(基壇) 위로 5층의 탑신(塔身)을 두고, 머리장식을 얹어 마무리한 모습이다. 탑 주변에는 돌담이 둘려져 있다.
 기단은 뒷면을 뺀 세 면에 안상(眼象)을 얕게 새겼는데, 무늬의 바닥선이 꽃무늬처럼 솟아나도록 조각하였다. 탑신의 1층 몸돌 남쪽면에는 감실(龕室:불상을 모셔두는 방)을 만들어 놓았다. 지붕돌은 윗면의 경사가 그리 크지 않지만, 네 귀퉁이에서 뚜렷하게 치켜 올려져 있다. 꼭대기에 올려진 머리장식은 아래의 돌과 그 재료가 달라서 후대에 만들어진 것으로 짐작된다. 
 전체적인 탑의 모양이 조형성이 적고 무거워 보이는 점으로 보아 지방색이 강했던 고려 후기에 만들어진 것으로 보인다."
제주향교 대성전,보물,제주 제주시,"
			
	             
	                 
	                 
	                     제주특별자치도 제주시 서문로 43 (용담일동, 제주향교)
	                 
	             
	         
	         
		",126.515617912806,33.5115522839389,"제주향교는 태조 3년(1394년) 관덕정에서 동쪽으로 1리 정도 떨어진 가락천의 서안에 위치한 교동에서 창건된 것으로 추정되며, 이후 5차례 이건과정을 거치면서 순조 27년(1827) 현재의 위치에 자리 잡았다. 
  제주향교는 애초 경사지형에 맞추어 ‘홍살문-외삼문-명륜당-대성전-계성사’로 이어지는 ‘전학후묘’의 배치였으나, 제주중학교가 들어서면서 영역이 축소되고 명륜당이 대성전 남쪽에 건립되어 현재의 ‘좌묘우학’ 배치가 되었다. 그러나 대성전 및 계성사는 이건 이후 현재까지 제자리를 유지하고 있다.
  대성전은 정면 5칸, 측면4칸으로 전면 퇴칸은 개방하여 고주열에 벽체를 설치하고 창호를 달았다. 나머지 삼면에는 현무암 화방벽을 설치하였다. 기둥은 평주와 고주 모두 약한 민흘림을 주었다. 특징적인 것은 귀포와 배면포의 외목도리 장여 하부에 처마의 처짐방지를 위한 덧기둥을 설치하였는데, 다른 지역에서는 찾아보기 어렵고 제주에서도 대정향교와 제주향교 대성전에만 나타난다. 다만, 제주향교 대성전 덧기둥 상부에는 다른 건물에서 보기 힘든 문양과 교두형 부재가 보이고 있어 지역적 특색이 반영된 이 건물만의 특징이라 할 수 있다. 
  가구는 2고주 7량가로 부재가 길이에 비해 가늘고 긴 편이지만, 대들보를 항아리형에 가까운 형태로 가공하는 등 부재의 가공이 깔끔하여 정제된 느낌을 준다. 
  공포는 일출목 이익공 양식인데, 출목의 간격이 넓어 익공의 길이가 매우 길게 뻗어나가 있고, 내부 보아지 쪽은 하부의 익공이 상부보다 길어 상하가 뒤바뀐 듯한 형상이며, 익공의 형태 또한 육지에서는 찾아보기 힘든 모양을 하고 있어 공포에서도 제주만의 특징을 잘 보여주고 있다.
  지붕은 팔작지붕이지만 물매가 완만하여 합각면의 크기가 작고, 처마의 앙곡과 안허리곡도 세지 않으며, 건물이 낮아 전체적으로 지면에 달라붙은 듯하지만, 건물의 규모가 커서 안정적이고 장중한 느낌을 준다. 이와 같은 특성은 바람이 세고 비가 잦은 제주도의 자연조건에 순응한 건축의 결과로 볼 수 있다. 
  이처럼 제주도의 대표적인 유교건축 문화유산인 제주향교 대성전은 건립과 이건 이후 원위치에서 큰 변형없이 형태를 유지하고 있으며, 제주지역 내 다른 건축문화유산에 비해 역사가 뒤지지 않을 뿐만 아니라 제주도 건축의 특성이 잘 나타나고 있어 국가지정유산(보물)으로 지정가치가 있다."
제주 삼성혈,사적,제주 제주시,"
			
	             
	                 
	                 
	                     제주 제주시 삼성로 22 (이도일동)
	                 
	             
	         
	         
		",126.528872186943,33.5043012717768,"삼성혈은 제주도의 고씨·양씨·부씨의 시조가 솟아났다는 3개의 구멍을 말한다.
 3시조들은 가죽옷을 입고 고기를 사냥해 먹고 살다가, 다섯 곡식의 씨와 송아지·망아지를 가지고 온 벽랑국의 세 공주와 각각 결혼하여 농경생활을 시작하였다고 한다. 구멍은  품(品)자 모양으로 배치되어 있는데, 하나만 바다와 통하고 나머지는 흔적만 남아있다.
 조선 중종 21년(1526)에 제사를 지내기 위해 단과 비석을 세우고, 주위에 울타리를 쌓아 봄과 가을에 제사를 지내고 있다.

<br/><b>※(삼성혈 → 제주 삼성혈)으로 명칭변경 되었습니다.(2011.07.28 고시)</b>"
제주목 관아,사적,제주 제주시,"
			
	             
	                 
	                 
	                     제주 제주시 삼도2동 43-40번지 외
	                 
	             
	         
	         
		",126.521972,33.513452,"조선시대 제주지방 통치의 중심지였던 제주목 관아는 지금의 제주 관덕정(보물)을 포함하는 주변 일대 주요 관아시설이 자리하였던 곳으로 탐라국 이래 조선시대에 이르기까지 제주의 정치·행정·문화의 중심지 역할을 해왔다. 
관아시설은 1434년(세종 16) 관부의 화재로 건물이 모두 불타 없어진 뒤 바로 역사를 시작하여 그 다음해인 1435년에 골격이 이루어졌으며, 조선시대 내내 증·개축이 이루어졌다. 그러나 제주목 관아는 일제강점기 때 집중적으로 훼철되어 관덕정을 빼고는 그 흔적을 찾아 볼 수가 없었다. 
이에 제주시에서는 1991년부터 1998년까지 4차례 발굴조사를 진행한 결과, 탐라시대부터 조선시대에 이르기까지의 여러 문화층과 함께 제주목 관아의 주요시설이었던 동헌·내아 건물터 등의 위치와 규모를 확인하였다. 
1993년 3월 30일에 제주목 관아지 일대가 사적으로 지정되었고, 발굴과정에서 확인된 초석·기단석 등을 토대로 하고, 『탐라순력도(耽羅巡歷圖)』와 『탐라방영총람(耽羅防營總攬)』 등 당의 문헌 및 중앙문화재위원·향토사학가·전문가 등의 고증과 자문을 거쳐 지난 2002년 12월 복원공사를 완료하여 제주 고유의 역사적 숨결을 전해주고 있는 장소이다. 
○ 외대문(外大門) :  제주목 관아 건물로 통하는 영문의 대문루
외대문은 문헌에 ‘진해루(鎭海樓)’, ‘탐라포정사(耽羅布政司)’ 로 표기되어 있다. 관아의 관문으로 1435년 홍화각(弘化閣) 창건시에 건립했다고 전하며, 1699년 남지훈(南至薰) 목사가 개건했다고 한다. 2층 누각 건물로 종루(鐘樓)로도 활용되었다. 
○ 연희각(延曦閣) : 제주목사의 집무처
연희각은 목사가 집무하던 곳으로 상아(上衙)의 동헌(東軒), 목사의 정아(正衙) 등으로 불리웠다. 상아라 한 것은 판관(判官)의 집무처인 이아(二衙)와 구분해 명명된 것이다. 이원조(李源祚) 목사의 『연희각기(延曦閣記)』에 의하면“연희각은 예전에 기문(記文)이 없어서 건치(建置) 연월일을 상세히 알 수가 없다. 현판도 누가 명명하고 누가 쓴 것인지 알지 못하겠다. 건물은 겹처마에 깊숙한 지붕으로 좌대(座臺) 위에 높게 지어져 있다. 그 이름을 연희(延曦)라고 한 것은 외신(外臣)이 충성을 다하고자 하는 정성을 표현한 것이다.”라고 하였다.
○ 홍화각(弘化閣) : 절제사의 영청으로 사용하던 공간
홍화각은 예전에 절제사가 사무를 보던 곳이다. 1435년(세종 17) 최해산(崔海山) 안무사가 창건한 뒤 1648년(인조 26)에 김여수(金汝水) 목사가 중수하였으며, 1713년(숙종 39)에 방어영(防禦營)으로 승격되어 별도로 정아(正衙)를 설치함에 따라 이 홍화각은 영리청(營吏廳)이 되었다. ‘홍화각’이라 명명한 것은 왕의 어진 덕화(德化)가 백성에게 두루 미치기를 기원하는 뜻에서 붙여진 것이다. 또한 홍화각은 탐라고각(耽羅古閣)이라 불리었을 정도로 관아건물 중에서 뛰어난 건물이었다. 
○ 우련당(友蓮堂)
우련당은 1526년(중종 21)에 이수동(李壽童) 목사가 성(城) 안에 우물이 없으면 적이 침입하여 성을 포위하거나 화재가 발생하였을 때 구급하기 어렵다 하여, 못을 파고 물을 가두어 연꽃을 심은 뒤 그 곳에 세웠던 정자이며 연회장소로 사용되던 곳이다. 그 뒤 영조(英祖) 때에는 김정 목사가 다시 정자를 중수하고 못 가운데 석대(石臺)를 쌓아서 꽃과 대나무를 심고 향의실(享儀室)이라 개명하여 공물(貢物)을 봉진하는 장소로 사용하였다. 
○ 영주협당(瀛洲協堂) : 목사를 보좌하는 군관들이 근무하던 관청
영주협당은 원래 군관(軍官)들이 근무하던 관청이었다. 창건연대는 확실하지 않으나 예전의 군관청(軍官廳)이 영(營)·목(牧) 소속으로 분리될 때 영군관청(營軍官廳)이 되었다. 군관의 수는 원래 15인이었으나 효종(孝宗) 초기에 이경억(李慶億) 어사가 조정에 건의하여 10인으로 줄였다. 
○ 귤림당(橘林堂) : 제주목사가 고즈넉한 여유를 만끽하는 장소
귤림당은 거문고를 타고 바둑을 두거나 시(詩)를 지으며 술을 마시는 장소로 이용되던 곳이다. 1743년(영조 19) 안경운(安慶運) 목사가 개건하였고, 1769년(영조 45)에 다시 중수한 뒤 건물이 노후(老朽)하여 이원조 목사가 1842년(헌종 8)에 다시 중수하였다.
○ 망경루(望京樓) : 임금님의 은덕을 기리는 공간인 동시에 제주 앞바다로 침범하는 왜구를 감시하는 망루 역할
망경루는 북두성(北斗星)을 의지하여 임금님이 있는 서울을 바라보며 그 은덕(恩德)을 기리는 신지(信地)이며 중요한 제주목관아의 하나였다. 1556년(명종 11) 김수문(金秀文) 목사가 창건한 뒤 1668년(현종 9) 이인(李土寅 ) 목사가 개건하였고, 1806년(순조 6)에는 박종주(朴宗柱) 목사가 중수하였다. 
○ 회랑(回廊) : 건물과 건물을 연결하는 복도의 성격을 지닌 공간
회랑은 정당(正堂)의 좌우(左右)에 있는 긴 집채를 말한다. 원래는 칸마다 벽체를 둘러 방으로 또는 다른 용도의 기능을 했을 것이나 지금은 개방형으로 복원되었다. 

○ 중대문(中大門) : 관아내의 출입구
중대문 동헌(東軒)으로 통하는 외대문과 내대문의 중간에 있었던 대문이다. 

<b>※(제주목관아 → 제주목 관아)로 명칭변경 되었습니다.(2011.07.28 고시)</b>"
제주 항파두리 항몽 유적,사적,제주 제주시,"
			
	             
	                 
	                 
	                     제주 제주시 애월읍 고성리 1126-1번지 외
	                 
	             
	         
	         
		",126.409011,33.45227993,"제주 항파두리 항몽 유적은 고려 원종 11년(1270) 2월 고려 조정이 몽고군과 강화를 맺고 강화에서 개경으로 환도하자 이에 맞서 고려 김방경과 몽고의 흔도가 이끄는 여몽연합군에 최후까지 항쟁하다 원종 14년(1273) 전원 순의한 삼별초의 마지막 보루였던 곳으로, 1997년 4월 18일에 사적으로 지정되었다. 
이 성은 해발 약 190∼215m에 있으며, 동쪽으로는 고성천이 있고 서쪽으로는 소왕천이 있다. 지형은 남고북저를 하고 있는데, 북쪽인 경우 토성부근이 급격한 경사를 이루고 있고 동쪽은 완만하나 서쪽은 단애를 이루는 하천을 두고 있어 성을 쌓기에는 천연적으로 적합한 지형을 이루고 있다. 전체적인 토질은 자갈이 약간 함유된 황갈색 토양으로 이뤄졌고, 찰기가 아주 강하기 때문에 토성을 쌓기에는 적합한 성질은 띤 토양이라 할 수 있다.  
당시에 쌓았던 토성이 부분적으로 남아 있으며 돌쩌귀, 기와, 자기, 연못터, 장수물, 구시물, 옹성물, 살 맞은 돌 등 많은 유적이 발견되었고, 주요 시설로는 관리사무소, 휴게소, 전시관, 순의문, 순의비를 두고 있다. 
1977년부터 현재까지 토지매입을 비롯한 토성복원사업, (시)발굴조사 등의 연차적인 정비사업을 추진해 나가고 있으며, 특히 2011년도 제주 항파두리 항몽유적지 시굴조사 결과 항파두성의 중심부인 내성의 규모 및 내성 내 주요시설물(건물지)의 존재 및 다양한 유물을 확인함으로써 제주도에서의 삼별초 대몽 항쟁 본거지에 대한 구체적인 고고학적 증거를 파악하였다. 
○ 항몽순의비 : 몽고군에 대항해 최후를 맞이한 삼별초군의 넋을 기리기 위해 건립된 비석으로, 비석 전면의 ‘항몽순의비(抗蒙殉義碑)’란 제자(題字)는 박정희 대통령의 친필이다.
○ 토성 : 김통정 장군은 삼별초군의 거점지인 항파두리에 흙을 이용하여 토성을 쌓아 여몽연합군과 대항하였다. 
○ 돌쩌귀 : 삼별초군이 항파두성 성문의 밑틀로 이용했을 것으로 추정되는 주춧돌이다. 항파두성에는 네 개의 성문이 있었다고 하며, 현재 돌쩌귀 10기가 보존되어 있다.
○ 살맞은 돌 : 극락봉에서 삼별초군이 궁술연마시 과녁으로 사용했던 거대한 입석(立石)으로, 암석 표면에 화살촉이 박혀 있었다고 한다.
○ 장수물 : 김통정 장군이 관군에게 쫓기다가 토성 위에서 뛰어 내릴 때 바위에 발자국이 패여 그 곳에서 샘이 솟아나게 되었다는 전설이 깃든 곳이다.
○ 구시물 : 성밖 서민 및 병사들의 음용수로 사용하였던 물이다.
○ 옹성물 : 항파두성 북쪽 극락사 사찰 경내에 있는 생수로, 삼별초가 항파두리에 웅거할 당시 귀족계급들이 음료수로 사용했던 샘물이다. 
○ 파군봉[바굼지오름] : 파군봉은 해발 약 100m에 이르는 봉우리로 고려시대 여몽연합군의 상륙부대를 맞아 삼별초가 항전했던 전적지다. 
○ 고성천과 소왕천 : 항파두성을 둘러싸고 있는 하천으로 성의 동편에는 고성천, 서편에는 소왕천이 있어 천연적인 방어 요새를 이루고 있다.
<b>※(제주항파두리항몽유적지 → 제주 항파두리 항몽 유적)으로 명칭변경 되었습니다.(2011.07.28 고시)</b>"
제주 고산리 유적,사적,제주 제주시,"
			
	             
	                 
	                 
	                     제주 제주시 한경면 고산리 3628번지
	                 
	             
	         
	         
		",126.166892678003,33.3045453604739,"수월봉 앞 해안단구 대지에 넓게 형성되어 있는 신석기시대 전기의 선사유적이다. 신석기시대는 원시농경과 목축을 기반으로 정착생활을 시작하면서 인류문화 발달사에 새로운 계기를 마련한 시기이다.
 발굴 결과 나온 유물로는 석기 99,000여 점, 토기조각 1,000여 점이 있는데, 특히 원시형 적갈색 섬유질 토기조각은 독특한 토기형태로 고산리식 토기라고 불린다. 당시 사람들이 사용했던 유물 조합을 통해 후기 구석기 말엽의 수렵채집 집단이 석기 전통을 계승하며, 초보적인 형태의 토기를 만들었던 것으로 짐작한다.
 구석기 후기 문화에서 신석기 전기 문화로 옮겨가는 과정을 알 수 있고, 시베리아, 만주, 일본, 한반도 지역을 포함하는 동북아시아의 신석기 전기 문화 연구에 좋은 자료로서 중요한 유적이다.

<br/><b>※(제주고산리선사유적 → 제주 고산리 유적)으로 명칭변경 되었습니다.(2011.07.28 고시)</b>"
제주 삼양동 유적,사적,제주 제주시,"
			
	             
	                 
	                 
	                     제주 제주시 선사로2길 13, 외 (삼양일동)
	                 
	             
	         
	         
		",126.587546542026,33.5233312270546,"제주 삼양동 유적은 제주시 삼양동 일대의 토지구획정리사업이 진행되던 당시에 발견된 선사시대 유적이다. 
1997년 4월부터 1999년 7월에 걸쳐 제주대학교 박물관에서 발굴조사를 실시한 결과 청동기-초기철기시대를 전후한 시기의 집터 200여 곳을 비롯하여 돌을 쌓아 만든 담장, 쓰레기를 버리던 폐기장, 마을의 외곽을 두르고 있던 도랑 자리가 있는 큰 규모의 마을 유적이 확인되었다. 
집터 내부에서는 토기류(구멍띠토기, 덧띠무늬토기[점토대토기]), 적갈색항아리 등)와 석기류(돌도끼, 대패, 갈돌, 숯돌 등), 철기류(철제도끼, 손칼), 청동기류(동검, 칼자루끝장식[검파두식] 등), 불에 탄 곡식류(콩, 보리) 등 다양한 유물이 출토됨에 따라 제주도 청동기시대 후기문화를 이해할 수 있는 중요한 유적이라 할 수 있다. 
한편, 제주도에서 생산되지 않았던 중국계 유물로 알려진 옥환, 요령식동검편, 유리옥과 철기류들이 출토되고 있어 삼양동 사람들이 한반도를 비롯한 외부지역과도 활발히 교류하였음을 알려주고 있다. 
<br /><b>※(제주삼양동선사유적 → 제주 삼양동 유적)으로 명칭변경 되었습니다.(2011.07.28 고시)</b>"
서귀포 김정희 유배지,사적,제주 서귀포시,"
			
	             
	                 
	                 
	                     제주 서귀포시 대정읍 추사로 44, 일원 (안성리)
	                 
	             
	         
	         
		",126.27829480734,33.2501690363773,"서귀포시 대정읍성 동문자리 안쪽에 자리잡은 추사유배지는 조선 후기의 문신이자 서화가였던 추사 김정희(1786∼1856)가 유배생활을 하던 곳이다.
 김정희는 영조의 사위였던 김한신(金漢藎)의 증손으로, 조선 순조 19년(1819) 문과에 급제하여 성균관 대사성·이조참판 등의 벼슬을 지냈다. 그러다 조선 헌종 6년(1840) 55세 되던 해에 동지부사로 임명되어 중국행을 앞두고 안동김씨 세력과의 권력 싸움에서 밀려나 제주도로 유배되었다. 유배 초기에 포도청의 부장인 송계순의 집에 머물다가 몇 년 뒤 현재의 유배지로 지정된 강도순의 집으로 이사하였다. 이 집은 1948년 제주도 4·3사건 때 불타버리고 빈 터만 남았다가 1984년 강도순 증손의 고증에 따라 다시 지은 것이다.
  김정희는 이 곳에 머물면서 추사체를 완성하고, <완당세한도>(국보)를 비롯한 많은 서화를 그렸으며, 제주지방 유생들에게 학문과 서예를 가르치는 등 많은 공적을 남겼다.
 추사유배지는 추사 김정희선생이 제주에 남긴 유배 문학의 커다란 문화적 가치 뿐만 아니라 그가 남긴 금석학과 유학, 서학의 의미는 역사적·학술적으로 크게 평가되고 있다.

<b>※(추사유배지 → 서귀포 김정희 유배지)으로 명칭변경 되었습니다.(2011.07.28 고시)</b>"
