문화재명,분류,소재지,상세주소,위도,경도,상세설명
남원 실상사 백장암 삼층석탑,국보,전북 남원시,"
			
	             
	                 
	                 
	                     전라북도 남원시 산내면 대정리 975
	                 
	             
	         
	         
		",127.619971568516,35.4425391241814,"실상사는 지리산 천왕봉 서편에 위치한 절로, 통일신라 흥덕왕 3년(828)에 홍척(洪陟)이 창건하였다. 이 곳에서 북쪽으로 얼마쯤 가다보면 백장암이 나타나는데, 실상사에 딸린 소박한 암자로, 그 아래 경작지에 이 탑이 세워져 있다.
 낮은 기단(基壇) 위에 3층의 탑신(塔身)을 올린 모습으로, 각 부의 구조와 조각에서 특이한 양식과 수법을 보이고 있다. 즉, 일반적인 탑은 위로 올라갈수록 너비와 높이가 줄어드는데 비해 이 탑은 너비가 거의 일정하며, 2층과 3층은 높이도 비슷하다. 층을 이루지 않고 두툼한 한 단으로 표현된 지붕돌의 받침도 당시의 수법에서 벗어나 있다. 또한 탑 전체에 조각이 가득하여 기단은 물론 탑신에서 지붕에 이르기까지 다양한 조각이 나타난다. 기단과 탑신괴임에는 난간모양을 새겨 멋을 내었고, 탑신의 1층에는 보살상(菩薩像)과 신장상(神將像)을, 2층에는 음악을 연주하는 천인상(天人像)을, 3층에는 천인좌상(天人坐像)을 새겼다. 지붕돌 밑면에는 연꽃무늬를 새겼는데 3층만은 삼존상(三尊像)이 새겨져 있다.
 통일신라시대 후기에 세워진 것으로 추측되는 이 탑은 갖가지 모습들의 조각으로 화려하게 장식하는 등 형식에 얽매이지 않은 자유로운 구조가 돋보이고 있어, 당시를 대표하는 아름다운 석탑 중 하나라 할 수 있다."
익산 미륵사지 석탑,국보,전북 익산시,"
			
	             
	                 
	                 
	                     전북 익산시 금마면 기양리 97번지
	                 
	             
	         
	         
		",127.030560529125,36.0124223230747,"백제 최대의 사찰이었던 익산 미륵사는 무왕(武王, 600-641) 대에 창건된 것으로 알려져 있다. 미륵사는 전형적인 1탑1금당의 백제식 가람배치와 달리 세 개의 탑과 금당 등으로 구성된 3탑3금당의 독특한 배치형식이다. 이 미륵사지 석탑은 세 개의 탑 중 서쪽에 위치한 탑이다. 우리나라 석탑 중 가장 규모가 크고 창건시기가 명확하게 밝혀진 석탑 중 가장 이른 시기에 건립된 것이다. 원래는 9층으로 추정되고 있으나 반파된 상태로 6층 일부까지만 남아있었다. 창건당시의 정확한 원형은 알 수 없으며, 17~18세기 이전 1층 둘레에 석축이 보강되고 1915년 일본인들이 무너진 부분에 콘크리트를 덧씌운 상태로 전해졌다. 
 남아있던 6층까지의 높이는 약 14.2m이고 상·하 이층으로 구성된 기단의 전체 폭은 약 12.5m이다. 1층은 각 면이 3칸으로 구성되고 가운데 칸에는 문을 내달아 계단을 통해 사방으로 통하게 하였다. 기둥석은 아래가 넓고 위가 좁은 민흘림기법과 양 끝 모서리를 약간 높인 귀솟음기법이 반영되어 있다. 기둥석 하부에는 목조건물에서처럼 별도의 초석이 있고 기둥과 기둥을 연결하는 상ㆍ하 인방석(引枋石)과 기둥 상부에 평방석(平枋石), 포벽석(包壁石) 등이 구성되었다. 옥개부(屋蓋部)는 목조건물의 지붕처럼 모서리 끝이 살짝 치켜 올라가고 가운데가 오목하게 들어가는 부드러운 곡선을 이루고 있다.    
 한편 석탑의 1층 내부에는 ‘十’자형 공간이 조성되어 동서남북 네 방향에서 출입이 가능하며, 탑의 중심에는 여러 개의 사각형 돌을 수직으로 쌓아올린 기둥(심주)이 4층까지 연속된다. 이러한 모습은 다른 석탑에서는 찾아볼 수 없는 특징이며, 2009년 1층의 첫 번째 심주석에서 발견된 사리봉영기(舍利奉迎記)의 기록을 통해 639년이라는 석탑의 건립연대가 명확하게 밝혀졌다.  
 석탑은 1998년 구조안전진단 결과에 따라 이듬해 해체수리가 결정되었고 2001년 해체조사에 착수하여 2017년 조립공정이 완료되었다. 익산 미륵사지 석탑은 고대의 목탑에서 석탑으로 변화되는 과정을 충실하게 잘 보여준다. 또한 고대건축의 실제 사례로써 역사적 가치가 매우 높아 우리나라 불탑건축 연구에서 대단히 중요한 문화유산이다."
김제 금산사 미륵전,국보,전북 김제시,"
			
	             
	                 
	                 
	                     전북 김제시 금산면 모악15길 1, 금산사 (금산리)
	                 
	             
	         
	         
		",127.053933184269,35.7231115250509,"모악산에 자리한 금산사는 백제 법왕 2년(600)에 지은 절로 신라 혜공왕 2년(766)에 진표율사가 다시 지었다.
 미륵전은 정유재란 때 불탄 것을 조선 인조 13년(1635)에 다시 지은 뒤 여러 차례의 수리를 거쳐 오늘에 이르고 있다. 거대한 미륵존불을 모신 법당으로 용화전·산호전·장륙전이라고도 한다. 1층에는 ‘대자보전(大慈寶殿)’, 2층에는 ‘용화지회(龍華之會)’, 3층에는 ‘미륵전(彌勒殿)’이라는 현판이 걸려있다
 1층과 2층은 앞면 5칸·옆면 4칸이고, 3층은 앞면 3칸·옆면 2칸 크기로, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다. 지붕 처마를 받치기 위해 장식한 구조가 기둥 위뿐만 아니라 기둥 사이에도 있는 다포 양식이다. 지붕 네 모서리 끝에는 층마다 모두 얇은 기둥(활주)이 지붕 무게를 받치고 있다.
 건물 안쪽은 3층 전체가 하나로 터진 통층이며, 제일 높은 기둥을 하나의 통나무가 아닌 몇 개를 이어서 사용한 것이 특이하다. 전체적으로 규모가 웅대하고 안정된 느낌을 준다."
익산 왕궁리 오층석탑 사리장엄구,국보,전북 익산시,"
			
	             
	                 
	                 
	                     전라북도 익산시 미륵사지로 362 (금마면, 국립익산박물관)
	                 
	             
	         
	         
		",127.089804075637,35.8012467405827,"마한의 왕궁이 있던 자리로 알려진 터에 있는 익산 왕궁리 오층석탑(국보)을 보수하기 위해, 1965년 해체하면서 탑을 받치고 있던 기단부와 1층 지붕돌 윗면에서 발견된 유물들이다. 발견된 유물들은 백제에서 통일신라에 이르는 시기의 것들로 판단된다.
 기단부 윗면에 品자형으로 뚫린 3개의 구멍 중 동쪽에서는 광배와 대좌를 갖추고 있는 금동여래입상 1구와 불교 의식 때 흔들어 소리를 내던 청동요령 1개가 나왔고, 북쪽구멍에서는 향류(香類)가, 또 다른 구멍은 이미 도굴된 상태였다. 1층 지붕돌 윗면 중앙에 뚫려있는 2개의 구멍에서는 각각 연꽃 봉오리모양의 마개가 덮여있는 녹색의 유리사리병과 금강경의 내용을 19장의 금판에 새겨 책처럼 2개의 금줄로 묶은 은제도금금강경판이 있었다.
 이 유물들은 모두 2중으로 된  금동제 합 안에 봉안되어 있었다. 바깥쪽의 외합은 단순히 내합과 유물들을 보호하기 위한 기능으로 장식도 없고 칠도 벗겨져 있었다. 녹색의 사리병이 들어 있었던 내합은 뚜껑 윗면에 반쯤 핀 연꽃 봉오리와 주변에는 구슬무늬를 새겨 넣었고, 금강경판이 들어있던 내합은 뚜껑 윗면에 손잡이로 금고리를 달고 국화 문양을 새긴 것으로 모두 도금 상태가 완전하였다."
익산 왕궁리 오층석탑,국보,전북 익산시,"
			
	             
	                 
	                 
	                     전북 익산시 왕궁면 왕궁리 산80-1번지
	                 
	             
	         
	         
		",127.054583714475,35.9731253112553,"마한시대의 도읍지로 알려진 익산 왕궁면에서 남쪽으로 2㎞쯤 떨어진 언덕에 자리하고 있는 석탑이다. 1단의 기단(基壇) 위로 5층의 탑신(塔身)을 올린 모습으로, 기단부가 파묻혀 있던 것을 1965년 해체하여 수리하면서 원래의 모습이 드러났다.
 탑의 기단은 네 모서리에 8각으로 깎은 주춧돌을 기둥삼아 놓고, 기둥과 기둥 사이에는 길고 큰 네모난 돌을 지그재그로 맞물리게 여러 층 쌓아 올려놓아 목조탑의 형식을 석탑에서 그대로 재현하고 있다. 이 팔각기둥과 네모난 돌들 사이는 흙을 다져서 메웠는데 이 속에서 백제시대의 기와조각이 발견되기도 하였다. 발굴 중에 기단 각 면의 가운데에 2개씩 기둥조각을 새긴 것이 드러났으며, 탑의 1층 지붕돌 가운데와 탑의 중심기둥을 받치는 주춧돌에서 사리장치가 발견되었다. 
 1층부터 5층까지 탑신부 몸돌의 네 모서리마다 기둥 모양을 새겼으며, 1층 몸돌에는 다시 면의 가운데에 2개씩 기둥 모양을 조각했다. 지붕돌은 얇고 밑은 반듯하나, 네 귀퉁이에서 가볍게 위로 치켜 올려져 있으며, 방울을 달았던 구멍이 뚫려 있다. 각 층 지붕돌의 윗면에는 몸돌을 받치기 위해 다른 돌을 끼워놓았다. 5층 지붕돌 위에는 탑머리장식이 남아있다. 
 지붕돌이 얇고 넓어 빗물을 받는 낙수면이 평평한 점이나, 탑신부 1층의 지붕돌이 기단보다 넓은 점 등 백제석탑의 양식을 일부 유지하고 있다. 그동안 언제 제작되었는가에 대해 의견이 분분한 상태였으나 1965년 보수작업 때 기단의 구성양식과 기단 안에서 찾아낸 사리장치의 양식이 밝혀지면서 그 시기가 비교적 뚜렷이 밝혀졌다. 즉, 백제의 옛 영토 안에서 고려시대까지 유행하던 백제계 석탑양식에 신라탑의 형식이 일부 어우러진 고려 전기의 작품으로 추측된다.
 이 석탑에서 발견된 고려시대의 유물들은 국보로 일괄지정되어 국립중앙박물관에서 보관하고 있다. 최근 국립부여문화유산연구소의 발굴과정에서 지금의 석탑에 앞서 목탑이 있었음을 확인할 수 있는 흔적이 이 탑 밑부분에서 발견되어 다시금 주목을 끌고 있다."
완주 화암사 극락전,국보,전북 완주군,"
			
	             
	                 
	                 
	                     전라북도 완주군 화암사길 271 (경천면, 화암사)
	                 
	             
	         
	         
		",127.287158566049,36.0664174380754,"화암사는 불명산 시루봉 남쪽에 있는 절로 본사인 금산사에 딸린 절이다. 절을 지을 당시의 자세한 기록은 없으나 원효와 의상이 유학하고 돌아와 수도하였다는 기록으로 보아 신라 문무왕 이전에 지은 것으로 보인다.
 극락정토를 상징하는 극락전은 1981년 해체·수리 때 발견한 기록에 따르면, 조선 선조 38년(1605)에 세운 것으로 되어 있다.
 앞면 3칸·옆면 3칸 크기에 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕으로 꾸며 소박하고 작은 규모를 보이고 있다. 지붕 처마를 받치기 위해 기둥 위부분에 장식하여 짜은 구조가 기둥 위와 기둥 사이에도 있는 다포 양식이다. 건물 안쪽 가운데칸 뒤쪽에는 관세음보살상을 모셨으며, 그 위에 지붕 모형의 닫집을 만들어 용을 조각하였다.
 화암사 극락전은 우리나라에 단 하나뿐인 하앙식(下昻式) 구조이다. 하앙식 구조란 바깥에서 처마 무게를 받치는 부재를 하나 더 설치하여 지렛대의 원리로 일반 구조보다 처마를 훨씬 길게 내밀 수 있게 한 구조이다. 중국이나 일본에서는 근세까지도 많이 볼 수 있는 구조이지만 우리나라에서는 유일한 것으로 목조건축 연구에 귀중한 자료가 되고 있다."
조선태조어진,국보,전북 전주시,"
			
	             
	                 
	                 
	                     전라북도 전주시 완산구 태조로 44-0 (풍남동3가, 경기전 경기전) 어진박물관
	                 
	             
	         
	         
		",127.089804075637,35.8012467405827,"조선을 건국한 태조 이성계의 초상화로 가로 150㎝, 세로 218㎝이다. 태조의 초상화는 한 나라의 시조로서 국초부터 여러 곳에 특별하게 보관되어 총 26점이 있었으나 현재 전주 경기전에 있는 태조 초상화 1점만이 남아있다. 
 이 초상화는 임금이 쓰는 모자인 익선관과 곤룡포를 입고, 정면을 바라보며 용상에 앉아있는 전신상으로 명나라 태조 초상화와 유사하다. 곤룡포의 각진 윤곽선과 양다리쪽에 삐져나온 옷의 형태는 조선 전기 공신상에서 볼 수 있는 특징이다. 또한 바닥에 깔린 것은 숙종 때까지 왕의 초상화에 사용된 것으로, 상당히 높게 올라간 것으로 보아 오래된 화법임을 알려준다. 의자에 새겨진 화려한 용무늬는 공민왕상에서도 보이는 것으로, 고려말에서 조선초까지 왕의 초상화에서 나타나고 있다. 익선관은 골진 부분에 색을 발하게 하여 입체감을 표현하였고, 정면상임에도 불구하고 음영법을 사용하여 얼굴을 표현하였다. 
 고종 9년(1872)에 낡은 원본을 그대로 새로 옮겨 그린 것인데, 전체적으로 원본에 충실하게 그려 초상화 중 가장 표현하기 어려운 정면상임에도 불구하고 훌륭하게 소화해 낸 작품으로 조선 전기 초상화 연구에 있어 귀중한 자료가 된다."
김제 금산사 노주,보물,전북 김제시,"
			
	             
	                 
	                 
	                     전북 김제시 금산면 모악15길 1, 금산사 (금산리)
	                 
	             
	         
	         
		",127.053183321227,35.7234508100742,"『금산사사적』에 의하면, 금산사는 600년대 창건되어 신라 혜공왕 2년(776)에 진표율사가 다시 고쳐 세우면서 큰 사찰로서의 모습을 갖추게 되었다. 또한 고려 전기인 935년에 후백제의 신검이 아버지인 견훤을 유폐시켰던 장소로도 유명하다. 
 이 노주는 금산사 대적광전에서 서남쪽에 위치한 대장각으로 가는 길의 중간에 있는데, 그 이름을 노주(露柱)라고는 하였으나 실제로 무엇으로 사용한 것인지 그 용도를 알 수 없는 보기 드문 유물이다. 꼭대기에 놓인 꽃봉오리모양의 조각만 없으면 불상을 얹는 사각형의 대좌(臺座)처럼 보인다.
 땅 위에 바닥돌을 놓고, 그 위에 아래·중간·위받침돌을 순서대로 얹어놓았다. 아래받침돌에는 네 모서리와 가운데에 기둥 모양을 새겨 면을 둘로 나눈 뒤 안상(眼象)을 조각하였다. 아래받침돌 윗면과 윗받침돌에는 아무런 꾸밈이 없는 중간받침돌을 사이에 두고 대칭되게 연꽃잎을 새겼는데, 아래받침돌의 연꽃잎이 넓고 짧은 반면, 윗받침돌의 연꽃잎은 좁고 길쭉하게 표현하였다. 꼭대기에는 석탑과 같은 머리장식이 남아있는데, 둥근 받침부분과 보주(寶珠:연꽃봉오리모양의 장식)를 가늘고 긴 사잇기둥이 연결하는 형식이다.
 절이 창건된 때가 통일신라시대라고는 하지만, 당간지주 외에는 통일신라시대의 작품으로 짐작되는 것이 거의 없다. 이 노주도 받침돌에 새겨진 조각의 양식이나 각 부분의 수법으로 보아 고려 전기에 세워진 것으로 추정된다."
김제 금산사 석련대,보물,전북 김제시,"
			
	             
	                 
	                 
	                     전북 김제시 금산면 모악15길 1, 금산사 (금산리)
	                 
	             
	         
	         
		",127.05355410648,35.723342898555,"석련대는 석조연화대좌의 준말로 불상을 올려놓는 돌로 만든 받침대이다. 연화대좌는 흔히 볼 수 있는 것이지만 이것은 형태가 희귀하고 크기도 매우 거대하다. 금산사 대적광전에서 동남쪽으로 10m쯤 되는 돌단 밑에 있는데, 이곳이 원래 위치인지는 알 수 없다.
 한 돌로 조각한 것이지만 여러 개의 돌을 사용한 것처럼 상·중·하의 구성이 정연하다. 상대는 윗면이 평평하며 중앙에 불상의 양발을 세워 놓았던 것으로 보이는 네모난 구멍이 두 개 있다. 밑면에는 윗면을 떠받치는 연꽃이 에워싸고 있으며, 꽃잎 사이에도 작은 잎들이 틈틈이 새겨져 있어 더욱 화려하다. 중대는 육각형으로 꽃무늬를 돋을새김하였다. 하대는 엎어놓은 연꽃모양이 출렁이는 물결무늬처럼 전면을 채우고 있다.
 이 작품은 통일신라시대의 양식을 따르고 있으나, 사치스러운 조각 및 장식 등으로 보아 통일신라에서 고려로 넘어가는 시기에 만들어진 것으로 짐작된다."
김제 금산사 혜덕왕사탑비,보물,전북 김제시,"
			
	             
	                 
	                 
	                     전라북도 김제시 금산면 금산리 산 4-6
	                 
	             
	         
	         
		",127.056322,35.72434,"금산사 안에 서있는 탑비로, 혜덕왕사를 기리기 위하여 세운 것이다.
 혜덕은 고려 중기의 승려로서, 정종 4년(1038)에 태어나 11세에 불교의 교리를 배우기 시작하였고, 그 이듬해에 승려가 되었다. 1079년 금산사의 주지가 되었으며 숙종이 불법(佛法)에 귀의하여 그를 법주(法主)로 삼자 왕에게 불교의 교리에 대한 강의를 하기도 하였다. 59세에 입적하였으며, 왕은 그를 국사로 대우하여 시호를 ‘혜덕’, 탑이름을 ‘진응’이라 내리었다. 
 현재 비의 머릿돌은 없어졌으며, 비문은 심하게 닳아 읽기가 매우 힘든 상태이다. 비의 받침돌에는 머리가 작고 몸통이 크게 표현된 거북을 조각하였고, 비문이 새겨진 몸돌은 받침돌에 비해 커보이는 듯하며, 주위에 덩굴무늬를 새겨 장식하였다.
 비문에는 혜덕의 생애·행적, 그리고 덕을 기리는 내용이 담겨 있다. 글씨는 구양순법(歐陽詢法)의 해서체로 썼는데, 구양순의 글씨보다 더욱 활달하여 명쾌한 맛이 있다. 신라나 조선에 비하여 고려시대의 글씨가 훨씬 뛰어남을 보여주는 부분이기도 하다.
 비문에 의하면 비를 세운 것은 예종 6년(1111)으로 혜덕이 입적한 지 15년이 지난 후의 일이다."
