문화재명,분류,소재지,상세주소,위도,경도,상세설명
구례 화엄사 각황전 앞 석등,국보,전남 구례군,"
			
	             
	                 
	                 
	                     전남 구례군 마산면 화엄사로 539, 화엄사 (황전리) / (지번)전남 구례군 마산면 황전리 12 화엄사
	                 
	             
	         
	         
		",127.497444533919,35.2571531377685,"화엄사 각황전 앞에 세워진 이 석등은 전체 높이 6.4m로 한국에서 가장 커다란 규모이다. 석등은 부처의 광명을 상징한다 하여 광명등(光明燈)이라고도 하는데, 대개 사찰의 대웅전이나 탑과 같은 중요한 건축물 앞에 배치된다. 불을 밝혀두는 화사석(火舍石)을 중심으로, 아래로는 3단의 받침돌을 두고, 위로는 지붕돌을 올린 후 꼭대기에 머리장식을 얹어 마무리한다. 
 8각 바닥돌 위의 아래받침돌에는 엎어놓은 연꽃무늬를 큼직하게 조각해 놓았고, 그 위로는 장고 모양의 가운데 기둥을 세워두었다. 장고 모양의 특이한 기둥형태는 통일신라시대 후기에 유행했던 것으로, 이 석등은 그 중에서도 가장 전형적인 형태를 보이고 있다. 기둥 위로는 솟은 연꽃무늬를 조각한 윗받침돌을 두어 화사석을 받치도록 하였다. 8각으로 이루어진 화사석은 불빛이 퍼져나오도록 4개의 창을 뚫어 놓았다. 큼직한 귀꽃이 눈에 띄는 8각의 지붕돌 위로는 머리 장식이 온전하게 남아있어 전체적인 완성미를 더해준다.
 이 석등은 통일신라 헌안왕 4년(860)에서 경문왕 13년(873) 사이에 세워졌을 것으로 추정되며, 석등 뒤에 세워진 각황전의 위용과 좋은 조화를 보여준다. 약간의 둔중한 감이 느껴지긴 하지만 활짝 핀 연꽃조각의 소박미와 화사석·지붕돌 등에서 보여주는 웅건한 조각미를 간직한 통일신라시대의 대표적 작품이다."
강진 무위사 극락보전,국보,전남 강진군,"
			
	             
	                 
	                 
	                     전남 강진군 성전면 무위사로 308, 무위사 (월하리) / (지번)전남 강진군 성전면 월하리 1174 무위사
	                 
	             
	         
	         
		",126.686758419185,34.738787662775,"무위사는 신라 진평왕 39년(617)에 원효대사가 관음사라는 이름으로 처음 지은 절로, 여러 차례에 걸쳐 보수공사가 진행되면서 이름도 무위사로 바뀌게 되었다.
 이 절에서 가장 오래된 건물인 극락보전은 세종 12년(1430)에 지었으며, 앞면 3칸·옆면 3칸 크기이다. 지붕은 옆면에서 볼 때 사람 인(人)자 모양인 맞배지붕으로, 지붕 처마를 받치기 위해 장식하여 짜은 구조가 기둥 위에만 있으며 간결하면서도 아름다운 조각이 매우 세련된 기법을 보여주고 있다.
 극락보전 안에는 아미타삼존불과 29점의 벽화가 있었지만, 지금은 불상 뒤에 큰 그림 하나만 남아 있고 나머지 28점은 전시관에 보관하고 있다. 이 벽화들에는 전설이 전하는데, 극락전이 완성되고 난 뒤 한 노인이 나타나서는 49일 동안 이 법당 안을 들여보지 말라고 당부한 뒤에 법당으로 들어갔다고 한다. 49일째 되는 날, 절의 주지스님이 약속을 어기고 문에 구멍을 뚫고 몰래 들여다 보자, 마지막 그림인 관음보살의 눈동자를 그리고 있던 한 마리의 파랑새가 입에 붓을 물고는 어디론가 날아가 버렸다고 한다. 그래서인지, 지금도 그림속 관음보살의 눈동자가 없다.
 이 건물은 곡선재료를 많이 쓰던 고려 후기의 건축에 비해, 직선재료를 사용하여 간결하면서 짜임새의 균형을 잘 이루고 있어 조선 초기의 양식을 뛰어나게 갖추고 있는 건물로 주목 받고 있다."
구례 화엄사 사사자 삼층석탑,국보,전남 구례군,"
			
	             
	                 
	                 
	                     전남 구례군 마산면 화엄사로 539 (황전리) / (지번)전남 구례군 마산면 황전리 산20-1
	                 
	             
	         
	         
		",127.49652701406,35.2569773703239,"지리산 자락에 있는 화엄사는 신라 진흥왕 5년(544)에 연기조사(緣起祖師)가 세운 절로, 호남 제일의 사찰답게 많은 부속 건물과 국보 구례 화엄사 각황전 앞 석등, 보물 구례 화엄사 동 오층석탑, 보물 구례 화엄사 서 오층석탑, 보물 구례 화엄사 원통전 앞 사자탑 등의 중요한 유물들이 전해온다. 탑은 소나무 숲으로 둘러싸인 절 서북쪽의 높은 대지에 석등과 마주보고 서 있으며, 2단의 기단(基壇)위에 3층의 탑신(塔身)을 올린 형태이다.
 아래층 기단의 각 면에는 천인상(天人像)을 도드라지게 새겼는데, 악기와 꽃을 받치고 춤추며 찬미하는 등의 다양한 모습이 그려져 있다. 가장 주목되는 위층 기단은 암수 네 마리의 사자를 각 모퉁이에 기둥삼아 세워 놓은 구조로, 모두 앞을 바라보며 입을 벌린 채 날카로운 이를 드러내고 있다. 사자들에 에워싸여 있는 중앙에는 합장한 채 서있는 스님상이 있는데 이는 연기조사의 어머니라고 전하며, 바로 앞 석등의 탑을 향해 꿇어앉아 있는 스님상은 석등을 이고 어머니께 차를 공양하는 연기조사의 지극한 효성을 표현해 놓은 것이라 한다.
 탑신은 1층 몸돌에 문짝 모양을 본떠 새기고, 양 옆으로 인왕상(仁王像), 사천왕상(四天王像), 보살상을 조각해 두었다. 평평한 경사를 보이고 있는 지붕돌은 밑면에 5단씩의 받침이 있으며, 처마는 네 귀퉁이에서 살짝 들려 있다. 탑의 꼭대기에는 머리장식의 받침돌인 노반(露盤)과 복발(覆鉢:엎어놓은 그릇모양의 장식)만이 남아있다.
 각 부분의 조각이 뛰어나며, 지붕돌에서 경쾌한 아름다움을 보여주고 있어 통일신라 전성기인 8세기 중엽에 만들었을 것으로 추측된다. 특히 위층 기단의 사자조각은 탑 구성의 한 역할을 하고 있어 국보 경주 불국사 다보탑과 더불어 우리나라 이형(異形)석탑의 쌍벽을 이루고 있다."
순천 송광사 목조삼존불감,국보,전남 순천시,"
			
	             
	                 
	                 
	                     전남 순천시 송광면 송광사안길 100, 송광사 (신평리)
	                 
	             
	         
	         
		",127.2756552,35.0021686,"불상을 모시기 위해 나무나 돌, 쇠 등을 깎아 일반적인 건축물보다 작은 규모로 만든 것을 불감(佛龕)이라 한다. 불감은 그 안에 모신 불상의 양식뿐만 아니라, 당시의 건축 양식을 함께 살필 수 있는 중요한 자료가 된다. 이 목조삼존불감은 보조국사 지눌이 중국에서 돌아오는 길에 가져온 것으로 알려져 있으나 정확한 기록은 남아 있지 않다.
 불감은 모두 3부분으로 이루어져 있는데, 가운데의 방을 중심으로 양쪽에 작은 방이 문짝처럼 달려 있다. 문을 닫으면 윗부분이 둥근 팔각기둥 모양이 되는데, 전체 높이는 13㎝이고, 문을 열었을 때 너비 17㎝가 되는 작은 크기이다.
 가운데 큰 방에는 연꽃무늬가 새겨진 대좌(臺座) 위에 앉아 있는 본존불이 조각되어 있고, 양쪽의 작은 방에는 각각 보살상이 모셔져 있다. 본존불은 양 어깨를 감싼 옷을 입고 있으며, 옷주름은 2줄로 표현되어 있다. 오른손은 어깨 높이로 들었고, 무릎 위에 올리고 있는 왼손에는 물건을 들고 있다. 오른쪽 방에는 실천을 통해 자비를 나타낸다는 보현보살을 배치하였는데, 코끼리가 새겨진 대좌 위에 앉아 있다. 보살의 왼쪽에는 동자상이, 오른쪽에는 사자상이 서 있다. 왼쪽 방에는 지혜를 상징하는 문수보살이 연꽃가지를 들고 서 있다. 문수보살은 사자가 새겨져 있는 대좌 위에 서 있으며, 보살의 좌우에는 동자상이 1구씩 서 있다.
 이 목조삼존불감은 매우 작으면서도 세부묘사가 정확하고 정교하여 우수한 조각 기술을 보여주고 있다. 세부의 장식과 얼굴 표현 등에서는 인도의 영향을 받은 듯 이국적인 면이 보이며, 불감의 양식이나 구조에서는 중국 당나라의 요소를 발견할 수 있다. 국내에 남아 있는 불감류 가운데 매우 희귀한 예라고 할 수 있다."
혜심 고신제서,국보,전남 순천시,"
			
	             
	                 
	                 
	                     전남 순천시 송광면 송광사안길 100, 송광사 (신평리)
	                 
	             
	         
	         
		",127.2756552,35.0021686,"이 문서는 고려 고종 3년(1216)에 조계산 송광사 제2세 진각국사 혜심에게 대선사의 호를 내릴 것을 제가(制可)한 것이다. 이것은 능형화문의 무늬가 있는 홍, 황, 백색 등의  비단 7장을 이어서 만든 두루마리에 묵서한 것으로, 크기는 가로 3.6m, 세로 33㎝이다. 이것은 고려시대 승려에게 하사한 제서 중 몇 점 되지 않는 귀중한 자료이다."
장흥 보림사 남·북 삼층석탑 및 석등,국보,전남 장흥군,"
			
	             
	                 
	                 
	                     전남 장흥군 유치면 봉덕리 45번지 보림사
	                 
	             
	         
	         
		",126.896264475771,34.8077435022035,"가지산 남쪽 기슭에 있는 보림사는 통일신라 헌안왕의 권유로 체징(體澄)이 터를 잡아 헌안왕 4년(860)에 창건하였다. 그 뒤 계속 번창하여 20여 동의 부속 건물을 갖추었으나, 한국전쟁 때 대부분이 불에 타 없어졌다. 절 앞뜰에는 2기의 석탑과 1기의 석등이 나란히 놓여 있다. 
 남북으로 세워진 두 탑은 구조와 크기가 같으며, 2단으로 쌓은 기단(基壇)위에 3층의 탑신(塔身)을 놓고 머리장식을 얹은 통일신라의 전형적인 석탑이다. 기단은 위층이 큰데 비해 아래층은 작으며, 위층 기단의 맨윗돌은 매우 얇다. 탑신부는 몸돌과 지붕돌을 각각 하나의 돌로 만들어 쌓았으며, 각 층 몸돌에 모서리기둥을 새겼는데, 2·3층은 희미하게 나타난다. 지붕돌은 밑면의 받침이 계단형으로 5단씩이고, 처마는 기단의 맨윗돌과 같이 얇고 평평하며, 네 귀퉁이는 심하게 들려있어 윗면의 경사가 급해 보인다. 탑의 꼭대기에는 여러 개의 머리장식들을 차례대로 가지런히 올려 놓았다.
 석등 역시 신라의 전형적인 모습으로, 네모꼴의 바닥돌 위에 연꽃무늬를 새긴 8각의 아래받침돌을 얹고, 그 위에 가늘고 긴 기둥을 세운 후, 다시 윗받침돌을 얹어 불을 밝혀두는 화사석(火舍石)을 받쳐주도록 하였다. 화사석은 8각으로 4면에만 창을 뚫어 놓았고, 그 위로 넓은 지붕돌을 얹었는데 각 모서리 끝부분에 꽃장식을 하였다. 석등의 지붕 위에는 여러 장식들 놓여 있다.
 이들 석탑과 석등은 모두 완전한 형태를 지니고 있으며, 특히 탑의 머리장식은 온전하게 남아 있는 예가 드물어 귀중한 자료가 되고 있다. 탑 속에서 발견된 기록에 의해 석탑은 통일신라 경문왕 10년(870) 즈음에 만들어진 것으로 밝혀졌고, 석탑과 더불어 석등도 같은 시기에 만들어졌을 것으로 보고 있다."
영암 도갑사 해탈문,국보,전남 영암군,"
			
	             
	                 
	                 
	                     전남 영암군 군서면 도갑사로 306, 도갑사 (도갑리) / (지번)전남 영암군 군서면 도갑리 8 도갑사
	                 
	             
	         
	         
		",126.662111686294,34.7527543103396,"도갑사는 월출산에 있는 절로, 신라말에 도선국사가 지었다고 하며 고려 후기에 크게 번성했다고 전한다. 원래 이곳은 문수사라는 절이 있던 터로 도선국사가 어린 시절을 보냈던 곳인데, 도선이 자라 중국을 다녀온 뒤 이 문수사터에 도갑사를 지었다고 한다. 그 뒤, 수미·신미 두 스님이 조선 성종 4년(1473)에 다시 지었고, 한국전쟁 때 대부분의 건물이 불에 타 버린 것을 새로 지어 오늘에 이르고 있다.
 이 절에서 가장 오래된 해탈문은 모든 번뇌를 벗어버린다는 뜻으로, 앞면 3칸·옆면 2칸 크기이며, 절의 입구에 서 있다. 좌우 1칸에는 절 문을 지키는 금강역사상이 서 있고, 가운데 1칸은 통로로 사용하고 있다. 건물 위쪽에는 도갑사의 정문임을 알리는 ‘월출산도갑사(月出山道岬寺)’라는 현판이 걸려 있으며, 반대편에는 ‘해탈문(解脫門)’이라는 현판이 걸려 있다.
 영암 도갑사 해탈문은 우리 나라에서 흔하게 볼 수 없는 산문(山門)건축으로, 춘천 청평사 회전문(보물)과 비교되는 중요한 건물이다."
구례 연곡사 동 승탑,국보,전남 구례군,"
			
	             
	                 
	                 
	                     전남 구례군 토지면 피아골로 806-16, 연곡사 (내동리) / (지번)전남 구례군 토지면 내동리 산54-1 연곡사
	                 
	             
	         
	         
		",127.588430206405,35.2552278706953,"탑이 부처의 사리를 모시는 곳이라면, 승탑은 유명했던 스님들의 사리를 두는 곳이다. 승탑의 구성은 석탑과 같아서, 기단(基壇) 위에 사리를 모시는 탑신(塔身)을 두고 그 위에 머리장식을 얹는다.
 이 승탑은 연곡사의 동쪽에 네모난 바닥돌위로 세워져 있으며, 전체적으로 8각형을 기본으로 하고 있다. 연곡사는 고려 전기까지 스님들이 선(禪)을 닦는 절로 이름이 높았는데, 이 때문인지 이곳에는 이 승탑 외에도 구례 연곡사 소요대사탑(보물), 구례 연곡사 북 승탑(국보) 등 2기가 더 있다. 동 승탑은 그 중 형태가 가장 아름답고 우아한 작품이다.
 기단(基壇)은 세 층으로 아래받침돌, 가운데받침돌, 윗받침돌을 올렸다. 아래받침돌은 두 단인데, 구름에 휩싸인 용과 사자모양을 각각 조각해 놓았다. 가운데받침돌에는 둥근 테두리를 두르고, 부처님의 설법을 들으러 몰려든다는 8부중상(八部衆像)을 새겼다. 윗받침돌 역시 두 단으로 나뉘어 두 겹의 연꽃잎과 기둥모양을 세밀하게 묘사해 두었는데, 이 부분에 둥근 테를 두르고 그 안에 불교의 낙원에 사는 극락조인 가릉빈가(伽陵頻迦)를 새겨둔 점이 독특하다. 
 탑신(塔身)은 몸돌의 각 면에 테두리를 두르고, 그 속에 향로와 불법을 수호하는 방위신인 4천왕상(四天王像)을 돋을새김해 두었는데, 그 수법이 그리 훌륭하지는 못하다. 지붕돌에는 서까래와 기와의 골을 새겼으며, 기와를 끝맺음할 때 두는 막새기와까지 표현할 정도로 수법이 정교하다. 머리장식으로는 날개를 활짝 편 봉황과 연꽃무늬를 새겨 아래위로 쌓아 놓았다.
 도선국사의 승탑이라고 전해지고 있으나 확실한 것은 알 수가 없으며, 일제 때 동경대학으로 반출될 뻔한 위기도 있었지만 다행히도 제자리를 지키고 있다. 기단이 좀 높아 보이기는 하나 전체적으로 안정된 비례감을 잃지 않으면서 훌륭한 조각수법을 보이고 있어 통일신라 후기를 대표할 만한 우수한 작품으로 평가받고 있다."
구례 연곡사 북 승탑,국보,전남 구례군,"
			
	             
	                 
	                 
	                     전남 구례군 토지면 피아골로 806-16, 연곡사 (내동리) / (지번)전남 구례군 토지면 내동리 산54-1 연곡사
	                 
	             
	         
	         
		",127.588262244393,35.2561033437638,"부처님의 사리를 모시는 곳이 탑이라면, 수행이 높았던 스님의 사리를 두는 곳이 승탑이다. 구성은 석탑과 비슷해서, 기단(基壇) 위에 사리를 모시는 탑신(塔身)을 두고 그 위에 머리장식을 얹게 된다.
 이 승탑은 연곡사 내의 북쪽 산 중턱에 네모나게 둔 바닥돌 위로 세워져 있으며, 전체적으로 8각형을 기본으로 하고 있다. 연곡사는 고려 초까지 스님들이 선(禪)을 닦는 절로 이름이 높았는데, 이 때문인지 이 곳에는 북 승탑 외에도 구례 연곡사 동 승탑(국보), 구례 연곡사 소요대사탑(보물) 등이 더 모셔져 있다. 북 승탑은 그 중에서 가장 형태가 아름다운 동 승탑을 본떠 건립한 것으로 보이는데, 크기와 형태는 거의 같고, 단지 세부적인 꾸밈에서만 약간의 차이가 있다.
 기단은 세 층으로 아래받침돌, 가운데받침돌, 윗받침돌을 올렸다. 아래받침돌은 2단으로, 아래에는 구름무늬를, 위에는 두 겹으로 된 16잎의 연꽃무늬를 각각 새겨두었다. 윗받침돌 역시 두 단으로 나누어 연꽃과 돌난간을 아래위로 꾸몄다. 특히 윗단에는 둥근 테를 두르고, 그 속에 불교의 낙원에 산다는 극락조인 가릉빈가(伽陵頻迦)를 돋을새김해 두었다. 탑신의 몸돌은 각 면에 향로와 불법을 수호하는 방위신인 4천왕상(四天王像) 등을 꾸며놓았다. 지붕돌에는 서까래와 기와의 골을 새겼는데, 동 승탑과 마찬가지로 기와 끝에 막새기와의 모양을 새겨두었다. 머리장식으로는 날개를 활짝 편 네 마리의 봉황과 연꽃무늬를 새긴 돌이 온전하게 남아있다.
 승탑에 기록이 남아 있지 않아 어떤 스님을 기리기 위한 것인지 알 수 없어 ‘북 승탑’이라고만 부르고 있다. 동 승탑이 통일신라시대 후기에 만들어진 반면에 북 승탑은 그 후인 고려 전기에 건립된 것으로 보이며, 8각형 승탑을 대표할 만한 훌륭한 작품이다."
순천 송광사 국사전,국보,전남 순천시,"
			
	             
	                 
	                 
	                     전남 순천시 송광면 송광사안길 100, 송광사 (신평리) / (지번)전남 순천시 송광면 신평리 12 송광사
	                 
	             
	         
	         
		",127.27649252568,35.0018816706123,"조계산에 있는 송광사는 우리나라 3대 사찰 중 하나로 매우 유서 깊은 절이다. ‘송광’이라는 절 이름은 조계산의 옛 이름인 송광산에서 따 왔다고 하는데, 절을 언제 세웠는지 정확한 자료는 없고 신라 말기에 체징이 세웠다는 기록이 있다.
 송광사 국사전은 나라를 빛낸 큰 스님 16분의 영정을 모시고 그 덕을 기리기 위해 세운 건물로, 옛날에는 참선을 하던 곳이었다. 고려 공민왕 18년(1369)에 처음 지었고, 그 뒤 두 차례에 걸쳐 보수하였다.
 앞면 4칸·옆면 3칸 크기이며 지붕은 옆면에서 볼 때 사람 인(人)자 모양인 맞배지붕으로, 지붕 처마를 받치기 위해 장식하여 짜은 구조가 기둥 위에만 있는 주심포 양식이다. 건물 안의 천장은 우물 정(井)자 모양의 천장으로 꾸미고 연꽃무늬로 장식하였는데, 천장의 연꽃무늬와 대들보의 용무늬는 건물을 지을 당시의 모습을 그대로 보존하고 있는 것으로 보인다.
 건축 구조상 조선 초기 양식을 지니고 있는 이 건물은 순천 송광사 하사당(보물)과 같은 시대에 지은 것으로 짐작되며, 소박하고 아담한 형태와 그 기법에서도 주심포 중기 형식의 표준이라고 할 만한 중요한 건축물이다."
