문화재명,분류,소재지,상세주소,위도,경도,상세설명
합천 해인사 대장경판,국보,경남 합천군,"
			
	             
	                 
	                 
	                     경남 합천군 가야면 해인사길 122, 해인사 (치인리)
	                 
	             
	         
	         
		",128.0980159,35.8011827,"대장경은 경(經)·율(律)·논(論)의 삼장(三藏)을 말하며, 불교경전의 총서를 가리킨다. 이 대장경은 고려 고종 24∼35년(1237∼1248)에 걸쳐 간행되었다. 이것은 고려시대에 간행되었다고 해서 고려대장경이라고도 하고, 판수가 8만여 개에 달하고 8만 4천 번뇌에 해당하는 8만 4천 법문을 실었다고 하여 8만대장경이라고도 부른다.
 이것을 만들게 된 동기는 고려 현종 때 새긴 초조대장경이 고종 19년(1232) 몽고의 침입으로 불타 없어지자 다시 대장경을 만들었으며, 그래서 재조대장경이라고도 한다. 몽고군의 침입을 불교의 힘으로 막아보고자 하는 뜻으로 국가적인 차원에서 대장도감이라는 임시기구를 설치하여 새긴 것이다. 새긴 곳은 경상남도 남해에 설치한 분사대장도감에서 담당하였다.
 원래 강화도 성 서문 밖의 대장경판당에 보관되었던 것을 선원사를 거쳐 태조 7년(1398) 5월에 해인사로 옮겨 오늘날까지 이어오고 있다. 현재 해인사 법보전과 수다라장에 보관되어 있는데 일제시대에 조사한 숫자를 보면 81,258장이지만 여기에는 조선시대에 다시 새긴 것도 포함되어 있다. 경판의 크기는 가로 70㎝내외, 세로 24㎝내외이고 두께는 2.6㎝ 내지 4㎝이다. 무게는 3㎏ 내지 4㎏이다.
 구성을 보면 모두 1,496종 6,568권으로 되어있다. 이 대장경의 특징은 사업을 주관하던 개태사 승통인 수기대사가 북송관판, 거란본, 초조대장경을 참고하여 내용의 오류를 바로잡아 대장경을 제작하였다고 한다.
  이 대장경판은 현재 없어진 송나라 북송관판이나 거란의 대장경의 내용을 알 수 있는 유일한 것이며, 수천만 개의 글자 하나 하나가 오자·탈자없이 모두 고르고 정밀하다는 점에서 그 보존가치가 매우 크며, 현존 대장경 중에서도 가장 오랜 역사와 내용의 완벽함으로 세계적인 명성을 지니고 있는 문화유산이다. 또한 2007년 세계기록유산에 등재되었다."
창녕 신라 진흥왕 척경비,국보,경남 창녕군,"
			
	             
	                 
	                 
	                     경남 창녕군 창녕읍 교상리 28-1번지
	                 
	             
	         
	         
		",128.50264501968,35.5407250695667,"빛벌가야(지금의 창녕군)를 신라 영토로 편입한 진흥왕이 이곳을 순시하면서 민심을 살핀 후 그 기념으로 세운 비이다. 당시 창녕군은 신라가 서쪽으로 진출하는데 있어 마치 부채살의 꼭지와 같은 중요한 길목이었는데, 진흥왕 16년(555) 신라에 병합되었고, 565년에는 대야주(지금의 합천군)와 합쳐져 비사벌군(比斯伐郡) 또는 비자화군(比自化郡)으로 불리워지게 되었다.
 비는 목마산성 기슭에 있던 것을 1924년 지금의 자리로 옮겨 비각안에 모셔 둔 것으로, 자연석의 앞면을 평평하게 다듬어 비문을 새기고, 그 둘레에 선으로 윤곽을 돌려놓은 모습이다. 다른 순수비와 달리 ‘순수관경(巡狩管境)’이라는 제목이 보이지 않아 척경비(영토 편입을 기념하여 세운 비)라 일컫고 있으나, 임금을 수행한 신하들의 명단이 기록되어 있는 것으로 보아 순수비에 속한다 할 수 있다. 
 비문은 심하게 닳아 있어 판독하기가 힘든 상태이나, 후반부는 명확히 읽어낼 수 있을 만큼 선명하다. 다른 순수비의 내용을 참고할 때 대략 진흥왕이 빛벌가야를 점령하여 영토를 확장한 사실과 왕의 통치이념, 포부 등이 실려 있었던 것으로 보이는데, 후반부에 당시 왕을 수행하던 신하들의 명단이 직관, 직위, 소속의 순서대로 나열되어 있어 당시 지방행정조직, 신분제 및 사회조직을 파악하는데 많은 도움이 되고 있다.
 비를 세운 시기는 대가야가 멸망하기 1년 전인 신라 진흥왕 22년(561)으로, 이 지역을 가야진출의 발판으로 삼고자 한 왕의 정치적인 의도가 엿보인다. 또한 진흥왕 당시의 사실을 기록해 놓아『삼국사기』의 내용을 보완해줌으로써, 이 시대의 역사적 사실을 밝히고 이해하는데 크게 기여하고 있다."
창녕 술정리 동 삼층석탑,국보,경남 창녕군,"
			
	             
	                 
	                 
	                     경남 창녕군 창녕읍 시장2길 37 (술정리)
	                 
	             
	         
	         
		",128.496103617453,35.5395963195985,"탑이 세워져 있는 창녕군 지역은 삼국시대부터 신라의 영역에 속해 있던 곳이며, 진흥왕 때부터 신라의 정치·군사상의 요지가 되었다. 탑은 2단의 기단(基壇)에 3층의 탑신(塔身)을 올린 형태로, 통일신라 석탑의 일반적인 모습이다. 
 기단에는 위·아래층 모두 각면의 모서리와 가운데에 기둥 모양이 새겨져 있고, 탑신 역시 몸돌의 모서리마다 기둥모양을 한 조각이 있다. 지붕돌은 수평을 이루던 처마가 네 귀퉁이에서 살짝 치켜 올라가 간결한 모습이며, 밑면에는 5단의 받침을 두었다. 1965년 탑을 해체, 복원할 당시 3층 몸돌에서 뚜껑달린 청동잔형사리용기 등의 유물들이 발견되었고, 바닥돌 주위에 돌림돌을 놓았던 구조도 밝혀졌다.
 8세기 중엽인 통일신라시대에 세워진 탑으로, 위로 올라가면서 적당한 비율로 줄어드는 몸돌로 인해 충분한 안정감과 아름다움이 느껴진다. 세부적인  수법도 정교하여 경주 불국사 삼층석탑(국보)과 비길만한 기품이 있으며, 삼국시대부터 신라 영역에 속해있던 창녕의 지역적인 특성으로 볼 때, 경주 중심의 탑 건립 경향이 지방으로 확산되는 과정을 보여주고 있어 중요한 가치를 지니고 있다."
하동 쌍계사 진감선사탑비,국보,경남 하동군,"
			
	             
	                 
	                 
	                     경남 하동군 화개면 쌍계사길 59, 쌍계사 (운수리)
	                 
	             
	         
	         
		",127.650504705527,35.2324784611333,"통일신라 후기의 유명한 승려인 진감선사의 탑비이다. 진감선사(774∼850)는 불교 음악인 범패를 도입하여 널리 대중화시킨 인물로, 애장왕 5년(804)에 당나라에 유학하여 승려가 되었으며, 흥덕왕 5년(830)에 귀국하여 높은 도덕과 법력으로 당시 왕들의 우러름을 받다가 77세의 나이로 쌍계사에서 입적하였다. 
 비는 몸돌에 손상을 입긴 하였으나, 아래로는 거북받침돌을, 위로는 머릿돌을 고루 갖추고 있는 모습이다. 통일신라 후기의 탑비양식에 따라 거북받침돌은 머리가 용머리로 꾸며져 있으며, 등에는 6각의 무늬가 가득 채워져 있다. 등 중앙에는 비몸돌을 끼우도록 만든 비좌(碑座)가 큼지막하게 자리하고 있는데, 옆의 4면마다 구름무늬가 새겨져 있다. 직사각형의 몸돌은 여러 군데가 갈라져 있는 등 많이 손상된 상태이다. 머릿돌에는 구슬을 두고 다투는 용의 모습이 힘차게 표현되어 있고, 앞면 중앙에는 ‘해동고진감선사비’라는 비의 명칭이 새겨져 있다. 꼭대기에는 솟은 연꽃무늬위로 구슬모양의 머리장식이 놓여 있다. 
 진성여왕 원년(887)에 세워진 것으로, 진감선사가 도를 닦던 옥천사를  ‘쌍계사’로 이름을 고친 후에 이 비를 세웠다 한다. 당시의 대표적인 문인이었던 최치원이 비문을 짓고 글씨를 쓴 것으로 유명한데, 특히 붓의 자연스런 흐름을 살려 생동감 있게 표현한 글씨는 최치원의 명성을 다시금 되새기게 할 만큼 뛰어나다."
합천 해인사 장경판전,국보,경남 합천군,"
			
	             
	                 
	                 
	                     경남 합천군 가야면 해인사길 122, 해인사 (치인리)
	                 
	             
	         
	         
		",128.098720300091,35.8016023778966,"가야산 중턱에 자리잡은 해인사는 통일신라 애장왕 3년(802)에 지은 사찰로, 왕후의 병을 부처의 힘으로 치료해 준 것에 대한 감사의 뜻으로 지었다고 한다. 우리나라 3대 사찰 중 하나이며, 8만대장경을 보관하고 있기 때문에 법보사찰이라고도 부른다.
 장경판전은 고려시대에 만들어진 8만여장의 대장경판을 보관하고 있는 건물로, 해인사에 남아있는 건물 중 가장 오래 되었다. 처음 지은 연대는 정확히 알지 못하지만, 조선 세조 3년(1457)에 크게 다시 지었고 성종 19년(1488)에 학조대사가 왕실의 후원으로 다시 지어 ‘보안당’이라고 했다는 기록이 있다. 산 속 깊은 곳에 자리잡고 있어 임진왜란에도 피해를 입지 않아 옛 모습을 유지하고 있으며, 광해군 14년(1622)과 인조 2년(1624)에 수리가 있었다.
 앞면 15칸·옆면 2칸 크기의 두 건물을 나란히 배치하였는데, 남쪽 건물은 ‘수다라장’이라 하고 북쪽의 건물은 ‘법보전’이라 한다. 서쪽과 동쪽에는 앞면 2칸·옆면 1칸 규모의 작은 서고가 있어서, 전체적으로는 긴 네모형으로 배치되어 있다. 대장경판을 보관하는 건물의 기능을 충분히 발휘할 수 있도록 장식 요소는 두지 않았으며, 통풍을 위하여 창의 크기를 남쪽과 북쪽을 서로 다르게 하고 각 칸마다 창을 내었다. 또한 안쪽 흙바닥 속에 숯과 횟가루,소금을 모래와 함께 차례로 넣음으로써 습도를 조절하도록 하였다.
 자연의 조건을 이용하여 설계한 합리적이고 과학적인 점 등으로 인해 대장경판을 지금까지 잘 보존할 수 있었다고 평가 받고 있다.
 합천 해인사 장경판전은 15세기 건축물로서 세계 유일의 대장경판 보관용 건물이며, 1995년 12월 유네스코 세계문화유산으로 등재되었다."
표충사 청동 은입사 향완,국보,경남 밀양시,"
			
	             
	                 
	                 
	                     경남 밀양시 단장면 구천리 산31-2번지 표충사
	                 
	             
	         
	         
		",128.9623239,35.533758,"향완이란 절에서 의식을 행하거나 불단에 올려놓고 향을 피우는데 사용된 공양구이다. 특히 이처럼 완형(盌形)의 몸체에 나팔처럼 벌어진 자리와 원반형 받침을 지닌 형태를 향완이라 불렀다. 경상남도 밀양 표충사에 있는 청동 향완은 높이 27.5㎝, 입지름 26.1㎝의 크기이다. 향완에 무늬를 새기고 그 틈에 은실을 박아서 장식한 은입사(銀入絲) 기술이 매우 정교하면서도 세련된 작품이다.
 향완의 형태는 주둥이 부분에 넓은 전이 달린 몸체와 바깥으로 벌어진 나팔모양의 받침을 갖춘 모습이, 고려시대의 전형적인 양식이다. 전과 몸체가 닿는 부분을 둥글게 처리하고 받침 둘레의 가장자리에 얕은 턱을 만들어 안정감을 주었다. 높이나 너비의 비율도 거의 1：1을 이룸으로써 균형잡힌 비례감각을 보여주고 있다. 넓은 전 윗면에는 일정한 간격으로 배치된 6개의 원 안에 ‘범자(梵字)’를 은입사하였으며, 그 사이사이에 구름무늬를 장식하였다. 몸체에도 역시 굵고 가는 여러 선으로 원 안에 굵게 은입사한 ‘범자(梵字)'가 4곳에 배치되어 있다. 받침에는 구름과 용무늬를 장식하였는데, 굵고 가는 선을 이용하여 능숙하게 표현된 용의 모습에서 고려시대 뛰어난 은입사기법을 보여주고 있다.
 넓은 전의 안쪽 면에는 57자의 은입사로 된 명문을 새겼는데, 내용으로 미루어 고려 명종 7년(1177)에 제작된 것임을 알 수 있다. 이는 국내에 남아있는 향완으로는 가장 오래된 것으로, 고려 향완 연구에 귀중한 편년자료이다. 뿐만 아니라 원래 이 향완이 있었던 곳이 현재의 표충사가 아닌 창녕 용흥사였음을 알 수 있지만 언제, 어떻게 해서 표충사에 전래되었는지는 분명치 않다."
산청 범학리 삼층석탑,국보,경남 진주시,"
			
	             
	                 
	                 
	                     경상남도 진주시 남강로 626 (본성동, 진주성) 국립진주박물관 야외전시장
	                 
	             
	         
	         
		",128.076668,35.189463,"범허사라고 전하는 경상남도 산청의 옛 절터에 무너져 있던 것을 1941년경 대구의 일본인 골동상이 구입하여 공장에 세워 놓았으나, 1947년 경복궁으로 이전되었으며 현재는 국립진주박물관에 보관되어 있다.
 탑은 2단의 기단(基壇) 위에 3층의 탑신(塔身)을 올린 일반적인 모습이다. 바닥돌과 기단의 아래부분은 옮겨 세울 당시 시멘트로 보강한 탓에 원래의 구조는 알 수 없다. 기단의 네 모서리와 각 면의 가운데에는 기둥을 본떠 새겼는데, 아래층의 가운데기둥은 2개씩, 위층은 1개씩을 두었다. 특히 위층 기단에는 가운데기둥으로 나누어진 각 면에 8부중상(八部衆像)을 도드라지게 새겨 놓았다. 탑신부는 1층 몸돌에 보살상의 모습을 1구씩 조각해 우아한 모습을 보여주고 있다. 지붕돌은 밑면의 받침이 4단씩이며 각 경사면은 평평하고 얇은 모습이다. 또한 추녀 끝의 치켜올려진 정도가 날카로워 경쾌한 인상을 보여준다.
 이 탑은 기단과 탑신의 1층 몸돌에 8부신중 및 보살상이 화려하게 조각되어 있어 ‘장식탑’이라 일컬어지기도 한다. 이러한 장식적인 조각표현으로 인해 장중하고 소박한 맛을 잃기는 하였으나, 전체적으로 통일신라 후기 석탑의 특징을 잘 나타내주는 우수한 작품이다."
합천 해인사 고려목판,국보,경남 합천군,"
			
	             
	                 
	                 
	                     경남 합천군 가야면 해인사길 122, 해인사 (치인리)
	                 
	             
	         
	         
		",128.0980159,35.8011827,"경상남도 합천군 해인사에 소장되어 있는 고려시대의 불교경전, 고승의 저술, 시문집 등이 새겨진 목판이다. 이 목판은 국가기관인 대장도감(大藏都監)에서 새긴 합천 해인사 대장경판(국보)과는 달리, 지방관청이나 절에서 새긴 것이다. 현재 해인사 대장경판전 사이에 있는 동·서 사간판전(寺刊板殿)에 보관되어 있다.
 후박나무를 짠물에 담가 지방기를 빼고 나무결을 삭혀 잘 말린 다음 판각하였기 때문에 원형 그대로 잘 보존되었다. 이 목판에는 『금강경』, 『화엄경』 등의 대승경전과 신라·고려·중국의 고승이나 개인의 시문집 및 저술들이 있는데, 경전류는 대부분 간행기록이 있어 고려시대 불교경전의 유통 등 불교신앙의 경향을 알 수 있다. 고승이나 개인의 시문집 및 저술 등은 비록 간행기록이 없고 전권을 갖추지 못한 것이 많으나, 그 내용이 전하지 않거나 역사적으로 희귀한 자료들이다.
 고려시대 판화 및 판각기술은 물론이고, 한국 불교사상 및 문화사 연구에 중요한 자료로 평가된다."
산청 석남암사지 석조비로자나불좌상,국보,경남 산청군,"
			
	             
	                 
	                 
	                     경남 산청군 삼장면 대하내원로 256, 덕산사 (대포리)
	                 
	             
	         
	         
		",127.810030229352,35.3002724371669,"이 비로자나불상은 불상의 중대석에서 발견된 납석사리호의 명문을 통해 766년(혜공왕 2)에 법승(法勝)과 법연(法緣) 두 승려가 받들어 돌아가신 두온애랑(豆溫哀郞)의 원을 위해 석조비로자나불상을 조성하여 무구정광대다라니와 함께 석남암수(石南巖藪, 여기서 &quot;수藪&quot;는 오래된 절을 의미) 관음암에 봉안하였다는 기록을 가진 중요한 불상이다. 이 불상은 우리나라 가장 오래된 연대를 가진 지권인(智拳印) 비로자나불상으로서 중요하며, 편년자료가 부족한 고대조각사 연구에도 절대적인 자료로 평가된다. 더불어 지권인을 한 여래형(如來形)의 비로자나불 형식이 766년에 정립되었다는 사실은 새로운 불교 사상과 새로운 불교사의 흐름을 반영한 것으로서 주목되는 것이다.
따라서 이 비로자나불상은 동아시아를 통틀어 명문이 밝혀진 최초의 지권인 비로자나불상으로서 도상적․양식적으로 불교미술사 연구에 매우 귀중하고 획기적인 자료이다. 뿐만 아니라 이 불상을 통해 8세기 중엽경에는 『무구정광대다라니경(無垢淨光大陀羅尼經)』이 불상에도 납입되었다는 사실을 알 수 있어, 우리나라 불상 복장의 시원적 형태를 엿볼 수 있는 중요한 자료이기도 하다."
귀함별황자총통(1596년조),국보,경남 창원시,"
			
	             
	                 
	                 
	                     경남 창원시 진해구 앵곡동 해군사관학교박물관
	                 
	             
	         
	         
		",128.6818441,35.2278754,※ 이 귀함별황자총통은 해군 이충무공해저유물발굴조사단에 의해 1992년 8월 경상남도 통영군 한산면 문어포 서남쪽 해저에서 발굴 인양되었다. 우리나라 국방과학기술문화재 화포 연구 사료로서 귀중한 자료로 평가되어 1992년 9월 4일 국보 제274호로 지정되었다. 그러나 진품이 아닌 모조품으로 밝혀져 문화재적 가치를 상실하여 문화재위원회의 심의를 거친 뒤 1996년 8월 31일 지정 해제되었다.
