문화재명,분류,소재지,상세주소,위도,경도,상세설명
서울 숭례문,국보,서울 중구,"
			
	             
	                 
	                 
	                     서울 중구 세종대로 40 (남대문로4가)
	                 
	             
	         
	         
		",126.975312652739,37.559975221378,"조선시대 한양도성의 정문으로 남쪽에 있다고 해서 남대문이라고도 불렀다. 현재 서울에 남아 있는 목조 건물 중 가장 오래된 것으로 태조 5년(1396)에 짓기 시작하여 태조 7년(1398)에 완성하였다. 이 건물은 세종 30년(1448)에 고쳐 지은 것인데 1961∼1963년 해체·수리 때 성종 10년(1479)에도 큰 공사가 있었다는 사실이 밝혀졌다. 이후, 2008년 2월 10일 숭례문 방화 화재로 누각 2층 지붕이 붕괴되고 1층 지붕도 일부 소실되는 등 큰 피해를 입었으며, 5년 2개월에 걸친 복원공사 끝에 2013년 5월 4일 준공되어 일반에 공개되고 있다.
 이 문은 돌을 높이 쌓아 만든 석축 가운데에 무지개 모양의 홍예문을 두고, 그 위에 앞면 5칸·옆면 2칸 크기로 지은 누각형 2층 건물이다. 지붕은 앞면에서 볼 때 사다리꼴 형태를 하고 있는데, 이러한 지붕을 우진각지붕이라 한다. 지붕 처마를 받치기 위해 기둥 위부분에 장식하여 짠 구조가 기둥 위뿐만 아니라 기둥 사이에도 있는 다포 양식으로, 그 형태가 곡이 심하지 않고 짜임도 건실해 조선 전기의 특징을 잘 보여주고 있다.
 『지봉유설』의 기록에는 ‘숭례문’이라고 쓴 현판을 양녕대군이 썼다고 한다. 지어진 연대를 정확히 알 수 있는 서울 성곽 중에서 제일 오래된 목조 건축물이다.
Ο 숭례문 방화 화재(2008.2.10)
­­­2008년 숭례문 방화 사건(崇禮門放火事件)은 2008년 2월 10일 ~ 2월 11일 숭례문 건물이 방화로 타 무너진 사건이다. 화재는 2008년 2월 10일 오후 8시 40분 전후에 발생하여 다음날인 2008년 2월 11일 오전 0시 40분경 숭례문의 누각 2층 지붕이 붕괴하였고 이어 1층에도 불이 붙어 화재 5시간 만인 오전 1시 55분쯤 석축을 제외한 건물이 훼손되었다."
서울 원각사지 십층석탑,국보,서울 종로구,"
			
	             
	                 
	                 
	                     서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원
	                 
	             
	         
	         
		",126.988207994364,37.5715461695449,"원각사는 지금의 탑골공원 자리에 있었던 절로, 조선 세조 11년(1465)에 세웠다. 조선시대의 숭유억불정책 속에서도 중요한 사찰로 보호되어 오다가 1504년 연산군이 이 절을 ‘연방원(聯芳院)’이라는 이름의 기생집으로 만들어 승려들을 내보냄으로써 절은 없어지게 되었다.
 이 탑은 조선시대의 석탑으로는 유일한 형태로, 높이는 약 12m이다. 대리석으로 만들어졌으며 탑 구석구석에 표현된 화려한 조각이 대리석의 회백색과 잘 어울려 더욱 아름답게 보인다.
 탑을 받쳐주는 기단(基壇)은 3단으로 되어있고, 위에서 보면 아(亞)자 모양이다. 기단의 각 층 옆면에는 여러가지 장식이 화사하게 조각되었는데 용, 사자, 연꽃무늬 등이 표현되었다. 탑신부(塔身部)는 10층으로 이루어져 있으며, 3층까지는 기단과 같은 아(亞)자 모양을 하고 있고 4층부터는 정사각형의 평면을 이루고 있다. 각 층마다 목조건축을 모방하여 지붕, 공포(목조건축에서 처마를 받치기 위해 기둥 위에 얹는 부재), 기둥 등을 세부적으로 잘 표현하였다.
 우리나라 석탑의 일반적 재료가 화강암인데 비해 대리석으로 만들어 졌고, 전체적인 형태나 세부구조 등이 고려시대의 경천사지 10층석탑과 매우 비슷하여 더욱 주의를 끌고 있다. 탑의 윗부분에 남아있는 기록으로 세조 13년(1467)에 만들어졌음을 알 수 있으며, 형태가 특이하고 표현장식이 풍부하여 훌륭한 걸작품으로 손꼽히고 있다."
서울 북한산 신라 진흥왕 순수비,국보,서울 용산구,"
			
	             
	                 
	                 
	                     서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)
	                 
	             
	         
	         
		",126.980350241652,37.5240413763397,"신라 진흥왕(재위 540∼576)이 세운 순수척경비(巡狩拓境碑) 가운데 하나로, 한강유역을 영토로 편입한 뒤 왕이 이 지역을 방문한 것을 기념하기 위하여 세운 것이다. 원래는 북한산 비봉에 자리하고 있었으나 비(碑)를 보존하기 위하여 경복궁에 옮겨 놓았다가 현재는 국립중앙박물관에 보관되어 있다. 
 비의 형태는 직사각형의 다듬어진 돌을 사용하였으며, 자연암반 위에 2단의 층을 만들고 세웠다. 윗부분이 일부 없어졌는데, 현재 남아 있는 비몸의 크기는 높이 1.54m, 너비 69㎝이며, 비에 쓰여져 있는 글은 모두 12행으로 행마다 32자가 해서체로 새겨져 있다. 내용으로는 왕이 지방을 방문하는 목적과 비를 세우게 된 까닭 등이 기록되어 있는데, 대부분이 진흥왕의 영토확장을 찬양하는 내용으로 이루어져 있다.
 비의 건립연대는 비문에 새겨진 연호가 닳아 없어져 확실하지 않으나, 창녕 신라 진흥왕 척경비(국보)가 건립된 진흥왕 22년(561)과 황초령비가 세워진 진흥왕 29년(568) 사이에 세워졌거나 그 이후로 짐작하고 있다.
 조선 순조 16년(1816)에 추사 김정희가 발견하고 판독하여 세상에 알려졌으며, 비에 새겨진 당시의 역사적 사실 등은 삼국시대의 역사를 연구하는데 귀중한 자료가 되고 있다."
청자 사자형뚜껑 향로,국보,서울 용산구,"
			
	             
	                 
	                 
	                     서울특별시 용산구 서빙고로 137 (용산동6가, 국립중앙박물관)
	                 
	             
	         
	         
		",126.980350241652,37.5240413763397,"고려 청자의 전성기인 12세기경에 만들어진 청자향로로, 높이 21.2㎝, 지름 16.3㎝이다. 향을 피우는 부분인 몸체와 사자 모양의 뚜껑으로 구성되어 있다. 몸체는 3개의 짐승모양을 한 다리가 떠받치고 있는데, 전면에 구름무늬가 가늘게 새겨져 있다. 몸체 윗면 가장자리에도 세 곳에 구름무늬를 배치하였다. 
 뚜껑은 대좌에 앉아있는 사자의 형상이며, 대좌에는 꽃무늬를 시문하였다. 사자의 자세는 뚜껑의 왼쪽에 치우쳐 있어 시각적인 변화에서 오는 조형효과를 노린 것으로 해석된다. 사자는 입을 벌린 채 한쪽 무릎을 구부린 상태에서 앞을 보고있는 자세이며, 두 눈에 검은 점을 찍어서 눈동자를 표현했다. 사자의 목 뒤쪽과 엉덩이 부분에는 소용돌이 모양의 털이 표현되었고, 꼬리는 위로 치켜올려 등에 붙인 모습을 하고 있다.
 유약의 색은 엷은 녹청색으로 광택이 은은하다. 구조적으로 보면 몸체에서 피워진 향의 연기가 사자의 몸을 통하여 벌려진 입으로 내뿜도록 되어있는데, 아름답고 단정하여 이 시기 청자향로의 높은 수준을 보여주고 있다.
 12세기 전반기에 비취색의 청자가 절정에 달하였을 때 이와 같이 상서로운 동물이나 식물을 본뜬 상형청자가 많이 만들어졌다. 특별히 사자향로는 중국 송나라 사람들이 극찬을 하였을 정도로 작품성이 뛰어나다."
청자 어룡형 주전자,국보,서울 용산구,"
			
	             
	                 
	                 
	                     서울특별시 용산구 서빙고로 137 (용산동6가, 국립중앙박물관)
	                 
	             
	         
	         
		",126.980350241652,37.5240413763397,"고려 청자의 전성기인 12세기경에 만들어진 청자주전자로 높이 24.4cm, 밑지름 10.3cm이다. 용의 머리와 물고기의 몸을 가진 특이한 형태의 동물을 형상화한 상형의 청자 주전자이다. 
 물을 따르는 부리는 용의 머리모양이고, 이빨과 지느러미, 꼬리 끝에는 백토(白土)를 발랐다. 얼굴의 털이나 지느러미들을 매우 섬세하게 표현하였다. 주전자 몸체에는 비늘이 도드라지게 표현되었고, 중앙부에는 앞뒤로 커다란 갈퀴모양의 옆지느러미가 묘사되었다. 손잡이는 연꽃줄기 모양으로 주전자의 몸체 위로 자연스럽게 늘어져 있고, 뚜껑은 물고기의 꼬리부분을 본떠서 만들었다.
 전체적인 형태를 보면 기이하면서도 각 부위를 갖춘 한 마리의 상상의 동물모습을 하고 있다. 비취빛의 유약색과 더불어 지느러미와 꽃무늬에 나타난 세밀한 음각 표현은 능숙한 솜씨를 보여준다. 이 주전자는 상서로운 동물이나 식물을 모방해서 만든 상형청자 중에서도 매우 기발함을 보여주는 작품이다."
청자 기린형뚜껑 향로,국보,서울 성북구,"
			
	             
	                 
	                 
	                     서울특별시 성북구 성북로 102-11 (성북동, 간송미술관)
	                 
	             
	         
	         
		",126.9967,37.5946,"고려청자의 전성기인 12세기경에 만들어진 청자향로로 높이는 20㎝이다. 향을 피우는 부분인 몸체와 상상속의 동물인 기린이 꿇어 앉아있는 모습을 한 뚜껑으로 구성되어 있다. 
 몸체는 윗부분이 넓게 바깥쪽으로 벌어져 있고 짐승모양을 한 3개의 다리가 떠받치고 있다. 몸통에는 구름무늬가 장식되었고 윗면 가장자리에도 세 곳에 구름무늬가 배치되었으며, 그 위에 뚜껑을 덮도록 하였다. 뚜껑 한복판에는 뒤를 돌아보고 있는 기린이 조각되어 있고, 기린이 앉아있는 자리의 옆면에는 번개무늬가 돌아가며 음각되었다. 기린의 머리에는 뿔이 돋아있으나 부러져 있는 상태이고, 목뒤의 부분은 곱슬곱슬하게 표현하였다. 눈은 검은색 안료를 사용해 점을 찍었다. 구조상 향의 연기는 벌려진 기린의 입을 통하여 뿜어 나오도록 만들어졌다.
 비취색 특유의 은은한 광택이 향로 전체를 품위있게 감싸고 있다.12세기에 비취색의 청자가 절정에 달하였을 때, 이와 같이 상서로운 동물이나 식물을 본뜬 상형청자가 많이 만들어졌다."
청자 상감연지원앙문 정병,국보,서울 성북구,"
			
	             
	                 
	                 
	                     서울특별시 성북구 성북로 102-11 (성북동, 간송미술관)
	                 
	             
	         
	         
		",127.0182146,37.589116,"고려시대의 청자 정병으로 높이 37.0㎝, 밑지름 8.9㎝의 크기이다. 원래 정병은 불교에서 모든 악을 씻어 버리는 의식에서 사용하던 용기의 하나로 중국을 거쳐 전해진 서방(西方) 양식이었으나, 고려에 와서 가장 세련되게 나타나게 되었다.
 이 작품은 이러한 유물 중에서도 뛰어난 걸작으로 청아한 담록색 계통의 비취색 유약에 백토(白土) 상감만으로 새겨진 버드나무와 갈대, 연꽃, 원앙새 1쌍을 회화적으로 배치해 놓고 있다. 병 목에는 앞뒤 양면에 모란꽃을 하나씩 상감했다. 물을 따르는 부리는 8각으로 기품있게 만들어 병 목 위에 수직으로 세워 놓았다. 물을 넣는 아가리는 둥근 어깨 한쪽에 아담하게 붙어 있는데, 원래 뚜껑이 있었으나 없어진 상태이다.  
 대체로 이른 시기의 상감청자는 유약이나 바탕흙이 매우 정선되어 있고, 청아한 비취색 유약이 세련미를 보여주는 것이 특색인데, 이러한 바탕 위에 상감무늬가 곁들여졌던 만큼 한층 더 장식 효과를 높일 수 있었다. 이 정병 또한 이러한 이른 시기의 상감청자로 매우 정제되고 세련된 양식을 보여주고 있다."
청자 상감운학문 매병,국보,서울 성북구,"
			
	             
	                 
	                 
	                     서울 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)
	                 
	             
	         
	         
		",127.0182146,37.589116,"고려 매병(梅甁)은 중국 송(宋)나라 매병에서 유래된 것이지만, 12세기경에 이르러서는 고려만의 풍만하면서도 유연한 선의 아름다움이 나타난다. 이러한 고려 매병의 양식은 이 작품에서 세련미의 극치를 보여주고 있다.
 높이 42.1㎝, 입지름 6.2㎝, 밑지름 17㎝의 크기의 매병의 구연부는 작고 낮으며 밖으로 살짝 벌어져 있다. 어깨는 넓고 당당한 모습을 보여준다. 구연부의 아랫부분에는 꽃무늬를 둘렀으며 굽 위로는 연꽃무늬를 둘렀다. 몸통 전면에는 구름과 학을 새겨 넣었는데, 흑백상감한 원 안에는 하늘을 향해 날아가는 학과 구름무늬를, 원 밖에는 아래쪽을 향해 내려가는 학과 구름무늬를 새겼다. 
 학의 진행방향을 다르게 표현한 것은 도자기 표면이라는 일정한 제약을 넘어 사방으로 공간을 확산시켜 짜여진 구획으로부터의 자유로움을 추구한 듯하다. 이같은 표현상의 변화 추구와 함께 문양처리의 능숙함에서 고려 도자기의 우수함과 고려인의 창의력을 엿볼 수 있다."
훈민정음,국보,서울 성북구,"
			
	             
	                 
	                 
	                     서울특별시 성북구 성북로 102-11 (성북동, 간송미술관)
	                 
	             
	         
	         
		",127.0182146,37.589116,"이 책은 새로 창제된 훈민정음을 왕의 명령으로 정인지 등 집현전 학사들이 중심이 되어 세종 28년(1446)에 만든 한문해설서이다. 책이름을 글자이름인 훈민정음과 똑같이 ‘훈민정음’이라고도 하고, 해례가 붙어 있어서 ‘훈민정음 해례본’또는 ‘훈민정음 원본’이라고도 한다. 전권 33장 1책의 목판본이나, 앞 2장은 1940년경에 복원된 부분이다.
 구성을 보면 총 33장 3부로 나누어, 제1부는 훈민정음의 본문을 4장 7면으로 하여 면마다 7행 11자씩, 제2부는 훈민정음해례를 26장 51면 3행으로 하여 면마다 8행 13자씩, 제3부는 정인지의 서문을 3장 6면에 1자 내려싣고, 그 끝에 ‘정통 11년’(1446)이라 명시하고 있다.
『세종실록』에 의하면 훈민정음은 세종 25년(1443)에 왕이 직접 만들었으며, 세종 28년(1446)에 반포한 것으로 되어있는데, 이 책에서 서문과 함께 정인지가 근작(謹作)하였다는 해례를 비로소 알게 되었다. 또한 한글의 제작원리도 확연하게 드러났다."
"동국정운 권1, 6",국보,서울 성북구,"
			
	             
	                 
	                 
	                     서울특별시 성북구 성북로 102-11 (성북동, 간송미술관)
	                 
	             
	         
	         
		",127.0182146,37.589116,"조선 세종 때 신숙주, 최항, 박팽년 등이 왕의 명으로 편찬하여 세종 30년(1448)에 간행한 우리나라 최초의 표준음에 관한 책으로, 6권 6책의 활자본이다.
중국의 운(韻)에 관한 책인 『홍무정운』에 대비되는 것으로, ‘동국정운’이란 우리나라의 바른 음이라는 뜻이다. 당시 혼란스럽던 우리나라의 한자음을 바로잡아 통일된 표준음을 정하려는 목적으로  편찬, 간행되었다.
 이 책은 세종 29년(1447) 9월에 완성되자 간행하라는 임금의 명이 있었고, 이듬해인 세종 30년(1448) 11월에 성균관, 사부학당 등에 보급되어, 이 책이 간행되고 보급되었던 시기를 알 수 있다. 
 현재 이 책은 전 6권 가운데 1권과 6권만이 남아있다. 내용을 보면 본문의 큰 글자는 나무활자이고, 작은 글자와 서문의 큰 글자는 갑인자이다. 글자체는 큰 글자가 진양대군의 글씨이다.
 우리나라에서 최초로 한자음을 우리의 음으로 표기하였다는 점에서 큰 의의를 가지고 있으며, 국어연구자료로서의 중요성도『훈민정음』과 쌍벽을 이룰 정도로 높이 평가되고 있다. 또한 한자음의 음운체계 연구에 있어서뿐만 아니라, 훈민정음의 글자를 만든 배경이나 음운체계 연구에 있어서 기본자료가 된다."
