문화재명,분류,소재지,상세주소,위도,경도,상세설명
울주 천전리 명문과 암각화,국보,울산 울주군,"
			
	             
	                 
	                 
	                     울산 울주군 두동면 천전리 산210-2
	                 
	             
	         
	         
		",129.175090935504,35.6143464249842,"태화강 물줄기인 대곡천 중류의 기슭에 각종 도형과 글, 그림이 새겨진 암석으로, 아래 · 위 2단으로 나누어 서로 다른 내용이 다른 기법으로 표현되어 있으며, 전체적으로 조각이 가득하다. 
 윗단에는 쪼아서 새기는 기법으로 기하학적 무늬와 동물, 추상화된 인물 등이 조각되어 있다. 사실성이 떨어지는 단순화된 형태인데 중앙부의 태양을 상징하는 듯한 원을 중심으로, 양 옆에 네 마리의 사슴이 뛰어가는 모습과 맨 왼쪽의 반인반수(半人半獸:머리는 사람, 몸은 동물인 형상)상이 눈에 띈다. 표현이 소박하면서도 상징성을 갖고 있는 듯한 이 그림들은 청동기시대에 제작된 것으로 보여진다. 
 아랫단은 선을 그어 새긴 그림과 글씨가 뒤섞여 있는데, 기마행렬도, 동물, 용, 배를 그린 그림 등 다양한 내용으로 구성되어 있다. 이 중 기마행렬도는 세 군데에서 나타나고 있으며, 간략한 점과 선만으로도 그 모습이 잘 표현되어 있다. 배그림은 당시 신라인의 해상활동을 보여주는 중요한 자료가 된다. 글자는 800자가 넘는데 왕과 왕비가 이 곳에 다녀간 것을 기념하는 내용으로, 법흥왕대에 두 차례에 걸쳐 새겨진 것으로 추정된다. 내용 중에는 관직명이나 6부체제에 관한 언급이 있어 6세기경의 신라사회 연구에 귀중한 자료가 되고 있다.
 오랜 시간에 걸쳐 여러 사람이 이루어 놓은 작품으로, 선사시대부터 신라시대까지의 생활, 사상 등을 생생하게 그리고 있다. 어느 특정 시대를 대표한다기보다 여러 시대의 모습을 담고 있어 더욱 의미가 깊은 유적이다."
울주 대곡리 반구대 암각화,국보,울산 울주군,"
			
	             
	                 
	                 
	                     울산광역시 울주군 언양읍 대곡리 991-3
	                 
	             
	         
	         
		",129.177842844766,35.6038151324587,"높이 4.5m, 너비 8m의 ‘ㄱ’자 모양으로 꺾인 절벽암반에 여러 가지 모양을 새긴 바위그림이다. 바위에는 육지동물과 바다고기, 사냥하는 장면 등 총 200여점의 그림이 새겨져 있다. 육지동물은 호랑이, 멧돼지, 사슴 등이 묘사되어 있는데, 호랑이는 함정에 빠진 모습과 새끼를 밴 호랑이의 모습 등으로 표현되어 있다. 멧돼지는 교미하는 모습을 묘사하였고, 사슴은 새끼를 거느리거나 밴 모습 등으로 표현하였다. 바다고기는 작살 맞은 고래, 새끼를 배거나 데리고 다니는 고래의 모습 등으로 표현하였다. 사냥하는 장면은 탈을 쓴 무당, 짐승을 사냥하는 사냥꾼, 배를 타고 고래를 잡는 어부 등의 모습을 묘사하였으며, 그물이나 배의 모습도 표현하였다. 이러한 모습은 선사인들의 사냥활동이 원활하게 이루어지길 기원하며, 사냥감이 풍성해지길 바라는 마음으로 바위에 새긴 것이다.
 조각기로 쪼아 윤곽선을 만들거나 전체를 떼어낸 기법, 쪼아낸 윤곽선을 갈아내는 기법의 사용으로 보아 신석기말에서 청동기시대에 제작되었을 것으로 추정된다. 선과 점을 이용하여 동물과 사냥장면을 생명력있게 표현하고 사물의 특징을 실감나게 묘사한 미술작품으로 사냥미술인 동시에 종교미술로서 선사시대 사람의 생활과 풍습을 알 수 있는 최고 걸작품으로 평가된다."
울주 망해사지 승탑,보물,울산 울주군,"
			
	             
	                 
	                 
	                     울산 울주군 청량면 망해2길 102 (율리)
	                 
	             
	         
	         
		",129.238075712455,35.5328387012262,"승탑은 승려의 무덤을 상징하여 그 유골이나 사리를 모셔두는 곳이다. 이 2기의 승탑은 망해사의 법당 북쪽에 동·서로 자리하고 있는데, 동쪽 승탑은 파손되어 있던 것을 1960년 11월 복원한 바 있다. 서로 규모와 양식이 같으며, 각 부분이 8각으로 이루어져 있다.
 탑신(塔身)을 받치는 기단(基壇)은 3개의 받침돌로 이루어져 있다. 아래받침돌은 8각으로 구성하고, 그 위로 연꽃무늬를 조각한 돌을 올렸으며, 가운데받침돌은 높은 8각의 단 위에 다시 낮은 3단이 층을 이뤄 받치고 있다. 윗받침돌은 옆면에 16잎의 연꽃잎을 이중으로 조각하였는데 그 모양이 화사하다.
 탑신은 각 면마다 창의 형태를 새겼고 모서리에는 기둥 모양의 조각을 두었으며, 4면에는 문짝 모양을 새겨 놓았다. 지붕돌은 처마와 추녀가 수평으로 넓으며, 각 귀퉁이마다 풍경을 달았던 작은 구멍들이 있다. 꼭대기의 머리장식 부분은 두 탑 모두 없어졌으나, 그 일부가 별도로 보관되고 있다.
 통일신라시대의 작품으로, 전체적인 구성이나 조각수법이 다소 빈약하지만 각 부의 비례가 보기좋은 아름다운 작품이다."
울주 석남사 승탑,보물,울산 울주군,"
			
	             
	                 
	                 
	                     울산 울주군 상북면 덕현리 산232-2번지 석남사
	                 
	             
	         
	         
		",129.032633318151,35.6216999807517,"석남사 동북쪽 언덕의 넓은 대지에 자리잡고 있으며, 일찍부터 석남사를 세운 도의국사의 사리탑으로 불려왔다. 전체적으로 8각의 형태을 취하고 있으며, 8각의 바닥돌 위에 기단부(基壇部)와 탑신(塔身)을 놓은 모습이다.
 기단부의 아래받침돌은 8각으로 사자와 구름을 도드라지게 새겨 놓았다. 북모양을 하고 있는 가운데받침돌에는 상·하·좌·우에서 안쪽을 향하여 낮게 솟은 꽃모양의 안상(眼象)을 새겼고, 그 안으로 꽃모양의 띠를 둘렀다. 윗받침돌은 연꽃을 새겨 탑신을 받치도록 하였다. 탑신은 모서리에 기둥 모양을 얇게 새겼고, 앞·뒷면에는 문짝 모양의 조각을 두었는데, 그 중 앞면에만 자물쇠가 새겨져 있다. 문의 양 옆으로 신장입상(神將立像)이 배치되어 있다. 지붕돌은 추녀가 짧고 서까래와 기왓골이 상세히 표현되었으며, 지붕 꼭대기에는 머리장식이 차례대로 얹혀져 있다.
 전체적으로 넓이에 비하여 높이가 높은 부재로 구성되어 길쭉해 보이며, 바닥돌의 폭이 좁아 안정감이 느껴지지 않는다. 아래받침돌의 구름무늬나 탑신의 신장상이 형식적으로 표현되었고, 특히 가운데받침돌의 안상조각에서 시대가 내려옴을 볼 수 있으나 각 부분이 완전히 보존된 아름다운 작품이다.
 1962년 해체, 수리할 당시 기단부의 가운데받침돌에서 사리장치를 두었던 공간이 확인되었으나 사리장치는 남은 것이 없었다."
울주 간월사지 석조여래좌상,보물,울산 울주군,"
			
	             
	                 
	                 
	                     울산광역시 울주군 알프스온천4길 15 (상북면)
	                 
	             
	         
	         
		",129.072736341683,35.5554301483141,"울산광역시 울주군 상북면 등억리의 간월사지에 있는 석조여래좌상으로 약간의 파손은 있지만 비교적 잘 보관되어 있다.
 머리에는 작은 소라 모양의 머리칼을 붙여 놓았으며 그 위로 상투 모양의 큼직한 머리(육계)가 자리잡고 있다. 얼굴은 둥글고 원만하며 단정한 입과 긴 눈, 짧은 귀 등의 표현에서 온화하고 인간적인 느낌을 준다. 어깨는 좁아지고, 몸은 양감이 줄어든 모습이다. 양 어깨에 걸쳐 입은 옷은 옷은 얇으며 U자형의 옷주름을 표현하고 있다.
 얼굴과 신체의 풍만함과 좁아진 어깨 등에서 9세기 불상의 특징을 잘 보여주고 있다."
울주 청송사지 삼층석탑,보물,울산 울주군,"
			
	             
	                 
	                 
	                     울산 울주군 청량면 율리 1420번지
	                 
	             
	         
	         
		",129.22336544877,35.5224330454536,"남암산 아래에 있는 청송사 절터에 있는 삼층석탑이다. 이 탑은 2단의 기단(基壇) 위에 3층의 탑신을 세운 모습이다. 기단은 각 모서리와 중앙에 기둥을 새기고, 마감돌 위에 다른 돌로 2단의 모난 괴임돌을 끼워서 각각 윗돌을 받치도록 하였다. 탑신(塔身)은 몸돌과 지붕돌이 각각 하나의 돌로 되어 있다. 1층 몸돌이 특히 길고 크며, 2층 몸돌은 급격히 줄어들었고, 각 몸돌 모서리에는 기둥모양이 새겨져 있다. 지붕돌 밑면에는 5단의 받침이 있고, 추녀가 두꺼워 지붕 네 귀퉁이의 치켜올림이 약하며 처마는 수평으로 길이가 짧다. 꼭대기에는 머리 장식을 받치는 노반(露盤)만 남아 있다.
 이 탑은 기단의 짜임새가 정연하지 못하고, 1층 몸돌이 지나치게 큰 반면 지붕돌이 작아서 좋은 비례로 보기 어려우나, 지방에 분포된 신라 석탑의 한 예로 주목할 만하다. 또한 1층 몸돌의 괴임돌이 다른 돌로 되어 있는 점은 탑의 특이한 조형과 아울러 9세기 이후에 조성된 것을 짐작하게 한다.
 1962년 해체, 수리할 당시 위층 기단에서 동제사리함이 발견되었다. 그 안에 청동여래입상 1구를 비롯하여 유리구슬 16점, 수정으로 만든 곱은옥 1점, 관옥 1점 등 30여 점이 발견되었다."
울산 태화사지 십이지상 사리탑,보물,울산 남구,"
			
	             
	                 
	                 
	                     울산광역시 남구 두왕로 277-0 (신정동, 울산박물관)
	                 
	             
	         
	         
		",129.308661,35.527223,"태화사터에 묻혀 있던 것을 1962년에 발굴하여 일시적으로 부산으로 옮겼다가, 다시 울산의 학성공원으로 옮겨와 보존하고 있었다.  2011년 현재는 울산박물관으로 이전하여 보존하고 있다.
태화사는 신라 선덕여왕 12년(643)에 자장율사가 창건한 사찰로, 고려말 왜구의 침입이 극심하던 시기에 없어졌을 것으로 보고 있으며 남아있는 유물로는 이 사리탑이 유일하다.
 일반적인 사리탑들과는 달리 널따란 바닥돌 위에 종 모양의 몸돌이 놓인 간단한 구조로, 바닥돌에는 앞면과 옆면에 가느다란 안상(眼象)이 움푹하게 새겨져 있다. 종 모양을 하고 있는 몸돌은 윗부분에 감실(龕室:불상을 모시는 방) 입구를 만들고, 그 안쪽으로 깊숙이 파놓아 사리를 모셔 두도록 하였다. 감실 입구 아래로는 12지신상을 돌려가며 도드라지게 새겨놓았는데, 머리는 짐승이고 몸은 사람의 모습으로 거의 나체에 가깝다. 12지신은 띠를 나타내는 12동물로, 우리나라에서는 통일신라시대에 능을 보호하기 위한 의도로 조각되어 세워지기 시작하였는데, 이곳에서처럼 사리탑에 새겨지는 것은 보기 드문 예이다. 사리탑을 하나의 묘로 보아 이들을 새겨놓은 것으로 보인다.
 종모양의 사리탑으로는 가장 오래된 것이라는 점에서 그 가치를 지니며, 수법이나 조각들의 기법들로 미루어 통일신라 후기인 9세기경에 만들어진 것으로 보인다."
이종주 고신왕지 및 이임 무과홍패,보물,울산 남구,"
			
	             
	                 
	                 
	                     울산 남구 두왕로 277, 울산박물관 (신정동,울산박물관)
	                 
	             
	         
	         
		",129.308703844304,35.5271700401366,"이종주 종손가에 소장되어 있는 2점의 왕지이다. 이종주는 조선 전기 지방관을 지냈다.
 「이종주통정대부지울주사왕지」는 정종 1년(1399) 1월 26일에 이종주에게 관직을 제수하는 사령왕지이다. 이 사령왕지는 총 4행으로 초서체로 쓰여졌고, 년월 위에 ‘조선왕보’라고 도장이 찍혀 있다. 이 문서는 조선 전기의 관제 및 인사행정의 변천을 살필 수 있는 자료이다.
 「이임무과급제왕지」는 세종 17년(1435)에 이종주의 손자 이임에게 발급된 무과급제를 인정하는 홍패왕지이다. 총 5행에 걸쳐 초서체로 쓰여졌고, 년월 위에 ‘국왕신보’라고 도장이 찍혀있다. 조선 전기 관제 및 과거제도 연구와 새보(璽寶:임금의 도장)사용의 변천 과정을 파악할 수 있는 중요한 자료이다."
울주 천황산 요지,사적,울산 울주군,"
			
	             
	                 
	                 
	                     울산 울주군 상북면 배내주암길 108-114 (이천리)
	                 
	             
	         
	         
		",129.00824278197,35.5744017921671,"요지는 도자기나 기와·그릇을 만들어 굽던 가마터를 말한다.
 천황산의 봉우리 중 평평한 고원지대에 위치하는 백자 가마터로 5∼6기가 있다. 높이1,100m가 넘는 험준한 산의 꼭대기부분에 있어, 우리나라에 존재하는 가마터 중 가장 높은 곳에 있는 것으로 여겨진다.
 발견되는 백자조각들은 대접·사발·바래기·접시·술잔조각 등이 대부분이며, 접시 중에는 아가리가 안으로 말리거나 밖으로 말려있는 것도 있다. 품질이 좋은 편이 아닌 중·하품의 백자를 굽던 곳으로, 순백자 뿐 아니라 검은 빛깔로 그림이 그려진 철화무늬 백자조각들도 발견된다. 철화무늬는 소박하고 화려하지 않은 풀무늬 또는 원 모양과 원점 모양의 무늬가 그려져 있다.
 경상도 해안 가까운 지역에서 드물게 발견되는 조선 중기의 지방 철화백자 가마터로 의의가 있다.

<br/><b>※(천황산요지군 → 울주 천황산 요지)으로 명칭변경 되었습니다. (2011.07.28 고시)</b>"
울주 언양읍성,사적,울산 울주군,"
			
	             
	                 
	                 
	                     울산광역시 울주군 성안2길 55-8 (언양읍)
	                 
	             
	         
	         
		",129.1226025,35.56993942,"예부터 경주·울산·밀양·양산과의 교통 중심지로 전략적으로 매우 중요한 위치를 차지하던 옛 언양 고을의 읍성이다. 읍성이란 군이나 현의 주민을 보호하고, 군사적·행정적인 기능을 함께 하는 성을 말한다.
 처음에는 흙으로 성을 쌓았던 것을 연산군 6년(1500)에 현감 이담룡이 확장하여 돌로 다시 쌓았다. 평지에 네모꼴로 만들어진 보기 드문 평지성으로, 원래는 둘레가 약 1,000m, 높이가 4m나 되었으며 성안에는 4개의 우물이 있었다고 하는데, 지금은 성을 쌓았던 큰 돌이 부분적으로 남아 있을 뿐이다. 성벽은 조선 전기 읍성 축조의 일반적인 방식이 반영되었다. 큰 돌을 대충 갈아 쌓은 후 빈 공간에 잔돌을 채워 성벽을 튼튼하게 하였다.
 언양읍성은 전국의 중요 읍성이 만들어지기 시작하던 14∼15세기의 축조방법을 보여주는 것으로서, 고려 말기부터 조선 초기에 나타나는 축성법 변천 모습을 잘 보여주는 중요한 자료이다.  

<br/><b>※(언양읍성 → 울주 언양읍성)으로 명칭변경 되었습니다. (2011.07.28 고시)</b>"
